annee,ariana,manouba,nabeul,bizerte,beja,jendouba,kef,siliana,zaghouan,sousse,sfax,kairouan,sidi_bouzid,totale,feuille
2000,76300.0,,555000,41400,68800,,29060,41000,,,,,118250,929810,Feuil1
2001,28300.0,60680.0,400000,15190,63800,,70200,21940,,,,,69240,729350,Feuil1
2002,29300.0,76780.0,420000,18930,75770,,44850,18970,,,,,75510,760110,Feuil1
2003,25350.0,71620.0,518350,21760,78040,,61780,25130,,,,,81050,883080,Feuil1
2004,28990.0,83100.0,480000,10860,86610,,61480,31110,,,,,90520,872670,Feuil1
2005,17010.0,94300.0,530000,30000,85080,,76240,23000,,,,,116590,972220,Feuil1
2006,12540.0,61000.0,409000,23450,75200,,50290,15500,,,,,83440,730420,Feuil1
2007,8670.0,37650.0,480000,20060,90600,35610.0,58150,12160,25690.0,20980.0,17410.0,74000.0,105380,986360,Feuil1
2008,,60030.0,520000,27950,113620,42910.0,69080,19300,19410.0,38250.0,11710.0,116050.0,125000,1163310,Feuil1
2009,,49100.0,440000,24900,98670,60860.0,141610,14400,34530.0,44280.0,9280.0,121000.0,108630,1147260,Feuil1
2010,,73660.0,407820,45590,182690,104090.0,101110,59770,40700.0,37350.0,15560.0,300000.0,164830,1533170,Feuil1
2011,,87000.0,350000,23880,170280,102310.0,37140,17710,31000.0,15000.0,16750.0,283920.0,142500,1277490,Feuil1
2012,,75580.0,340000,37610,108410,95860.0,44640,42600,37130.0,37220.0,14370.0,390000.0,115500,1338920,Feuil1
2013,,44930.0,250000,45900,85460,54600.0,42000,36540,21640.0,39225.0,6390.0,113520.0,112500,852705,Feuil1
2014,,60240.0,265000,38990,98300,61000.0,48320,41930,30000.0,45860.0,10400.0,159250.0,135000,994290,Feuil1
2015,,98070.0,324260,37220,96100,60140.0,64750,42710,21640.0,28170.0,13500.0,191800.0,180000,1158360,Feuil1
