annee,bois_de_chauffage_en_rondinsbuchesramillesfagots_ou_sous_formes_simbois_en_plaquettes_ou_en_particulesscluresdechets_et_debris_de_boismeme_agglomeres_sous_forme_de_buchesbriquettesboulettes_ou_sous_formes_sim,charbon_de_bois_y_compris_le_charbon_de_coques_ou_de_noixmeme_ag_lomere,bois_brutsmeme_ecorcesdesaubleres_ou_equarris,bois_feuillardsechalas_fenduspieux_et_piquets_en_boisappointes_non_scies_longitudinalementbois_simplement_degrossis_ou_arrondis_mais_non_tournes_ni_courbes_ni_autrement_travaillespour_cannespa_rapluiesmanches,laine_paille_de_boisfarine_de_bois,traverses_en_bois_pour_voies_ferres_ou_similaires,bois_scies_ou_dedosses_longitudinalementtranches_ou_deroulesmeme_rabotesponces_ou_colles_par_jointure_digitaledune_epaisseur_exce_dant_6_mm,feuilles_de_placage_et_feuilles_pour_contre_plaques_meme_jointees_et_autres_bois_scies_longitudinalementtranches_ou_deroulesmeme_ra_botesponces_ou_colles_par_jointure_digitaledune_epaisseur_nexce_dant_pas_6_mm,bois_y_compris_les_lames_et_frises_a_parquetnon_assemblees_profi_les_languetesrainesbouvetesfeuillureschanreinesjoints_en_vmouluresarrondis_ou_sim_tout_au_long_dune_ou_de_plus_rives_ou_facesmeme_rabotes,panneaux_de_particules_et_panneaux_similairesen_bois_ou_en_autres_matieres_ligneusesmeme_agglomeres_avec_des_resines_ou_dautres_liants_organiques,panneaux_de_fibres_de_bois_ou_dautres_matieres_ligneusesmeme_agg_lomerees_avec_des_resines_ou_dautres_liants_organiques,bois_contre_plaquesbois_plaques_et_bois_stratifies_similaires,bois_dits_densifiesen_blocsplancheslames_ou_profiles,cadres_en_bois_pour_tableauxphotographiesmiroirs_ou_objets_simi_laires,caissescalssettescageotscylindres_et_emballages_similairesen_boistambours_tourets_pour_cablesen_boispalettes_simplespale_ttes_caisses_et_autres_plateaux_de_chargementen_bois,futaillescuvesbaquets_et_autres_ouvrages_de_tonnellerie_et_leurs_partiesen_boisy_compris_les_merrains,outilsmontures_et_manches_doutilsmontures_de_brossesmanches_de_de_balais_ou_de_brossesen_boisformesembauchoirs_et_tendeurs_pour_chaussuresen_bois,ouvrages_de_menuiserie_et_pieces_de_charpente_pour_constructiony_compris_les_panneaux_cellulairesles_panneaux_pour_parquet_et_les_bardeaux_shingles_et_shakes_en_bois,articles_en_bois_pour_la_table_ou_la_cuisine,bois_marquetes_et_bois_incrustes_coffrets_ecrins_et_etuis_pour_bijouterie_ou_orfevrerie_et_ouvrages_similaires_en_bois_statuettes_et_autres_objets_dornement_en_bois_articles_dameublement_en_bois_ne_relevant_pas_du_ch_94,autres_ouvrages_en_bois,feuille
1999,0.0,0.0,20.441,,,,486.291,69.087,,482.92,143.659,2134.593,141.494,199.389,365.422,,354.506,5130.655,37.108,22.229,1344.587,Feuil1
2000,42.732,46.233,4.0,0.637,,,645.586,194.745,,1279.966,67.362,2176.533,113.898,810.509,243.477,,199.702,3702.332,76.773,160.538,1541.603,Feuil1
2001,103.9,0.921,32.909,,,,504.219,191.766,,3590.623,205.248,1951.445,12.613,1522.801,867.798,0.529,330.922,3472.045,193.407,170.23,1913.678,Feuil1
2002,,6.852,64.59,,7.5,,142.339,815.724,2.001,5397.543,356.394,96.737,21.385,1330.587,1026.162,,523.987,8639.525,110.021,122.762,2052.702,Feuil1
2003,17.21,0.096,34.377,,,,66.955,351.025,9.606,3135.823,390.604,135.635,172.157,1421.514,1502.713,1.382,243.882,2530.639,194.367,225.766,1916.648,Feuil1
2004,20.01,2.762,,,,,165.777,208.039,,3354.567,1118.606,513.215,,1819.573,2100.083,,82.093,3866.765,250.176,119.421,2099.37,Feuil1
2005,41.368,5.246,,,,,0.484,2501.969,67.328,5709.217,2793.37,1245.447,,2711.447,2082.121,,84.141,3692.94,280.761,71.633,2334.797,Feuil1
2006,0.002,45.533,10.948,,,3.754,123.425,4942.791,24.156,3546.198,654.239,1022.99,,1683.754,2295.136,,3.059,3767.117,301.116,20.877,3554.328,Feuil1
2007,111.588,185.382,3.5,,,,127.697,6949.819,4.32,2228.784,396.347,393.939,0.298,2075.672,1770.472,0.642,32.506,5229.691,139.013,45.921,5240.769,Feuil1
2008,141.811,1495.275,,,0.01,3.853,9.06,9057.907,4.637,1520.913,227.487,318.343,323.609,4678.367,2000.288,,27.736,5369.715,141.509,280.772,7718.477,Feuil1
2009,2.826,842.564,,12.795,,,435.452,2894.811,17.478,1703.956,245.112,1656.815,100.859,4279.21,1628.414,,45.208,8908.105,784.513,1101.756,7401.205,Feuil1
2010,17.588,5.691,,,,,0.1,972.146,48.516,1905.746,218.401,1818.514,,3603.848,1988.373,,244.149,7003.526,392.448,213.88,9960.419,Feuil1
2011,9.76,4.864,,,,,916.476,101.997,,937.317,75.722,698.929,,1119.962,3017.859,,180.01,4373.045,928.586,657.785,11523.914,Feuil1
2012,130.662,59.902,,21.269,0.24,,0.121,38.746,,1164.941,455.046,473.358,,1259.296,2490.179,,167.726,3744.834,1316.377,71.578,13979.465,Feuil1
2013,45.59,164.005,75.645,5.135,,,307.725,56.615,24.33,1288.407,1079.679,472.498,1.173,2251.683,2715.66,,46.672,2882.898,2249.246,162.176,17485.209,Feuil1
