annee,production_proposee_qx,quantite_vendue_qx,valeur_dinars,feuille
2000,129410.0,128152.0,9204480,Feuil1
2001,65925.0,50830.0,5793350,Feuil1
2002,100309.0,100309.0,7143380,Feuil1
2003,99736.0,89457.0,5722510,Feuil1
2004,80165.0,80165.0,5558110,Feuil1
2005,77665.0,76306.0,6096085,Feuil1
2006,69618.07,69618.07,6365025,Feuil1
2007,64118.46,64118.46,6062165,Feuil1
2008,62118.39,62118.39,7641370,Feuil1
2009,68457.59,42952.0,3319230,Feuil1
2010,56612.0,51606.58,4839625,Feuil1
2011,67641.0,58989.0,7323100,Feuil1
2012,63872.8,42051.63,5397865,Feuil1
2013,62365.26,27022.0,3768780,Feuil1
2014,68269.45,59715.25,7964900,Feuil1
2015,44215.89,34621.15,4954860,Feuil1
2016,56094.0,43287.0,5884370,Feuil1
2017,60206.0,58721.0,8936110,Feuil1
2018,43419.0,41946.0,6980080,Feuil1
2019,62151.12,48394.23,8763680,Feuil1
2020,64412.0,42834.0,7898160,Feuil1
