gouvernorat,nbr_2007,sup_ha_2007,nbr_2008,sup_ha_2008,nbr_2009,sup_ha_2009,nbr_2010,sup_ha_2010,nbr_2011,sup_ha_2011,nbr_2012,sup_ha_2012,nbr_2013,sup_ha_2013,nbr_2014,sup_ha_2014,nbr_2015,sup_ha_2015,nbr_2016,sup_ha_2016,nbr_2017,sup_ha_2017,nbr_2018,sup_ha_2018,nbr_2019,sup_ha_2019,nbr_2020,sup_ha_2020,nbr_2021,sup_ha_2021,feuille
Tunis,9.0,2.18,,,3.0,1.55,10.0,4.17,5.0,0.67,13.0,1.3,5.0,0.28,3.0,0.25,3.0,0.12,4.0,0.3,2.0,0.57,2.0,0.8,0,0.0,3,0.3,2.0,0.32,Feuil1
Ariana,20.0,56.16,5.0,0.27,7.0,1.2,13.0,7.43,17.0,5.82,28.0,28.98,27.0,97.94,27.0,91.7,10.0,4.61,19.0,36.954,10.0,4.25,9.0,35.85,8,26.54,8,17.0,8.0,40.45,Feuil1
Ben Arous,23.0,11.8,2.0,0.11,,,38.0,3.01,13.0,8.12,37.0,37.46,10.0,0.94,7.0,122.01,,,7.0,37.25,7.0,2.77,4.0,5.5,4,10.25,4,4.1,5.0,11.0,Feuil1
Manouba,11.0,30.9,4.0,75.0,5.0,0.27,10.0,7.96,3.0,7.6,6.0,14.6,2.0,38.0,6.0,126.05,1.0,7.0,6.0,6.75,2.0,2.01,,,1,10.0,9,40.26,16.0,49.79,Feuil1
Nabeul,33.0,14.57,7.0,19.19,12.0,1.0,13.0,7.81,29.0,490.14,28.0,72.68,14.0,111.23,38.0,148.16,25.0,13.1,8.0,7.33,17.0,6.88,11.0,35.18,13,191.042,17,68.71,34.0,464.38,Feuil1
Zaghouan,14.0,89.73,8.0,114.25,2.0,0.04,12.0,179.35,8.0,6.14,32.0,165.45,42.0,1045.67,52.0,746.14,23.0,17.96,31.0,48.517,18.0,546.6,15.0,17.05,11,5.207,17,35.4,26.0,1426.89,Feuil1
Bizerte,3.0,13.0,1.0,50.0,7.0,11.2,8.0,3.86,13.0,494.3,15.0,40.06,32.0,734.59,46.0,1196.67,28.0,89.0,51.0,49.1802,72.0,4394.7,19.0,6.91,14,1.556,74,52.191,87.0,408.24,Feuil1
Béjà,12.0,120.0,1.0,8.0,6.0,9.04,21.0,330.16,11.0,119.61,26.0,208.03,33.0,248.06,68.0,418.69,28.0,50.05,49.0,85.67,41.0,516.77,55.0,76.15,18,204.91,97,1084.49,37.0,189.46,Feuil1
Jendouba,48.0,140.57,2.0,16.5,13.0,5.64,32.0,16.38,48.0,105.5,83.0,327.72,35.0,48.09,110.0,94.27,51.0,320.9,57.0,71.195,97.0,1857.6,10.0,29.14,23,74.737,148,342.481,144.0,4057.91,Feuil1
le Kef,2.0,19.62,8.0,93.27,9.0,21.72,3.0,2.62,27.0,367.04,22.0,513.32,23.0,1277.62,37.0,3870.34,45.0,132.22,29.0,608.6,27.0,2157.4,4.0,155.05,7,8.07,6,17.07,11.0,3142.32,Feuil1
Siliana,25.0,35.15,11.0,57.02,3.0,8.0,42.0,171.3,24.0,77.42,46.0,895.94,21.0,354.98,46.0,1396.59,42.0,88.3,50.0,700.524,45.0,2526.8,24.0,700.21,9,12.58,32,64.035,33.0,61.18,Feuil1
Kasserine,11.0,0.54,15.0,9.88,6.0,0.34,5.0,0.72,,,35.0,24.32,41.0,221.44,13.0,29.97,13.0,21.78,17.0,10.152,17.0,5017.5,11.0,1.99,13,1179.536,25,22.026,27.0,14122.0,Feuil1
Sidi Bouzid,1.0,1.0,1.0,0.14,5.0,3.91,5.0,0.05,,,7.0,7.87,4.0,21.42,7.0,6.06,9.0,17.11,1.0,0.25,6.0,35.53,,,0,0.0,0,0.0,1.0,1.0,Feuil1
Kairouan,,,4.0,11.03,2.0,4.03,1.0,0.5,7.0,22;03,24.0,48.4,28.0,21.31,21.0,17.89,20.0,32.71,30.0,58.3115,50.0,230.26,2.0,8.0,12,54.56,17,53.712,27.0,1833.18,Feuil1
Sousse,,,2.0,2.0,2.0,1.55,6.0,0.51,,,3.0,12.0,3.0,0.55,12.0,18.49,2.0,0.3,7.0,0.361,4.0,0.45,4.0,0.32,0,0.0,0,0.0,,,Feuil1
Gafsa,,,,,,,,,,,,,,,,,,,,,,,,,8,9.9,2,2.03,,,Feuil1
