gouvernorat,nom_du_pepiniariste_societe,tel,type,variete,feuille
نابل,شركة الشلبي-بئر مروة تكلسة,72369501.0,زيتون/عقل,كورونيكي، أربوزانا، شتوي، شملالي، ، أسكولانا -منزنين,Feuil1
نابل,شركة الشلبي-بئر مروة تكلسة,72369501.0,قوارص,طمسن-كسار-سقصلي-أوريكا-مالطي-مسكي مالطي-برقموت- زنباع-طنجرين-شامي,Feuil1
نابل,شركة الشلبي-بئر مروة تكلسة,72369501.0,قوارص,فالنسياليت-نيوهال-عنسلي حلو- MA3- نافال-مالطي حلو-دوبل فين- ماريسول-,Feuil1
نابل,فوزي الفقي,,قوارص,طمسن، قارص، مالطي، كليمنتين، ، مسكي مالطي,Feuil1
نابل,عبد اللطيف عزيز,,قوارص,طمسن، قارص، مالطي، كليمنتين، مسكي مالطي,Feuil1
نابل,محمد مامي,,قوارص,طمسن، قارص، مالطي، كليمنتين، مسكي مالطي,Feuil1
نابل,نورالدين القابسي,,قوارص,طمسن، قارص، مالطي، كليمنتين، مسكي مالطي,Feuil1
نابل,محمود عمار,,قوارص,طمسن، قارص، مالطي، كليمنتين، مسكي مالطي,Feuil1
نابل,منبت الأمل,,قوارص,طمسن، قارص، مالطي، كليمنتين، مسكي مالطي,Feuil1
نابل,المجمع المهني المشترك للغلال,,قوارص,طمسن-كسار-سقصلي-أوريكا-مالطي-مسكي مالطي-برقموت- زنباع--شامي,Feuil1
نابل,المجمع المهني المشترك للغلال,,قوارص,فالنسياليت-نيوهال-عنسلي حلو- MA3- نافال-مالطي حلو-دوبل فين- ماريسول-,Feuil1
نابل,أحمد عمارة,,قوارص,قوارص,Feuil1
نابل,عبد الستار مامي القبة بني خلاد,98345902.0,قوارص,MA3، مسكي مالطي، طنجرين، طمسن، مسكي، أوريكا،نوفا، كسار,Feuil1
نابل,عبد الستار مامي القبة بني خلاد,98345902.0,قوارص,سقصلي، طاركو، فالنسيالايت،دوبل فين،ماريسول,Feuil1
نابل,رؤوف الهرقام القبة بني خلاد,98296253.0,قوارص,كسار، طمسن، نور، قارص، ماريسول، نيوهال، مسكي عربي، مسكي مالطي,Feuil1
نابل,نوفل عطية برج حفيض بو عرقوب,22744361.0,قوارص,طمسن، قارص، مالطي، كليمنتين، بارقموت، مسكي مالطي,Feuil1
نابل,نور الدين القابسي حمامات,98358271.0,قوارص,طمسن، مسكي عنصلي، كسار، مندارين، قارص، برقموت، MA3، مورو، كليمنتين، مسكي,Feuil1
نابل,نور الدين القابسي حمامات,98358271.0,قوارص,ولكينغ، دوبل فين، واشنطن نافال، زمباع،سقصلي، مالطي ، طنجرين,Feuil1
نابل,شركة البستان دار علوش,98372041.0,زيتون/عقل,شملالي، شتوي، فرانجيفنتو، كورونيكي،جربوعي، رخامي، مسكي، بيشولين,Feuil1
نابل,المجمع الإجباري لفلاحي الكروم ومنتجي الغلال بدار تكلسة,71256968.0,قوارص,أوريكا، نور، ملطي 1/2دموي، مالطي حلو، هيرنندينا، ماريسول،,Feuil1
نابل,المجمع الإجباري لفلاحي الكروم ومنتجي الغلال بدار تكلسة,,قوارص,واشنطن نافال، كسار، نولس، صقسلي،بلوران، مالطي بولند,Feuil1
نابل,المجمع الإجباري لفلاحي الكروم ومنتجي الغلال بدار تكلسة,,عنب مطعمة,سوبر سودلس، فكتوريا، كردينال,Feuil1
نابل,المجمع الإجباري لفلاحي الكروم ومنتجي الغلال بدار تكلسة,,عنب مطعمة,مسكي إيطاليا،  جوهرة السوداء،سلطنين,Feuil1
نابل,المجمع الإجباري لفلاحي الكروم ومنتجي الغلال بدار تكلسة,,عنب مطعمة,ريد قلوب، ريس بابا سام,Feuil1
نابل,المولدي حسن سليمان,,قوارص,نيوهال، مالطي، كسار، مالطي حلو، كليمنتين، زنباع، ليم حلو، طمسن نافال، مسكي عنصلي،,Feuil1
نابل,المولدي حسن سليمان,98569890.0,قوارص,نوفا، هرنندينا، أوريكا، دوبل فين، MA3,Feuil1
نابل,المولدي حسن سليمان,,زيتون/عقل,كورونيكي، شتوي، شملالي، بيشولين,Feuil1
نابل,زياد كبير بني خلاد,98522329.0,قوارص,قارص، طمسن نافال، كليمنتين,Feuil1
نابل,عاطف العربي الحمامات,22615486.0,قوارص,بارقموت، طمسن نافال، نيوهال، مالطي حلو،كسار، MA3، ستار روبي، أوريكا,Feuil1
نابل,قاسم التاجوري العامرين منزل بوزلفة,98214642.0,قوارص,لان لايت، طمسن نافال، كليمنتين، مسكي مالطي،نوفا، ماريسول، أوريكا،MA3، نيوهال,Feuil1
باجة,المنصف الحمروني تستور,98444218.0,زيتون/عقل,شتوي، مسكي، بيشولين، شملالي,Feuil1
باجة,المنصف الحمروني تستور,,حب ملوك/سان لوسي 64,بيقارو مورو، فاين، نابليون، برلات، هادل فنجن، بوعرقوب,Feuil1
باجة,المنصف الحمروني تستور,,عوينة/ميروبولون,بلاك ستار، بلاك بيوتي، فورتين، بلاك ديامن، فرييار، أنجلينو،606، قولدن جابون,Feuil1
باجة,المنصف الحمروني تستور,,خوخ/قرنام,بوطبقاية، كرنفال,Feuil1
باجة,المنصف الحمروني تستور,,لوز/قرنام,مازطو,Feuil1
باجة,المنصف الحمروني تستور,,قوارص/أرنج,واشنطن نافال، مالطي مسكي، هيرنندينا، MA3، كسار، طمسن نافال،فالنسيالايت، 4 فصول,Feuil1
باجة,المنصف الحمروني تستور,,لوز/لوز مر,مازطو، عشاق، فخفاخ، ، بلانكو،قسنطيني، برلاس،,Feuil1
باجة,المنصف الحمروني تستور,,لوز/ج ف 677,مازطو,Feuil1
باجة,المنصف الحمروني تستور,,خوخ/لوز مر,سبرينغ كراست، راد توب، فلوردستار، بلات دي شين، ماي قولد، شاطوس,Feuil1
باجة,المنصف الحمروني تستور,,نيكتارين/لوز مر,بيق توب، راد جون، فينيس,Feuil1
باجة,المنصف الحمروني تستور,,عوينة/لوز مر,قولدن جابون، متلاي، سنتاروزا، سنتلاي,Feuil1
باجة,المنصف الحمروني تستور,,مشماش/مشماش,رحيم، حميدة، شاشي، فوراتي، بكور، عمر العش، وردي,Feuil1
باجة,المنصف الحمروني تستور,,تين/عقل,زيدي، بوحولي، بيثر,Feuil1
باجة,المنصف الحمروني تستور,,رمان/عقل,قابسي,Feuil1
باجة,المنصف الحمروني تستور,,تفاح/أم أم 106,آنا، لوركا،  ستار كريمسون، ريتشارد، قولدن دليوشز,Feuil1
باجة,المنصف الحمروني تستور,,إجاص/ب أ 29,ويليامس، ألكسندرين، باسكراسان، بوقدمة، مسكي أحرش، جيل فيوا,Feuil1
باجة,المنصف الحمروني تستور,,توت,حمري,Feuil1
باجة,المنصف الحمروني تستور,,سفرجل,جيان دي فرانجي,Feuil1
باجة,المنصف الحمروني تستور,,رند,رند,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,حب ملوك/سان لوسي 64,بيقارومورو، نابوليون، هاتيف دي بيرلا، إبدلفنجين، فاين,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,عوينة/ميروبلان,606، بلاك ديمان,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,لوز/قرنام,مازطو,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,خوخ/قرنام,كرنفال,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,خوخ/لوز مر,بوطبقاية، ماي كراست،رادتوب،بوطبقاية،فلوردستار،شاطوس,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,لوز/لوز مر,مازطو، بيرلار، عشاق، قسنطيني,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,تفاح/أم أم 106,قولدن دليوشز، آنا، ستاركريمسون، ريشارد، رويال قالا، قولدن سبور,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,إجاص/ب أ 29,ألكسندرين، ويليامس، بوقدمة، عنبري,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,مشماش بذرة,حميدة، باكور,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,سفرجل/ب أ 29,جيان دي فرانجي,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,عوينة/لوز مر,أنجيلوا، 606، بلاك ديامن،قولدن جابون، فريال، سنتاروزا,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,رمان/عقل,قابسي،جبالي، تونسي,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,تين/عقل,بيثر، زيدي,Feuil1
باجة,إبراهيم بن أحمد فريحة تستور,,جوز بذرة,محلي,Feuil1
باجة,محمد فريحة وأبنه- السلوقية تستور,98247702.0,حب ملوك/سان لوسي 64,بوعرقوب، هاتيف دي بيرلات، فاين,Feuil1
باجة,محمد فريحة وأبنه- السلوقية تستور,,لوز/لوز مر,مازطو,Feuil1
باجة,محمد فريحة وأبنه- السلوقية تستور,,عوينة/لوز مر,كلساي، بلاك ديامن، سانتا روزا,Feuil1
باجة,محمد فريحة وأبنه- السلوقية تستور,,خوخ/لوز مر,راد توب، فلوردستار، شاطوس,Feuil1
باجة,محمد فريحة وأبنه- السلوقية تستور,,رمان/عقل,جبالي، قابسي,Feuil1
باجة,محمد فريحة وأبنه- السلوقية تستور,,تين/عقل,بيثر، زيدي، ذكار,Feuil1
