annee,categorie,quantite_tonne,valeur_mille_dinar,feuille
2016,Poissons frais et congelés,21427.0,103057.0,Feuil1
2016,Crustacés,121.0,1636.0,Feuil1
2016,Mollusques,912.0,4653.0,Feuil1
2016,Conserves et semi conserves,9061.0,37662.0,Feuil1
2016,Divers,1.0,6.5,Feuil1
2017,Poissons frais et congelés,23384.0,126069.0,Feuil1
2017,Crustacés,76.0,1578.0,Feuil1
2017,Mollusques,1297.0,6250.0,Feuil1
2017,Conserves et semi conserves,4740.0,25859.0,Feuil1
2017,Divers,1.2,150.0,Feuil1
2018,Poissons frais et congelés,41209.0,215176.0,Feuil1
2018,Crustacés,277.0,3792.0,Feuil1
2018,Mollusques,1240.0,8879.0,Feuil1
2018,Conserves et semi conserves,2171.0,20485.0,Feuil1
2018,Divers,1.0,295.0,Feuil1
2019,Poissons frais et congelés,61908.0,289053.0,Feuil1
2019,Crustacés,101.0,1784.0,Feuil1
2019,Mollusques,1491.0,7959.0,Feuil1
2019,Conserves et semi conserves,3147.0,31533.0,Feuil1
2019,Divers,15.0,382.0,Feuil1
2020,Poissons frais et congelés,54378.0,219675.0,Feuil1
2020,Crustacés,89.0,1684.0,Feuil1
2020,Mollusques,605.0,2776.0,Feuil1
2020,Conserves et semi conserves,3538.0,31943.0,Feuil1
2020,Divers,13.0,310.0,Feuil1
2021,Poissons frais et congelés,66736.0,304020.0,Feuil1
2021,Crustacés,172.0,4386.0,Feuil1
2021,Mollusques,607.0,3436.0,Feuil1
2021,Conserves et semi conserves,2852.0,28389.0,Feuil1
2021,Divers,2.0,41.0,Feuil1
2022,Poissons frais et congelés,61847.0,363210.0,Feuil1
2022,Crustacés,427.0,12049.0,Feuil1
2022,Mollusques,1436.0,8037.0,Feuil1
2022,Conserves et semi conserves,1965.0,22909.0,Feuil1
2022,Divers,7.0,103.0,Feuil1
2023,Poissons frais et congelés,71189.0,410699.0,Feuil1
2023,Crustacés,298.0,7436.0,Feuil1
2023,Mollusques,1289.0,6218.0,Feuil1
2023,Conserves et semi conserves,3043.0,39023.0,Feuil1
2023,Divers,9.0,566.0,Feuil1
2024,Poissons frais et congelés,65399.0,383582.0,Feuil1
2024,Crustacés,785.0,18124.0,Feuil1
2024,Mollusques,1759.0,11665.0,Feuil1
2024,Conserves et semi conserves,3365.0,45108.0,Feuil1
2024,Divers,3.0,757.0,Feuil1
2025,Poissons frais et congelés,80000.0,402630.0,Feuil1
2025,Crustacés,1150.0,35630.0,Feuil1
2025,Mollusques,2080.0,17380.0,Feuil1
2025,Conserves et semi conserves,3930.0,54540.0,Feuil1
2025,Divers,710.0,83980.0,Feuil1
