الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,المجموع,feuille
طبرقة,5896.0,13322.0,11170.0,19173.0,36568.0,21899.0,14913.0,26066.0,20465.0,34128.0,14207.0,34723.0,252530.0,ص س
زوارع,19241.0,18503.0,15506.0,16430.0,18247.0,15620.0,16003.0,17353.0,17423.0,16713.0,13916.0,14129.0,199084.0,ص س
مجموع 1,25137.0,31825.0,26676.0,35603.0,54815.0,37519.0,30916.0,43419.0,37888.0,50841.0,28123.0,48852.0,451614.0,ص س
بنزرت,40254.0,42634.0,66401.0,49640.0,67321.0,32110.0,14445.0,28025.0,8783.0,43253.0,172262.0,94315.0,659443.0,ص س
سيدي مشرق,2130.0,5399.0,11793.0,15826.0,16870.0,23238.0,5069.0,5673.0,3919.0,11332.0,10295.0,10387.0,121931.0,ص س
كاب زبيب,6025.0,6698.0,8778.0,6836.0,14224.0,12151.0,2576.0,5190.0,5453.0,6068.0,17449.0,1992.0,93440.0,ص س
رفراف,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ص س
غار الملح,20222.0,48385.0,25906.0,24897.0,53112.0,21392.0,7176.0,10081.0,8040.0,79798.0,57066.0,42238.0,398313.0,ص س
مجموع 2,68631.0,103116.0,112878.0,97199.0,151527.0,88891.0,29266.0,48969.0,26195.0,140451.0,257072.0,148932.0,1273127.0,ص س
قلعة الأندلس,2384.0,5910.0,7942.0,10890.0,33122.0,53717.0,24454.0,27368.0,13403.0,54248.0,73137.0,26693.0,333268.0,ص س
رواد,1189.96,1552.06,2467.0,4054.0,5616.0,5180.0,4358.0,6124.0,2759.0,8168.0,5825.0,4712.0,52005.020000000004,ص س
مجموع 3,3573.96,7462.0599999999995,10409.0,14944.0,38738.0,58897.0,28812.0,33492.0,16162.0,62416.0,78962.0,31405.0,385273.02,ص س
حلق الوادي,18795.0,43475.0,286283.0,38892.0,24180.0,43290.0,13318.0,31174.0,17077.0,38937.0,18711.0,19262.0,593394.0,ص س
قمرت والمرسى,1716.0,1287.0,4712.0,5579.0,6701.0,3441.0,3944.0,1079.0,1779.0,2757.0,2949.0,7480.0,43424.0,ص س
سيدي بو سعيد,991.0,699.0,2564.0,3086.0,3335.0,1982.0,2171.0,584.0,985.0,4499.0,1629.0,4216.0,26741.0,ص س
خير الدين وصلامبو,1836.0,1378.0,5045.0,5972.0,7173.0,3683.0,4222.0,1155.0,1904.0,2952.0,3157.0,8008.0,46485.0,ص س
مجموع 4,23338.0,46839.0,298604.0,53529.0,41389.0,52396.0,23655.0,33992.0,21745.0,49145.0,26446.0,38966.0,710044.0,ص س
ولاية بن عروس,17707.0,13667.0,16621.0,20137.0,19710.0,19419.0,23160.0,19184.0,19539.0,18694.0,19638.0,18013.0,225489.0,ص س
مجموع 5,17707.0,13667.0,16621.0,20137.0,19710.0,19419.0,23160.0,19184.0,19539.0,18694.0,19638.0,18013.0,225489.0,ص س
قليبية,103132.0,175898.0,56365.0,60147.0,100668.0,93699.0,45656.0,50938.0,40240.0,42971.0,42958.0,106372.0,919044.0,ص س
سليمان,19820.0,18833.0,20180.0,27836.0,36534.0,28426.0,21993.0,27663.0,21300.0,29820.0,18298.0,17716.0,288419.0,ص س
سيدي داود,22010.0,51262.000000000015,45965.0,32738.0,41194.0,26945.0,14520.0,13206.000000000002,23096.0,42813.0,61706.0,77497.0,452952.0,ص س
الحمامات,4402.000000000001,4615.0,4345.0,4783.0,5233.0,4750.0,3107.0,4430.0,4719.0,7171.0,5566.0,8428.0,61549.0,ص س
بني خيار,20107.0,40981.0,28606.0,24261.0,62579.0,27903.0,24133.0,25432.0,32588.999999999996,22203.0,17615.0,23430.0,349839.0,ص س
الهوارية,1289.0,4256.0,4206.0,2519.0,12874.0,7067.0,3013.0,4597.0,1366.0,2664.0,8459.0,5652.0,57962.0,ص س
مجموع 6,170760.0,295845.0,159667.0,152284.0,259082.0,188790.0,112422.0,126266.0,123310.0,147642.0,154602.0,239095.0,2129765.0,ص س
سوسة,73968.0,63055.0,83198.0,82672.0,85740.0,80812.0,66413.0,84646.0,81437.0,64901.0,98371.0,61230.0,926443.0,ص س
السلوم,3103.0,2386.0,4132.0,4587.0,3862.0,2968.0,1207.0,4452.0,1917.0,2521.0,1406.0,951.0,33492.0,ص س
