نوع_الصيد,انتاج_2016_طن,انتاج_2017_طن,انتاج_2018_طن,انتاج_2019_طن,انتاج_2020_طن,انتاج_2021_طن,feuille
الصيد الساحلي,32347,33847,38253,54558.0,43286.0,54987.0,الكمية
الصيد بالجر القاعي,26611,21246,22563,21753.0,21943.0,22722.0,الكمية
الصيد بالجر العائم,119,70,0,,,,الكمية
صيد السمك الأزرق,47378,49855,48453,47592.0,45439.0,41297.0,الكمية
تربية الأحياء المائية,16323,21870,21768,24051.0,23553.0,25970.0,الكمية
الصيد بالبحيرات,550,522,492,339.0,492.0,405.0,الكمية
صيد المحار,1547,734,283,156.0,44.0,,الكمية
صيد التنيات,1562,2053,2115,2400.0,2648.0,2729.0,الكمية
صيد جراد البحر,48,53,33,27.0,20.0,22.3,الكمية
صيد الإسفنج,35,31,6,10.0,3.0,0.3,الكمية
صيد المرجان الأحمر,8,8,6,4.0,2.0,2.5,الكمية
