الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,feuille
صفاقس,255050.0,313623,424382,104896,0,0,0,0,0,0,0,47640,ص المحار
المحرس,998127.0,233722,440862,594458,73117,0,0,0,0,0,0,0,ص المحار
الصخيرة,41895.0,209148,500250,278145,0,0,0,0,0,0,57390,0,ص المحار
زبوسة,670430.0,87560,403412,751114,257572,0,0,0,0,0,1275380,2250068,ص المحار
قـابــس,0.0,0,0,0,0,0,0,0,0,0,0,0,ص المحار
الزرات,17590.0,17920,60950,34690,39280,0,0,0,0,0,0,0,ص المحار
جرجيس,0.0,0,0,0,0,0,0,0,0,0,0,0,ص المحار
أجيم,0.0,0,3220,5400,19260,0,0,0,0,0,0,0,ص المحار
بوغرارة,0.0,0,0,0,0,0,0,0,0,0,0,0,ص المحار
القرين,,6300,6400,103225,24500,0,0,0,0,0,0,0,ص المحار
