unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,feuille
النشاط حسب الولايات,,,,,,,,,,,,,,ت أ م
جندوبة وباجة,289852.0,291640.0,0.0,0.0,383570.0,330280.0,297270.0,299440.0,320540.0,373670.0,393356.00000000006,382004.0,3361622.0,ت أ م
الكاف,7350.0,4350.0,0.0,0.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,172000.0,189950.0,ت أ م
بنزرت,3244.0,21040.0,0.0,0.0,10599.0,13748.0,0.0,688.0,3328.0,1752.0,27632.0,44868.0,126899.0,ت أ م
نابل,11439.0,35091.0,0.0,0.0,11491.0,24494.0,16295.999999999998,16984.0,19277.0,26853.0,31665.0,28175.0,221765.0,ت أ م
بن عروس,0.0,3229.0,0.0,0.0,7454.0,2360.0000000000005,0.0,0.0,480.0,0.0,5290.0,1920.0,20733.0,ت أ م
سليانة,12220.0,18880.0,0.0,0.0,14627.0,20044.0,20188.0,21247.0,25392.0,23367.0,20295.0,18147.0,194407.0,ت أ م
زغوان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,48000.0,ت أ م
القيروان,22000.0,22500.0,0.0,0.0,14700.0,12300.0,14400.0,15700.0,14000.0,8000.0,9400.0,9900.0,142900.0,ت أ م
القصرين,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,10400.0,ت أ م
السدود والأودية,346105.0,396730.0,0.0,0.0,448691.0,403226.0,348154.0,354059.0,383017.0,433642.0,487638.00000000006,715414.0,4316676.0,ت أ م
صفاقس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89754.0,89754.0,ت أ م
سيدي بوزيد,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68880.0,68880.0,ت أ م
قبلي,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,4200.0,ت أ م
مدنين,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33600.0,33600.0,ت أ م
توزر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26880.0,26880.0,ت أ م
إنتاج سمك البلطي  (Tilapia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223314.0,223314.0,ت أ م
تربية السبيرولين*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483520.0,1483520.0,ت أ م
مجموع 1: مسطحات المياه العذبة,346105.0,396730.0,0.0,0.0,448691.0,403226.0,348154.0,354059.0,383017.0,433642.0,487638.00000000006,2422248.0,6023510.0,ت أ م
تربية طحالب بحرية ببنزرت**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6840.0,6840.0,ت أ م
ولاية بنزرت,1885643.85,2056194.5,2686319.2500000005,2711110.8,2296034.9,1232382.9500000002,1175215.25,1697581.15,1810124.35,2667782.95,2360539.8,3459094.2000000007,26038023.95,ت أ م
ولاية نابل,1340522.6258058506,2812717.7785168625,1482269.9470653995,1256528.3268140615,1466135.7589039323,1612589.2304549147,978529.8471399292,1175028.9,1517726.5,1555910.9,601925.6752561951,1911673.4100428545,17711558.9,ت أ م
ولاية سوسة,253001.9424182524,1402099.979395287,653158.4,3843713.2988956342,1154477.8471816943,2591518.126443781,3062882.7511787964,3417568.562374075,4954278.80162018,2010863.501176404,2087246.9306507905,1743783.0597826347,27174593.20111753,ت أ م
ولاية المنستير,12621756.398358896,10904139.255962873,17254430.439269047,22060713.28054856,19581083.77927783,15075867.109718312,17186016.089520797,18432766.618722502,19005552.29923593,18981308.6104708,14622790.474880246,18761148.344034217,204487572.7,ت أ م
ولاية المهدية,2962467.684555595,2365360.38152678,966899.6286695952,4221318.882129854,1558238.3692247262,2460854.586580299,2215249.6250069607,6013382.024991699,3974151.082924789,2232578.217971204,2186340.682426431,1475972.8339920714,32632814.0,ت أ م
مجموع تربية الأسماك البحرية,19063392.501138598,19540511.8954018,23043077.66500404,34093384.58838811,26055970.654588185,22973212.00319731,24617893.56284648,30736327.256088275,31261833.03378089,27448444.179618403,21858843.56321366,27351671.84785178,308044562.7511175,ت أ م
تربية القوقعيات ببنزرت,51965.0,77456.0,15187.0,1518.0,140060.0,251874.0,114828.0,91386.0,18530.0,58411.0,71455.0,28144.0,920814.0,ت أ م
تسمين التن الأحمر ***,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65900000.0,65900000.0,ت أ م
مجموع 2 : تربية الأحياء البحرية,19115357.501138598,19617967.8954018,23058264.66500404,34094902.58838811,26196030.654588185,23225086.00319731,24732721.56284648,30827713.256088275,31280363.03378089,27506855.179618403,21930298.56321366,93286655.84785178,374872216.7511175,ت أ م
المجموع العام,19461462.501138598,20014697.8954018,23058264.66500404,34094902.58838811,26644721.654588185,23628312.00319731,25080875.56284648,31181772.256088275,31663380.03378089,27940497.179618403,22417936.56321366,95708903.84785178,380895726.7511175,ت أ م
القيمة بالدينار,,,,,,,,,,,,,,ت أ م
ولايات نابل، المهدية، المنستير، قابس وسيدي بوزيد  *,,,,,,,,,,,,,,ت أ م
