الميناء,صيد_ساحلي,صيد_بالجر_القاعي,صيد_بالجر_العايم,صيد_السمك_الازرق,صيد_التنيات,صيد_بالبحيرات,تربية_الاحياء_المايية,صيد_المحــــار,صيد_الاسفنج,صيد_المرجان_الاحمر,صيد_جراد_البحر,feuille
طبرقة,1249395.0,3485686.0,,163574.0,,,,,,522150.0,221262.0,قيمة بالدينار
زوارع,890128.0,,,,,,,,,,,قيمة بالدينار
سد سيدي سالم,,,,,,,2021043.1999999997,,,,,قيمة بالدينار
سد بني مطير وبوهرتمة,,,,,,,35200.0,,,,,قيمة بالدينار
سد بربرا,,,,,,,42.24000000000001,,,,,قيمة بالدينار
سد سيدي البراق,,,,,,,371676.8,,,,,قيمة بالدينار
سد الزرقة,,,,,,,7040.0,,,,,قيمة بالدينار
سد كساب,,,,,,,86169.6,,,,,قيمة بالدينار
بنزرت,6779580.0,17757473.76,,1244561.05,,,1090000.0,,63100.0,4631528.0,,قيمة بالدينار
جالطة,,,,,,,,,,,1896571.88,قيمة بالدينار
تينجة,,,,,,43500.0,,,,,,قيمة بالدينار
م. عبد الرحمان,,,,,,747635.0,,,,,,قيمة بالدينار
كاب زبيب,712786.66,,,,,,,,,,,قيمة بالدينار
رفراف,,,,,,,,,,,,قيمة بالدينار
غار الملح,1705111.86,,,35389527.75,,310216.0,10693472.5,,,,,قيمة بالدينار
سيدي مشرق,526174.36,,,,,,,,,413960.0,,قيمة بالدينار
سد جومين,,,,,,,11246.400000000001,,,,,قيمة بالدينار
سد سجنان,,,,,,,10753.600000000002,,,,,قيمة بالدينار
سد غزالة والزياتين,,,,,,,13446.4,,,,,قيمة بالدينار
أريانة,1125376.645929,,,,,,,,,,,قيمة بالدينار
حلق الوادي,1380208.5999999999,23875569.9,,2672974.8999999994,,853497.12,,,,,,قيمة بالدينار
المرسى,478000.0,,,,,,,,,,,قيمة بالدينار
سيدي بو سعيد,810000.0,,,,,,,,,,,قيمة بالدينار
صلامبو,312000.0,,,,,,,,,,,قيمة بالدينار
بن عروس,1900194.29779,,,,,298116.0,14509.0,,,,,قيمة بالدينار
قليبية,9421807.920000002,16857946.169999998,182525.0,14307557.1,,,,,,,779895.2399999999,قيمة بالدينار
سليمان,3983267.56,,,,,,,,,,,قيمة بالدينار
سيدي داود,3784128.0,,,3733291.0,,,,,,,306365.0,قيمة بالدينار
بني خيار,1785114.6600000001,,,3238117.1,,,17472742.0,,,,,قيمة بالدينار
الحمامات,,,,,,,7376947.0,,,,,قيمة بالدينار
الهوارية,258215.63999999998,,,,,,,,,,411.8,قيمة بالدينار
سد الملاعبي ولبنة,,,,,,,22067.0,,,,,قيمة بالدينار
سد بزيرق,,,,,,,19152.32,,,,,قيمة بالدينار
سد المصري,,,,,,,13376.0,,,,,قيمة بالدينار
سد العبيد ولحجار,,,,,,,43077.759999999995,,,,,قيمة بالدينار
سوسة,6080235.52,7629040.06,,3214890.75,,,,,,,,قيمة بالدينار
السلوم,253572.24,,,,,,,,,,,قيمة بالدينار
هرقلة,1029173.4,,,46575.0,21695700.0,,12972619.0,,,,,قيمة بالدينار
القنطاوي,427285.10000000003,,,,,,,,,,,قيمة بالدينار
سيدي عبد الحميد,2962000.7199999997,,,,,,,,,,,قيمة بالدينار
المنستير,2462883.5,,,,,,33469733.0,,,,,قيمة بالدينار
خنيس,605770.5800000001,,,,,,,,,,,قيمة بالدينار
قصيبة المديوني,620471.8400000001,,,,,,,,,,,قيمة بالدينار
صيادة,1445602.6,,,,,,,,,,,قيمة بالدينار
طبلبة,7672728.6,3218935.59,,61154396.4,,,89555576.0,,,,,قيمة بالدينار
بقالطة,3112375.1,,,,,,22402107.0,,,,,قيمة بالدينار
مهدية,4089064.66,12568410.270000001,,5379881.700000001,,,13677000.0,,,,,قيمة بالدينار
صلقطة,895310.0,,,,,,,,,,,قيمة بالدينار
الشابة,48808339.400000006,30200375.620000005,,5379881.700000001,,,12654213.0,,,,,قيمة بالدينار
ملولش,5236470.100000001,,,,,,,,,,,قيمة بالدينار
صفاقس,2667604.9,91666887.39,,241310.25,39898800.0,,39510.0,1145591.0,,,,قيمة بالدينار
اللوزة,10579426.0,,,,,,,,,,,قيمة بالدينار
العوابد,1320692.3,,,,,,,,,,,قيمة بالدينار
سيدي منصور,1405047.4,,,,,,,,,,,قيمة بالدينار
مليتة,44154743.8,,,,,,,,,,,قيمة بالدينار
العطايا,7969252.200000001,,,,,,,,,,,قيمة بالدينار
القراطن,8737103.8,,,,,,,,1170000.0,,,قيمة بالدينار
زبوســة,2068952.7799999998,,,,,,,5695536.0,,,,قيمة بالدينار
المحرس,,,,,,,,2340286.0,,,,قيمة بالدينار
الصخيرة,2505875.2,,,525262.5,,,,1086828.0,,,,قيمة بالدينار
قابس,8190034.600000001,,,9297945.5,,,480000.0,,,,,قيمة بالدينار
غنوش,5497544.200000001,,,1349674.5,,,,,,,,قيمة بالدينار
الزرات,1578188.0,,,2430674.5,,,,170430.0,,,,قيمة بالدينار
جرجيس,32674344.839999996,4010297.8499999996,,29523845.349999998,,,2438590.0,,3000000.0,,,قيمة بالدينار
حومة السوق,18877409.0,,,655500.0,,,,,,,,قيمة بالدينار
أجيم,7509144.6,,,,,,57500.0,27880.0,,,,قيمة بالدينار
بوغرارة,2581446.4000000004,,,,,,,,,,,قيمة بالدينار
الكتف,16717546.4,,,,,,,,,,,قيمة بالدينار
أغير,2180978.0,,,,,,,,,,,قيمة بالدينار
حاسي جلابة,1857942.2,,,,,,,,,,,قيمة بالدينار
القرين,2334372.08,,,,,,,140425.0,,,,قيمة بالدينار
بحيرة البيبان,,,,,,2647240.0,,,,,,قيمة بالدينار
سليانة,,,,,,,70283.84,,,,,قيمة بالدينار
لخماس وصماتي,,,,,,,62976.32,,,,,قيمة بالدينار
سيدي  سعـــد ونبهانة,,,,,,,1782804.8,,,,,قيمة بالدينار
بئر مشارقة والرمل,,,,,,,31398.4,,,,,قيمة بالدينار
ملاق والسواني,,,,,,,60368.0,,,,,قيمة بالدينار
تربية الطحالب بسيدي بوزيد,,,,,,,115000.0,,,,,قيمة بالدينار
تربية الأسماك بالمياه العذبة بتطاوين وقبلي,,,,,,,12600.0,,,,,قيمة بالدينار
