annee,mais_fourrager,tourteau_de_soja,feuille
2001,729208.638,264361.0,Feuil2
2002,776503.227,305245.0,Feuil2
2003,630707.3,241176.0,Feuil2
2004,691501.0,331284.0,Feuil2
2005,769499.688,289194.0,Feuil2
2006,760512.231,260689.0,Feuil2
2007,817355.2349999999,309716.0,Feuil2
2008,681240.9860000001,337022.0,Feuil2
2009,716568.104,160876.0,Feuil2
2010,877770.8359999999,60820.0,Feuil2
2011,863000.0,36067.0,Feuil2
2012,800699.307,107599.33399999997,Feuil2
2013,858745.0939999999,85935.425,Feuil2
2014,1132793.26,145665.657,Feuil2
2015,1136139.478,106750.0,Feuil2
2016,1058528.989,139908.65,Feuil2
2017,1100426.0,74755.0,Feuil2
2018,917721.0,37193.0,Feuil2
2019,995500.0,46500.0,Feuil2
