annee,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
Janvier,0.0,0.0,0.0,0.0,0.0,890,0.0,0.0,0.0,0,0,0,qté-en-tonne
Février,0.0,0.0,13913.493,0.0,0.0,0,0.0,0.0,0.0,0,0,5400,qté-en-tonne
Mars,0.0,4609.2,3052.769,0.0,6545.0,0,0.0,0.0,11000.0,0,8950,24750,qté-en-tonne
Avril,0.0,2758.0,5002.392,0.0,,0,0.0,6100.0,0.0,9465,28007,0,qté-en-tonne
Mai,0.0,2790.0,8923.0,0.0,7798.99,0,0.0,0.0,10881.317,0,47250,0,qté-en-tonne
Juin,0.0,8166.0779999999995,9870.78,0.0,0.0,0,0.0,0.0,9700.0,0,16267,0,qté-en-tonne
Juillet,0.0,3300.0,11215.697,4950.0,0.0,0,0.0,0.0,0.0,0,0,0,qté-en-tonne
Août,12191.12,4300.023,6593.12,13600.0,11030.21,16558,5000.0,10538.95,54894.055,12003,0,27502,qté-en-tonne
Septembre,8029.009,11785.2,0.0,2432.273,10998.14,0,0.0,35182.76,20210.729,14131,0,0,qté-en-tonne
Octobre,8912.54,7514.18,0.0,5540.35,0.0,0,0.0,10894.94,6763.85,0,0,0,qté-en-tonne
Novembre,70.171,5874.0,0.0,0.0,0.0,0,5060.355,0.0,16201.507,0,0,0,qté-en-tonne
Décembre,0.0,8082.002,0.0,11549.4,0.0,0,0.0,0.0,0.0,0,0,0,qté-en-tonne
