annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
Janvier,,1625.94,3966.0,,6792.02,4560.0,4045.0,3600.0,10010.24,1203.0,,,2196.0,3300.0,2148.82,,2200,0,0,Qté-tonne
Février,14821.51,3802.41,1640.0,,,5875.0,7268.0,6736.7,1100.0,4247.32,4746.02,,2750.0,,2000.0,2200.0,2699,3390,0,Qté-tonne
Mars,6187.82,7280.46,4000.0,,,,2000.0,11290.6,,6126.6,5702.66,1995.0,5202.0,,2750.0,3000.0,2083,2350,2414,Qté-tonne
Avril,5127.73,6796.36,2200.0,,4383.948,,2410.0,,,1637.28,2165.36,3200.0,,,,3300.0,0,1063,2088,Qté-tonne
Mai,2753.0,,2081.38,,2860.0,,2015.0,,,2334.9,,3285.0,5734.8,,,2740.8,0,3558,2362,Qté-tonne
Juin,5514.44,9047.56,2200.0,,,,,,,4430.52,,,,3027.0,3297.89,5782.04,2110,2459,0,Qté-tonne
Juillet,11122.216,,,,10855.58,6500.0,2602.84,10959.66,3075.0,2331.12,2200.0,2199.98,,,,,2530,0,0,Qté-tonne
Août,,2129.61,,,3100.0,,3844.0,2268.86,3741.0,1265.0,,,2700.0,5239.22,4040.0,5465.22,0,0,0,Qté-tonne
Septembre,,5929.61,4219.76,1784.6,,4250.0,2980.0,,,6008.1,,,2040.55,,,3286.87,2404,0,0,Qté-tonne
Octobre,1666.82,1698.6,,,4792.22,4732.0,7713.0,2000.0,4650.0,8694.93,9445.0,,,,,1812.02,0,0,0,Qté-tonne
Novembre,3983.96,4685.0,,1300.0,4082.0,2000.0,,,549.0,4096.12,1548.16,,,2650.0,100.47,,0,0,0,Qté-tonne
Décembre,3070.57,4600.0,1351.71,6940.28,,5095.0,3699.18,2100.0,2222.0,,2650.0,4391.76,2200.0,2500.0,7068.16,,2200,0,0,Qté-tonne
