annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
janvier,101019.28800000002,86149.883,29126.7,89301,32246.154000000002,50413.0,84880.57500000001,36452.594,23079.6,37667.1,131331.584,29678,83818,54900.0,33000.0,29700.0,94499.96,114494.0,56932,mais T
fevrier,27599.981,69288.841,97280.58599999998,52850,105402.01800000001,116428.0,88981.69800000002,73329.21900000001,60125.795,44889.02,,48503,67649,153422.37,78683.86,123605.7,112699.318,60726.0,116850,mais T
mars,97044.374,84631.546,52506.0,71600,82991.62400000001,69684.0,43998.98,42181.723,51488.117,74282.05199999998,100685.05799999999,31293,28600,79701.502,118864.1,147634.2,117593.54400000001,85036.0,88350,mais T
avril,48902.36,94636.205,84203.0,64900,60521.3,,94502.0,100336.933,73922.08099999999,82663.8,40875.563,107242,87243,64466.657,87055.69,62698.98,91085.22,54782.0,71048,mais T
mai,40490.3,54981.38399999999,71924.0,67930,37816.0,76771.0,29914.62,74617.71,56574.385,91663.547,80935.829,40101,100745,145486.32,137068.4,87065.57,156795.267,80097.4,32500,mais T
juin,24400.0,82283.22899999999,32715.2,110000,86005.86499999999,65463.731,41388.748,45817.67800000001,79540.241,101665.59,96406.029,85610,50760,30249.56,103693.4,143904.8,21988.524,80141.8,81803,mais T
juillet,74930.95800000001,38542.796,74453.0,43700,61805.0,76888.0,20549.664,47670.24,90405.10800000001,85746.26,85851.77900000001,65162,80371,72507.67,19046.69,22230.1,36375.0,104274.0,51195,mais T
aout,41620.210999999996,61199.494999999995,50057.026,65900,73403.81,18628.0,34798.225,13727.135,35121.287000000004,66386.03,27500.0,78882,94336,128847.98,96759.74,83434.79,122315.095,51666.0,125165,mais T
septembre,78150.67299999998,62884.922999999995,,54576,58004.273,49674.0,51631.225,52687.665,37951.676,81177.609,27497.441,130217,60948,58800.51,98272.32,32799.66,95170.788,27704.0,60095,mais T
octobre,87892.107,42391.27,37318.125,26019,73323.963,47037.0,100775.08499999999,60144.24,26613.337,86259.334,67183.864,50237,15673,73841.467,119875.5,89070.49,63300.0,87908.0,153720,mais T
novembre,46653.765,65546.41500000001,33948.763,22279,53805.0,74794.0,128796.811,90940.13,131102.013,57498.968,101573.489,38789,128702,183250.84,149219.9,151084.8,128890.007,142841.0,94332,mais T
decembre,60504.62100000001,33967.24,67174.9,22446,44174.681,114731.5,97137.60399999999,43335.719,50644.464,67871.526,103000.0,94987,59900,87318.388,94599.96,85300.0,59713.551999999996,28050.0,63470,mais T
