عنوان_المخازن,الهاتف_الفاكس,عنوان_الشركة,اسم_الشركة,feuille
طريق المهدية كلم 29 العامرة 3036 صفاقس,74899205--74899960,طريق المهدية كلم 29 العامرة 3036 صفاقس,شركة ماديميكس  medimix,Feuil1
سيدي سالم- الحصايري- العامرة /صفاقس,74830640--74830641,طريق المهدية كلم 10  صفاقس,شركة التغذية للجنوب نوتريسيد  Nutrisud,Feuil1
شارع الهادي نويرة 4003 سوسة    طريق قابس سيدي عبيد صفاقس,73220565--73229948,شارع الهادي نويرة 4003 سوسة,الشركة المتوسطية للحبوب Medigrain,Feuil1
المنطقة الصناعية قرمباليا 8030,72255680  --   7225537,المنطقة الصناعية قرمباليا 8030,شركة بروفيتال  Provital,Feuil1
طريق عين طبرنق- 8030 قرمباليا كلم 4,72211755  --  72211596,طريق عين طبرنق- 8030 قرمباليا كلم 4,شركة البركة  Elbaraka,Feuil1
طريق تونس كلم13 سيدي صالح -صفاقس   -- المنطقة الصناعية ماطر,70020600  --  74273889,طريق تونس كلم13 سيدي صالح -صفاقس   -- المنطقة الصناعية ماطر,شركة ألماس    Almes,Feuil1
المنطقة الصناعية برج السدرية,70020640  --  71430911,المنطقة الصناعية برج السدرية,شركة السّدرية   Cedria,Feuil1
المنطقة الصناعية برج السدرية   --  المنطقة الصناعية سيدي الهاني,73280400  --  73280409,المنطقة الصناعية برج السدرية   --  المنطقة الصناعية سيدي الهاني,شركة تغذية الحيوانات     SNA,Feuil1
الشرقية,71345047,الشرقية,الشركة التونسية للحبوب   Tunigrain,Feuil1
المنطقة الصناعية جبل الوسط بئر مشارقة زغوان,70011740,المنطقة الصناعية جبل الوسط بئر مشارقة زغوان,شركة نوتريميكس    Nutrimix,Feuil1
المنطقة الصناعية برج السدرية,70020640  --  70020520  --  71430911,طريق رقم 1 كم 12 الزهراء 2034 بن عروس,شركة بولينا   Poulina,Feuil1
,,18 أبو هريرة المنزه الخامس أريانة,شركة سجيدة Sejida grains,Feuil1
