annee,2001_prix_dt,2002_prix_dt,2003_prix_dt,2004_prix_dt,2005_prix_dt,2006_prix_dt,2007_prix_dt,2008_prix_dt,2009_prix_dt,2010_prix_dt,2011_prix_dt,2012_prix_dt,2013_prix_dt,2014_prix_dt,2015_prix_dt,2016_prix_dt,2017_prix_dt,2018_prix_dt,2019_prix_dt,feuille
Janvier,142.31760969220696,119.65816160846282,123.9,,,152.405,222.7,292.929025,142.62919960877605,209.0391308141482,336.6862462645585,311.0579094018018,431.37935211085664,363.8019464792885,362.2795,357.4200000000001,354.659,441.0,610.0,prix-dinar-tonne
Février,143.52,122.17137233611874,127.21896183305665,,162.37875271767564,150.62,202.11126803435667,306.26097467226367,190.49601630273494,222.00129058306985,,323.8842984808104,447.0160391240713,343.1602112431528,348.7401709883851,350.6936228787344,363.474,443.0,594.5,prix-dinar-tonne
Mars,145.10839156245146,123.67783614970209,114.49624659789498,,161.6074840072724,150.3,,278.784,188.88480534591525,229.28308894766488,,326.2370259861748,420.23999999999995,335.6978648292587,335.08944297973096,337.089743798712,381.0,461.0,586.6,prix-dinar-tonne
Avril,143.42,125.43914752295527,137.307,,149.5644404735314,151.62,,,,234.4333269358197,,337.57919876067785,410.424944,351.04542,332.555921534573,348.28898439424427,396.0,457.0,579.3,prix-dinar-tonne
Mai,,128.37573407330714,,,,,,,191.14296796283583,216.88594789687477,306.0001,,424.0731194832969,356.85612000000003,336.2598220053035,366.3120251612903,425.0,459.0,562.2,prix-dinar-tonne
Juin,,130.48782522887512,,,153.40000171659537,146.18,,302.8649988557222,191.3275,207.85436539842013,,346.65229358598543,434.230712468996,369.6,313.5728299920672,385.01482746959033,0.0,517.0,526.1,prix-dinar-tonne
Juillet,,,,,156.25833398130948,147.66,,,,209.56239661901353,318.978,356.3212176501306,390.6,,318.52575841837074,393.0274437202707,409.0,531.0,522.0,prix-dinar-tonne
Août,,128.10478710768757,,,164.76176942079482,146.52,240.5,,162.196,223.61598837209306,314.0950920322674,,,399.5189293849658,330.11374318658284,387.4660670305964,416.0,551.0,521.0,prix-dinar-tonne
Septembre,,121.8,,,154.9075,170.51,,295.8308134551125,139.79931836812048,287.92527657972033,313.1660342986022,,400.19773342029356,374.840326568242,308.80707959578984,379.7890909090909,427.0,551.5,513.5,prix-dinar-tonne
Octobre,127.48856697365136,121.31451460913453,,163.8,150.82334927844994,166.90628895184133,,290.82940374034,168.08,303.334574708389,319.1022170887383,,387.1433890677301,359.7737428013998,301.4406490316185,352.2236424719336,416.0,554.2,496.4,prix-dinar-tonne
Novembre,133.2072506107312,126.0,,168.245,147.78721427854373,,,235.9251948051948,183.69376481967666,321.3840205840284,329.1672783548382,,,355.9038709707313,350.926869654608,360.63572969853067,416.0,572.5,484.7,prix-dinar-tonne
Décembre,124.42450000000001,134.4,,169.457,148.934603211057,213.4056684684685,345.32,181.27,225.5079980062888,327.7654621400205,326.03797049808827,,392.05237375316136,365.12,361.25101122522403,365.5465414825587,451.0,0.0,503.3,prix-dinar-tonne
