annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
Janvier,,145.7,171.15121533030762,,132.30278821322668,183.547,190.4,299.825,244.13423662169942,198.135,,,391.23,368.9,251.85,,364,0.0,0.0,Prix-dinar-tonne
Février,175.1595725941554,169.71380182568427,181.89,,,182.7,192.80791139240506,347.2700283521606,234.24,202.19964377536894,268.80776638109404,,351.12,,329.55,314.636,340,415.4,0.0,Prix-dinar-tonne
Mars,172.56499691329097,176.8334073945877,188.178,,,,200.6,355.32761897507663,,189.9899460549081,265.07159693897233,286.27,342.72,,289.09,284.25,335,452.7,555.4,Prix-dinar-tonne
Avril,157.3534589379706,175.1242397989512,172.2,,184.26520040839898,,208.67842323651453,,,181.44,296.7,336.0,,,,316.974,0,428.0,519.2,Prix-dinar-tonne
Mai,169.22473211042498,,164.01,,185.15,,211.75,,,166.5,,300.0,360.588,,,293.237,0,444.6,530.2,Prix-dinar-tonne
Juin,157.26504305060894,166.4393726485373,161.13799999999998,,,,,,,201.34586730225794,,,,376.32,338.054,321.663,368,450.0,,Prix-dinar-tonne
Juillet,146.27837175613203,,,,184.8427765259894,187.94,218.24,364.5705787223326,223.51314634146343,178.6,309.29,350.24,,,,,357,0.0,,Prix-dinar-tonne
Août,,162.91345232225618,,,185.13548387096773,,228.8,224.2,235.75,213.57,,,366.24,359.56,304.55,319.25,0,0.0,,Prix-dinar-tonne
Septembre,,163.1955756280767,152.5734354560449,182.4,,182.162,244.26,,,217.99648371365322,,,334.5,,,310.716,378,0.0,,Prix-dinar-tonne
Octobre,152.1,164.92,,,189.04306955857618,186.0416229923922,245.10990016854663,348.88,198.14075251612903,230.46666016402665,297.18169401799895,,,,,340.78,0,0.0,,Prix-dinar-tonne
Novembre,162.5,163.55163287086447,,177.33,149.85066144047036,188.857,,,215.83,250.82149952638107,266.288,,,354.744,444.039,,0,0.0,,Prix-dinar-tonne
Décembre,152.75,163.82152173913045,152.99980025301284,185.24560673344592,,166.27409224730127,245.7414562146205,346.92,198.45,,328.99,382.017,383.69,311.401,324.115,,408,0.0,,Prix-dinar-tonne
