annee,2008_prix_dol,2009_prix_eur,2010_prix_dol,2011_prix_dol,2012_prix_dol,2013_prix_dol,2014_prix_dol,2015_prix_dol,2016_prix_dol,2017_prix_dol,2018_prix_dol,2019_prix_dol,feuille
Janvier,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0,0.0,0.0,prix-en-devise-tonne
Février,0.0,0.0,196.30421922086714,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,250.0,prix-en-devise-tonne
Mars,0.0,160.0,190.0,0.0,257.02,0.0,0.0,0.0,175.5,0,217.4,240.75,prix-en-devise-tonne
Avril,0.0,160.5,183.00000079961748,0.0,,0.0,0.0,215.5,0.0,195,224.0,0.0,prix-en-devise-tonne
Mai,0.0,160.5,147.87689342149503,0.0,283.0,0.0,0.0,0.0,177.0,0,218.2,0.0,prix-en-devise-tonne
Juin,0.0,178.4634557739958,182.58322370673847,0.0,0.0,0.0,0.0,0.0,188.5,0,221.5,0.0,prix-en-devise-tonne
Juillet,0.0,197.0,181.75936286438554,314.42,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,prix-en-devise-tonne
Août,331.79999950783855,146.00050743914625,251.85088546848834,285.8125,314.57,263.52,245.09,198.0,179.71,182,0.0,206.0,prix-en-devise-tonne
Septembre,326.36765135024757,158.47548026338117,0.0,267.2999988076996,314.0,0.0,0.0,134.59,173.44,180,0.0,0.0,prix-en-devise-tonne
Octobre,294.6692716105622,150.5,0.0,287.50000090247005,0.0,0.0,0.0,180.0,170.15,0,0.0,0.0,prix-en-devise-tonne
Novembre,327.3799717832153,177.63,0.0,0.0,0.0,0.0,213.3,0.0,165.0,0,0.0,0.0,prix-en-devise-tonne
Décembre,0.0,181.21682721682077,0.0,252.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,prix-en-devise-tonne
