date,gouvernorat,prix_min,prix_max,feuille
2024-11-04,Kairouan,1.5,2.5,Prix olives à huile
2024-11-04,Sfax,2.0,3.5,Prix olives à huile
2024-11-04,Sidi Bouzid,1.6,2.7,Prix olives à huile
2024-11-05,Kairouan,1.0,2.0,Prix olives à huile
2024-11-05,Sfax,1.8,2.0,Prix olives à huile
2024-11-05,Sidi Bouzid,1.4,2.0,Prix olives à huile
2024-11-06,Kairouan,1.0,2.0,Prix olives à huile
2024-11-06,Sfax,1.5,2.0,Prix olives à huile
2024-11-06,Sidi Bouzid,1.3,2.0,Prix olives à huile
2024-11-07,Kairouan,1.2,2.0,Prix olives à huile
2024-11-07,Sfax,0.8,2.7,Prix olives à huile
2024-11-07,Sidi Bouzid,0.6,2.0,Prix olives à huile
2024-11-08,Kairouan,1.0,2.0,Prix olives à huile
2024-11-08,Sfax,1.0,2.7,Prix olives à huile
2024-11-08,Sidi Bouzid,0.5,2.0,Prix olives à huile
2024-11-11,Kairouan,1.0,2.85,Prix olives à huile
2024-11-11,Sfax,1.0,2.7,Prix olives à huile
2024-11-11,Sidi Bouzid,0.65,2.0,Prix olives à huile
2024-11-12,Kairouan,1.2,2.85,Prix olives à huile
2024-11-12,Sfax,1.2,3.2,Prix olives à huile
2024-11-12,Sidi Bouzid,0.57,2.2,Prix olives à huile
2024-11-13,Kairouan,1.0,2.85,Prix olives à huile
2024-11-13,Sfax,1.0,3.2,Prix olives à huile
2024-11-13,Sidi Bouzid,1.142,1.742,Prix olives à huile
2024-11-14,Kairouan,1.0,2.85,Prix olives à huile
2024-11-14,Sfax,1.0,3.2,Prix olives à huile
2024-11-14,Sidi Bouzid,1.127,1.919,Prix olives à huile
2024-11-15,Kairouan,1.0,2.85,Prix olives à huile
2024-11-15,Sfax,1.0,3.5,Prix olives à huile
2024-11-15,Sidi Bouzid,1.146,1.973,Prix olives à huile
2024-11-16,Kairouan,,,Prix olives à huile
2024-11-16,Sfax,1.0,3.2,Prix olives à huile
2024-11-16,Sidi Bouzid,,,Prix olives à huile
2024-11-17,Kairouan,1.0,2.5,Prix olives à huile
2024-11-17,Sfax,1.0,3.2,Prix olives à huile
2024-11-17,Sidi Bouzid,1.45,2.05,Prix olives à huile
2024-11-18,Kairouan,1.5,2.5,Prix olives à huile
2024-11-18,Sfax,1.0,3.2,Prix olives à huile
2024-11-18,Sidi Bouzid,1.1876923076923076,2.0906153846153845,Prix olives à huile
2024-11-19,Kairouan,1.0,2.5,Prix olives à huile
2024-11-19,Sfax,1.0,3.2,Prix olives à huile
2024-11-19,Sidi Bouzid,1.313,2.159,Prix olives à huile
2024-11-20,Kairouan,1.4,2.5,Prix olives à huile
2024-11-20,Sfax,1.0,3.2,Prix olives à huile
2024-11-20,Sidi Bouzid,1.332,2.219,Prix olives à huile
2024-11-21,Kairouan,1.5,2.5,Prix olives à huile
2024-11-21,Sfax,1.0,3.2,Prix olives à huile
2024-11-21,Sidi Bouzid,1.2120769230769228,2.276923076923077,Prix olives à huile
2024-11-22,Kairouan,1.5,2.5,Prix olives à huile
2024-11-22,Sfax,1.2,3.0,Prix olives à huile
2024-11-22,Sidi Bouzid,1.2976153846153846,2.1116923076923078,Prix olives à huile
2024-11-23,Kairouan,,,Prix olives à huile
2024-11-23,Sfax,,,Prix olives à huile
2024-11-23,Sidi Bouzid,,,Prix olives à huile
2024-11-24,Kairouan,,,Prix olives à huile
2024-11-24,Sfax,,,Prix olives à huile
2024-11-24,Sidi Bouzid,,,Prix olives à huile
2024-11-25,Kairouan,1.5,2.5,Prix olives à huile
2024-11-25,Sfax,1.0,3.2,Prix olives à huile
2024-11-25,Sidi Bouzid,1.2120769230769233,1.970076923076923,Prix olives à huile
2024-11-26,Kairouan,1.4,2.5,Prix olives à huile
2024-11-26,Sfax,1.1,3.2,Prix olives à huile
2024-11-26,Sidi Bouzid,1.251,2.036,Prix olives à huile
2024-11-27,Kairouan,1.2,2.5,Prix olives à huile
2024-11-27,Sfax,1.0,3.2,Prix olives à huile
2024-11-27,Sidi Bouzid,1.2528461538461537,2.0344615384615383,Prix olives à huile
2024-11-28,Kairouan,1.0,2.5,Prix olives à huile
2024-11-28,Sfax,1.0,3.2,Prix olives à huile
2024-11-28,Sidi Bouzid,1.202,1.974,Prix olives à huile
2024-11-29,Kairouan,0.8,2.2,Prix olives à huile
2024-11-29,Sfax,1.0,2.2,Prix olives à huile
2024-11-29,Sidi Bouzid,1.1344615384615384,1.8425384615384612,Prix olives à huile
2024-11-30,Kairouan,,,Prix olives à huile
2024-11-30,Sfax,1.0,2.2,Prix olives à huile
2024-11-30,Sidi Bouzid,,,Prix olives à huile
2024-12-01,Kairouan,,,Prix olives à huile
2024-12-01,Sfax,,,Prix olives à huile
2024-12-01,Sidi Bouzid,,,Prix olives à huile
2024-12-02,Kairouan,0.8,2.2,Prix olives à huile
2024-12-02,Sfax,1.0,2.0,Prix olives à huile
2024-12-02,Sidi Bouzid,0.9152307692307693,1.5272307692307692,Prix olives à huile
2024-12-03,Kairouan,0.8,2.2,Prix olives à huile
2024-12-03,Sfax,1.0,2.0,Prix olives à huile
2024-12-03,Sidi Bouzid,1.0328461538461537,1.722923076923077,Prix olives à huile
2024-12-04,Kairouan,0.8,2.2,Prix olives à huile
2024-12-04,Sfax,1.0,2.0,Prix olives à huile
2024-12-04,Sidi Bouzid,1.1064615384615384,1.7657692307692305,Prix olives à huile
2024-12-05,Kairouan,1.0,2.3,Prix olives à huile
2024-12-05,Sfax,1.0,2.0,Prix olives à huile
2024-12-05,Sidi Bouzid,1.1316923076923076,1.8178461538461543,Prix olives à huile
2024-12-06,Kairouan,1.0,2.5,Prix olives à huile
2024-12-06,Sfax,1.0,2.0,Prix olives à huile
2024-12-06,Sidi Bouzid,1.1185384615384615,1.8179230769230772,Prix olives à huile
2024-12-07,Kairouan,,,Prix olives à huile
2024-12-07,Sfax,1.0,2.2,Prix olives à huile
2024-12-07,Sidi Bouzid,,,Prix olives à huile
2024-12-08,Kairouan,,,Prix olives à huile
2024-12-08,Sfax,1.0,2.2,Prix olives à huile
2024-12-08,Sidi Bouzid,,,Prix olives à huile
2024-12-09,Kairouan,1.0,2.3,Prix olives à huile
2024-12-09,Sfax,1.0,2.1,Prix olives à huile
2024-12-09,Sidi Bouzid,1.1344615384615382,1.8134615384615387,Prix olives à huile
2024-12-10,Kairouan,1.0,2.3,Prix olives à huile
2024-12-10,Sfax,1.0,2.2,Prix olives à huile
2024-12-10,Sidi Bouzid,1.1344615384615384,1.7832307692307692,Prix olives à huile
2024-12-11,Kairouan,1.3,2.3,Prix olives à huile
2024-12-11,Sfax,1.0,2.2,Prix olives à huile
2024-12-11,Sidi Bouzid,1.14830769230769,1.66130769230769,Prix olives à huile
2024-12-12,Kairouan,1.0,2.3,Prix olives à huile
2024-12-12,Sfax,1.0,2.2,Prix olives à huile
2024-12-12,Sidi Bouzid,1.0817692307692306,1.818923076923077,Prix olives à huile
2024-12-13,Kairouan,1.0,2.3,Prix olives à huile
2024-12-13,Sfax,1.0,2.2,Prix olives à huile
2024-12-13,Sidi Bouzid,1.103,1.7239230769230771,Prix olives à huile
2024-12-14,Kairouan,1.0,1.8,Prix olives à huile
2024-12-14,Sfax,1.0,2.2,Prix olives à huile
2024-12-14,Sidi Bouzid,1.0342307692307693,1.4996153846153844,Prix olives à huile
2024-12-15,Kairouan,0.7,2.2,Prix olives à huile
2024-12-15,Sfax,1.0,2.0,Prix olives à huile
2024-12-15,Sidi Bouzid,0.9576923076923076,1.4400000000000002,Prix olives à huile
2024-12-16,Kairouan,0.7,2.2,Prix olives à huile
2024-12-16,Sfax,0.9,1.6,Prix olives à huile
2024-12-16,Sidi Bouzid,0.876,1.36253846153846,Prix olives à huile
2024-12-17,Kairouan,,,Prix olives à huile
2024-12-17,Sfax,0.9,1.6,Prix olives à huile
2024-12-17,Sidi Bouzid,0.9179999999999999,1.3359230769230768,Prix olives à huile
2024-12-18,Kairouan,0.7,2.2,Prix olives à huile
2024-12-18,Sfax,0.9,1.6,Prix olives à huile
2024-12-18,Sidi Bouzid,0.896923076923077,1.347,Prix olives à huile
2024-12-19,Kairouan,1.0,2.3,Prix olives à huile
2024-12-19,Sfax,0.9,1.6,Prix olives à huile
2024-12-19,Sidi Bouzid,1.0295384615384615,1.5974615384615387,Prix olives à huile
2024-12-20,Kairouan,1.0,2.2,Prix olives à huile
2024-12-20,Sfax,0.9,1.6,Prix olives à huile
2024-12-20,Sidi Bouzid,1.0086153846153847,1.5942307692307693,Prix olives à huile
2024-12-21,Kairouan,,,Prix olives à huile
2024-12-21,Sfax,0.9,1.6,Prix olives à huile
2024-12-21,Sidi Bouzid,1.0788461538461538,1.6172307692307692,Prix olives à huile
2024-12-22,Kairouan,,,Prix olives à huile
2024-12-22,Sfax,1.0,1.7,Prix olives à huile
2024-12-22,Sidi Bouzid,1.1633076923076922,1.721,Prix olives à huile
2024-12-23,Kairouan,1.0,2.3,Prix olives à huile
2024-12-23,Sfax,1.0,2.3,Prix olives à huile
2024-12-23,Sidi Bouzid,1.16123076923077,1.81615384615385,Prix olives à huile
2024-12-24,Kairouan,1.2,2.3,Prix olives à huile
2024-12-24,Sfax,1.2,2.5,Prix olives à huile
2024-12-24,Sidi Bouzid,1.21069230769231,1.97946153846154,Prix olives à huile
2024-12-25,Kairouan,1.2,2.3,Prix olives à huile
2024-12-25,Sfax,1.2,2.5,Prix olives à huile
2024-12-25,Sidi Bouzid,1.19969230769231,1.815,Prix olives à huile
2024-12-26,Kairouan,1.3,2.3,Prix olives à huile
2024-12-26,Sfax,1.2,2.5,Prix olives à huile
2024-12-26,Sidi Bouzid,1.25438461538462,1.869,Prix olives à huile
2024-12-27,Kairouan,1.3,2.3,Prix olives à huile
2024-12-27,Sfax,1.2,2.5,Prix olives à huile
2024-12-27,Sidi Bouzid,1.18976923076923,1.82084615384615,Prix olives à huile
2024-12-28,Kairouan,,,Prix olives à huile
2024-12-28,Sfax,,,Prix olives à huile
2024-12-28,Sidi Bouzid,,,Prix olives à huile
2024-12-29,Kairouan,,,Prix olives à huile
2024-12-29,Sfax,,,Prix olives à huile
2024-12-29,Sidi Bouzid,,,Prix olives à huile
2024-12-30,Kairouan,1.3,2.3,Prix olives à huile
2024-12-30,Sfax,1.2,2.5,Prix olives à huile
2024-12-30,Sidi Bouzid,1.2750000000000001,1.8063076923076926,Prix olives à huile
2024-12-31,Kairouan,1.5,2.3,Prix olives à huile
2024-12-31,Sfax,1.2,2.5,Prix olives à huile
2024-12-31,Sidi Bouzid,1.261846153846154,1.8903846153846158,Prix olives à huile
2025-01-01,Kairouan,,,Prix olives à huile
2025-01-01,Sfax,,,Prix olives à huile
2025-01-01,Sidi Bouzid,,,Prix olives à huile
2025-01-02,Kairouan,,,Prix olives à huile
2025-01-02,Sfax,1.2,2.3,Prix olives à huile
2025-01-02,Sidi Bouzid,1.245846153846154,1.9170000000000005,Prix olives à huile
2025-01-03,Kairouan,1.5,2.3,Prix olives à huile
2025-01-03,Sfax,1.2,2.3,Prix olives à huile
2025-01-03,Sidi Bouzid,1.2491538461538463,1.9670769230769234,Prix olives à huile
2025-01-04,Kairouan,,,Prix olives à huile
2025-01-04,Sfax,,,Prix olives à huile
2025-01-04,Sidi Bouzid,,,Prix olives à huile
2025-01-05,Kairouan,,,Prix olives à huile
2025-01-05,Sfax,,,Prix olives à huile
2025-01-05,Sidi Bouzid,,,Prix olives à huile
2025-01-06,Kairouan,1.5,2.3,Prix olives à huile
2025-01-06,Sfax,1.3,2.3,Prix olives à huile
2025-01-06,Sidi Bouzid,1.5644153846153848,2.220538461538461,Prix olives à huile
2025-01-07,Kairouan,1.6,2.3,Prix olives à huile
2025-01-07,Sfax,1.3,2.3,Prix olives à huile
2025-01-07,Sidi Bouzid,1.6289230769230771,2.277230769230769,Prix olives à huile
2025-01-08,Kairouan,1.6,2.3,Prix olives à huile
2025-01-08,Sfax,1.3,2.3,Prix olives à huile
2025-01-08,Sidi Bouzid,1.569,2.25676923076923,Prix olives à huile
2025-01-09,Kairouan,1.5,2.4,Prix olives à huile
2025-01-09,Sfax,1.4,3.5,Prix olives à huile
2025-01-09,Sidi Bouzid,1.53384615384615,2.32061538461538,Prix olives à huile
2025-01-10,Kairouan,1.7,2.4,Prix olives à huile
2025-01-10,Sfax,1.4,3.5,Prix olives à huile
2025-01-10,Sidi Bouzid,1.54915384615385,2.29538461538462,Prix olives à huile
2025-01-11,Kairouan,,,Prix olives à huile
2025-01-11,Sfax,,,Prix olives à huile
2025-01-11,Sidi Bouzid,,,Prix olives à huile
2025-01-12,Kairouan,,,Prix olives à huile
