annee,gouvernorat,sup_cognassier_ha,prod_cognassier_t,feuille
2019,تونس,0,0.0,2019-2018
2019,أريانة,10,130.0,2019-2018
2019,منوبة,42,378.0,2019-2018
2019,بن عروس,15,225.0,2019-2018
2019,نابل,188,1700.0,2019-2018
2019,بنزرت,70,340.0,2019-2018
2019,باجة,35,650.0,2019-2018
2019,جندوبة,43,156.0,2019-2018
2019,الكاف,0,0.0,2019-2018
2019,سليانة,0,0.0,2019-2018
2019,زغوان,10,80.0,2019-2018
2019,سوسة,0,0.0,2019-2018
2019,المنستير,0,0.0,2019-2018
2019,المهدية,0,0.0,2019-2018
2019,صفاقس,0,0.0,2019-2018
2019,القيروان,2,25.0,2019-2018
2019,القصرين,0,0.0,2019-2018
2019,سيدي بوزيد,0,0.0,2019-2018
2019,قفصة,0,0.0,2019-2018
2019,توزر,0,0.0,2019-2018
2019,قبلي,0,0.0,2019-2018
2019,قابس,0,0.0,2019-2018
2019,مدنين,0,0.0,2019-2018
2019,تطاوين,0,0.0,2019-2018
2018,تونس,0,0.0,2019-2018
2018,أريانة,10,130.0,2019-2018
2018,منوبة,40,378.0,2019-2018
2018,بن عروس,15,300.0,2019-2018
2018,نابل,249,1608.0,2019-2018
2018,بنزرت,70,340.0,2019-2018
2018,باجة,40,440.0,2019-2018
2018,جندوبة,6,31.0,2019-2018
2018,الكاف,0,0.0,2019-2018
2018,سليانة,0,0.0,2019-2018
2018,زغوان,10,55.0,2019-2018
2018,سوسة,0,0.0,2019-2018
2018,المنستير,0,0.0,2019-2018
2018,المهدية,0,0.0,2019-2018
2018,صفاقس,0,0.0,2019-2018
2018,القيروان,2,28.8,2019-2018
2018,القصرين,0,0.0,2019-2018
2018,سيدي بوزيد,0,0.0,2019-2018
2018,قفصة,0,0.0,2019-2018
2018,توزر,0,0.0,2019-2018
2018,قبلي,0,0.0,2019-2018
2018,قابس,0,0.0,2019-2018
2018,مدنين,0,0.0,2019-2018
2018,تطاوين,0,0.0,2019-2018
2017,تونس,0,0.0,2019-2018
2017,أريانة,10,130.0,2019-2018
2017,منوبة,40,200.0,2019-2018
2017,بن عروس,15,300.0,2019-2018
2017,نابل,240,1916.0,2019-2018
2017,بنزرت,70,340.0,2019-2018
2017,باجة,45,175.0,2019-2018
2017,جندوبة,6,31.0,2019-2018
2017,الكاف,0,0.0,2019-2018
2017,سليانة,0,0.0,2019-2018
2017,زغوان,10,44.0,2019-2018
2017,سوسة,0,0.0,2019-2018
2017,المنستير,0,0.0,2019-2018
2017,المهدية,0,0.0,2019-2018
2017,صفاقس,0,0.0,2019-2018
2017,القيروان,0,0.0,2019-2018
2017,القصرين,0,0.0,2019-2018
2017,سيدي بوزيد,0,0.0,2019-2018
2017,قفصة,0,0.0,2019-2018
2017,توزر,0,0.0,2019-2018
2017,قبلي,0,0.0,2019-2018
2017,قابس,0,0.0,2019-2018
2017,مدنين,0,0.0,2019-2018
2017,تطاوين,0,0.0,2019-2018
