gouvernorat,2020_2019,2019_2018,2018_2017,2017_2016,2016_2015,2015_2014,2014_2013,2013_2012,2012_2011,2011_2010,2010_2009,feuille
tunis,2.7,3.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10,10.0,SUP-Agrumes-Ha
manouba,449.0,471.0,440.0,440.0,440.0,390.0,480.0,480.0,480.0,450,450.0,SUP-Agrumes-Ha
ariana,325.1,237.6,314.6,313.0,313.0,315.5,435.0,435.0,435.0,400,400.0,SUP-Agrumes-Ha
ben_arous,1700.0,1690.0,1600.0,1600.0,1537.0,1160.0,1410.0,1410.0,1410.0,1380,1380.0,SUP-Agrumes-Ha
nabeul,19203.0,19200.0,19204.0,18000.0,18570.0,17500.0,17543.0,17500.0,17500.0,15300,15300.0,SUP-Agrumes-Ha
bizerte,1330.0,1330.0,1330.0,1315.0,1315.0,1126.0,1223.0,1223.0,1223.0,1176,1176.0,SUP-Agrumes-Ha
beja,565.0,485.0,560.0,560.0,535.0,450.0,475.0,475.0,475.0,420,420.0,SUP-Agrumes-Ha
jendouba,911.5,951.1,1091.0,1069.0,1045.0,1045.0,1045.0,1045.0,1045.0,1025,1025.0,SUP-Agrumes-Ha
lekef,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SUP-Agrumes-Ha
siliana,79.0,89.0,84.0,83.0,82.0,53.0,50.0,50.0,50.0,50,50.0,SUP-Agrumes-Ha
zaghouan,184.0,192.75,184.0,176.5,164.5,124.0,127.0,127.0,127.0,127,120.0,SUP-Agrumes-Ha
sousse,252.0,261.5,234.5,225.0,236.0,227.0,202.5,202.0,202.0,185,185.0,SUP-Agrumes-Ha
monastir,47.0,53.72,53.5,46.5,45.0,44.0,42.5,42.5,42.5,40,40.0,SUP-Agrumes-Ha
mahdia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SUP-Agrumes-Ha
sfax,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SUP-Agrumes-Ha
kairouan,1690.0,1657.0,1630.0,1600.0,1520.0,1170.0,1371.0,1371.0,1371.0,1305,1305.0,SUP-Agrumes-Ha
kasserine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SUP-Agrumes-Ha
sidibouzid,352.0,347.75,323.0,285.0,229.0,151.0,217.0,217.0,217.0,125,125.0,SUP-Agrumes-Ha
gafsa,169.0,169.0,97.0,97.0,97.0,97.0,100.0,100.0,100.0,50,30.0,SUP-Agrumes-Ha
tozeur,,,,,79.0,79.0,,,,80,,SUP-Agrumes-Ha
kebilli,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SUP-Agrumes-Ha
gabes,695.0,700.0,705.0,705.0,680.0,680.0,590.0,590.0,590.0,590,,SUP-Agrumes-Ha
medenine,100.0,97.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,100,,SUP-Agrumes-Ha
tataouine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SUP-Agrumes-Ha
