annee,gouvernorat,sup_pether_ha,sup_figuier_ha,production_pether_t,production_figuier_t,feuille
2019,تونس,0.0,15.0,0.0,22.0,2019-2018
2019,أريانة,0.0,13.5,0.0,22.0,2019-2018
2019,منوبة,15.0,30.0,45.0,50.0,2019-2018
2019,بن عروس,30.0,85.0,175.0,680.0,2019-2018
2019,نابل,97.0,210.0,280.0,550.0,2019-2018
2019,بنزرت,65.0,340.0,330.0,978.0,2019-2018
2019,باجة,325.0,410.0,1850.0,3100.0,2019-2018
2019,جندوبة,0.0,76.0,0.0,524.0,2019-2018
2019,الكاف,100.0,1540.0,50.0,1200.0,2019-2018
2019,سليانة,0.0,882.0,0.0,1745.0,2019-2018
2019,زغوان,5.0,37.0,12.0,90.0,2019-2018
2019,سوسة,59.0,215.0,78.0,340.0,2019-2018
2019,المنستير,322.0,934.0,436.0,1527.0,2019-2018
2019,المهدية,264.5,306.5,577.5,549.0,2019-2018
2019,صفاقس,464.0,495.0,416.0,742.5,2019-2018
2019,القيروان,0.0,856.0,0.0,600.0,2019-2018
2019,القصرين,90.0,530.0,175.0,900.0,2019-2018
2019,سيدي بوزيد,63.0,296.0,107.0,601.0,2019-2018
2019,قفصة,520.0,325.0,1510.0,520.0,2019-2018
2019,توزر,0.0,0.0,0.0,804.0,2019-2018
2019,قبلي,0.0,290.0,0.0,300.0,2019-2018
2019,قابس,335.0,445.0,1000.0,1500.0,2019-2018
2019,مدنين,200.0,1638.0,225.0,2075.0,2019-2018
2019,تطاوين,28.0,962.75,40.0,610.0,2019-2018
2018,تونس,0.0,15.0,0.0,22.5,2019-2018
2018,أريانة,0.0,13.5,0.0,22.0,2019-2018
2018,منوبة,15.0,30.0,45.0,50.0,2019-2018
2018,بن عروس,30.0,85.0,175.0,680.0,2019-2018
2018,نابل,114.0,198.0,256.0,526.0,2019-2018
2018,بنزرت,65.0,340.0,330.0,978.0,2019-2018
2018,باجة,320.0,410.0,1430.0,2200.0,2019-2018
2018,جندوبة,0.0,56.25,0.0,316.2,2019-2018
2018,الكاف,100.0,1540.0,40.0,750.0,2019-2018
2018,سليانة,0.0,882.0,0.0,3519.0,2019-2018
2018,زغوان,5.0,36.0,12.0,60.0,2019-2018
2018,سوسة,58.0,212.5,110.0,535.0,2019-2018
2018,المنستير,354.2,883.2,463.1,1317.6,2019-2018
2018,المهدية,265.0,307.0,712.0,647.9,2019-2018
2018,صفاقس,458.0,478.0,240.5,497.5,2019-2018
2018,القيروان,0.0,859.0,0.0,524.0,2019-2018
2018,القصرين,90.0,520.0,100.0,700.0,2019-2018
2018,سيدي بوزيد,64.0,307.0,102.0,592.0,2019-2018
2018,قفصة,505.0,310.0,1930.0,640.0,2019-2018
2018,توزر,0.0,0.0,0.0,570.0,2019-2018
2018,قبلي,0.0,345.0,0.0,400.0,2019-2018
2018,قابس,335.0,445.0,980.0,1730.0,2019-2018
2018,مدنين,193.0,1545.0,210.0,1700.0,2019-2018
2018,تطاوين,19.0,1046.0,30.0,1190.0,2019-2018
2017,تونس,0.0,15.0,0.0,22.0,2019-2018
2017,أريانة,0.0,13.5,0.0,21.0,2019-2018
2017,منوبة,15.0,20.0,40.0,25.0,2019-2018
2017,بن عروس,50.0,100.0,175.0,35.0,2019-2018
2017,نابل,114.0,198.0,209.0,408.0,2019-2018
2017,بنزرت,65.0,340.0,330.0,978.0,2019-2018
2017,باجة,320.0,400.0,1170.0,2500.0,2019-2018
2017,جندوبة,60.0,136.0,278.0,461.0,2019-2018
2017,الكاف,100.0,1140.0,50.0,880.0,2019-2018
2017,سليانة,0.0,852.0,0.0,3200.0,2019-2018
2017,زغوان,5.0,36.0,11.0,47.0,2019-2018
2017,سوسة,58.0,212.5,110.0,535.0,2019-2018
2017,المنستير,353.5,803.15,506.0,1255.0,2019-2018
2017,المهدية,262.0,303.5,756.0,583.0,2019-2018
2017,صفاقس,440.0,468.5,290.0,650.0,2019-2018
2017,القيروان,0.0,865.0,0.0,520.0,2019-2018
2017,القصرين,80.0,510.0,138.0,684.0,2019-2018
2017,سيدي بوزيد,66.0,315.0,87.0,471.0,2019-2018
2017,قفصة,505.0,310.0,1930.0,640.0,2019-2018
2017,توزر,0.0,0.0,0.0,554.0,2019-2018
2017,قبلي,0.0,345.0,0.0,400.0,2019-2018
2017,قابس,335.0,445.0,1045.0,1255.0,2019-2018
2017,مدنين,186.0,1514.5,185.0,1525.0,2019-2018
2017,تطاوين,18.0,1302.0,30.0,1390.0,2019-2018
