les_lois,feuille
Loi n° 78-28 du 8 mars 1978 organisant la pharmacie vétérinaire.,Feuil1
Loi n° 82-66 du 06 Août 1982 relative à la normalisation et la qualité,Feuil1
Loi n° 87-51 du 02 Août 1987 relative aux industries manufacturières.,Feuil1
"Loi n° 91-44 du 1er juillet 1991 portant organisation du commerce de distribution, complétée par la loi N° 94-38 du 24 février 1994.",Feuil1
"Loi n° 92-117 du 7 décembre 1992, relative à la protection du consommateur",Feuil1
"Loi n° 94-41 du 7 mars 1994, relative au Commerce Extérieur.",Feuil1
"Loi n° 92-81 relative aux zones économiques franches, modifiée par la loi n° 94-14 du 31 janvier 1994.",Feuil1
"Loi n° 94-42 du 7 mars 1994, fixant le régime applicable à l'exercice des activités des sociétés de commerce international.",Feuil1
Loi n° 2005-95 du 18 octobre 2005 relative à l'élevage et aux produits animaux.,Feuil1
Les décrets,Feuil1
Décret n° 87-1281 du 26 octobre 1987 fixant la liste des industries manufacturières.,Feuil1
Décret du ministre de l’agriculture du 16 janvier 1999 fixant la liste des organismes quarantaine.,Feuil1
Décret n° 99-2552 du 8 novembre 1999 fixant la liste des activités commerciales soumises à un cahier des charges.,Feuil1
"Décret n° 2001-149 du 19 janvier 2001, relatif à l’organisation et au contrôle de la distribution du son de blé.",Feuil1
"Décret n° 2007-237 du 5 février 2007, fixant l’organisation administrative et financière du laboratoire central d’analyse des aliments de bétail.",Feuil1
"Décret n° 2008-3614 du 21 novembre 2008, complétant le décret n° 2007-237 du 5 février 2007 fixant l’organisation administrative et financière du laboratoire central d’analyse des aliments de bétail",Feuil1
Les arrêtés,Feuil1
Arrêté des ministres de l'Economie Nationale et de l'Agriculture du 17 mai 1982 portant habilitation du laboratoire de nutrition et d'alimentation de l'Ecole Nationale de Médecine Vétérinaire de Sidi Thabet à assurer le contrôle de la qualité et de la composition des aliments animaux.,Feuil1
Arrêté du ministre de l'industrie du 24 août 1987 portant homologation des normes tunisiennes relatives aux méthodes officielles d’analyse des aliments des animaux.,Feuil1
"Arrêté du ministre de l'agriculture du 18 août 1992, fixant la liste des organismes de quarantaine,",Feuil1
"Arrêté du ministre de l'agriculture du 15 septembre 1992, fixant les exigences phytosanitaires ainsi que les modalités de contrôle de végétaux et produits végétaux importés en Tunisie,",Feuil1
Arrêté du ministre de l’économie nationale du 18 septembre 1993 fixant les modalités de prélèvement des échantillons prévues par la loi n° 92-11è du 7 décembre 1992 relative à la protection du consommateur.,Feuil1
"Arrêté des ministres de l'agriculture, du commerce et de la santé publique du 29 juillet 1999 relatif à la production et à la commercialisation des aliments des animaux.",Feuil1
