composante,frequence_ar,frequence,source,source_ar,unite_ar,unite,composante_ar,images,feuille
vache suitée,شهريا,MENSUELLE,OEP,ديوان تربية الماشية و توفير المرعى,دينار/الرأس,TND/animal,سعرالأبقار المتبوعة,https://drive.google.com/file/d/1wK4vK0N95ff2kj1LWHYUT26XDgEbntf_/view?usp=sharing,Feuil1
génisse pleine,شهريا,MENSUELLE,OEP,ديوان تربية الماشية و توفير المرعى,دينار/الرأس,TND/animal,سعر الأراخي العشار,https://drive.google.com/file/d/1wK4vK0N95ff2kj1LWHYUT26XDgEbntf_/view?usp=sharing,Feuil1
brebis suitée,شهريا,MENSUELLE,OEP,ديوان تربية الماشية و توفير المرعى,دينار/الرأس,TND/animal,سعر النعجة المتبوعة,,Feuil1
poussin poulet de chair 1 jour,شهريا,MENSUELLE,GIPAC,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,دينار/الصيص,TND/poussin,سعر فلوس دجاج اللحم (1يوم),https://drive.google.com/file/d/1kM_APBGKpgV5sAWxv1x46hT1Wx5MLOPF/view?usp=sharing,Feuil1
poussin poule pondeuse,شهريا,MENSUELLE,GIPAC,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,دينار/الصيص,TND/poussin,سعر فلوس دجاج البياض,https://drive.google.com/file/d/1PqGG8hsRQOYppBICrHU8875pX7XbPvUH/view?usp=sharing,Feuil1
vache locale croisée,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,أبقار محليّة مهجّنة,,Feuil1
vache race pure,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,أبقار محليّة نقيّة,,Feuil1
Génisse locale race pure,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,اراخي محليّة نقيّة,,Feuil1
Génisse locale croisée,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,اراخي محليّة مهجّنة,,Feuil1
Génisse importée race laitière,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,أراخي حليب مستوردة,,Feuil1
Génisse importée race mixte,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,أراخي  مستوردة مزدوجة الإنتاج,,Feuil1
Chèvre suitée,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/الرأس,TND/animal,ماعز متبوعة,,Feuil1
Taurillon maigre pour engraissement local prix kg vif,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/كلغ,TND/kg,عجول تسمين محليّة,,Feuil1
Taurillon maigre pour engraissement importé prix kg vif,شهريا,MENSUELLE,DGPA,الإدارة العامّة للإنتاج الفلاحي,دينار/كلغ,TND/kg,عجول تسمين مستوردة,,Feuil1
