الولاية_gouvernorat,ع_ر,اسم_المجمع,عدد_العايلات_المنتفعة,عدد_الوصلات_الفردية,عدد_الموسسات_العمومية,عدد_المنظومات_المتوقفة,feuille
باجة,1,بوكسلان عين شالو,280.0,260.0,2,,AEP
باجة,1,السرسار,200.0,20.0,1,,AEP
باجة,1,سيدي محمود,80.0,60.0,0,,AEP
باجة,1,جبل الشعرة,300.0,296.0,1,,AEP
باجة,1,القراق,230.0,216.0,1,,AEP
باجة,1,قصر مزوار,280.0,250.0,1,,AEP
باجة,1,الشرفة عين الستارة,260.0,160.0,2,,AEP
باجة,1,النهايشية,125.0,74.0,0,,AEP
باجة,1,الزيادين,230.0,210.0,0,,AEP
باجة,1,اولاد صولة,112.0,60.0,0,,AEP
باجة,1,النوايشية,72.0,52.0,0,,AEP
باجة,1,عين سلطان,800.0,780.0,2,,AEP
باجة,1,الأمل بوسعادة,64.0,64.0,0,,AEP
باجة,1,الصفايا الجوابلية,80.0,80.0,0,,AEP
باجة,1,الدخايلية,83.0,83.0,0,,AEP
باجة,1,لفارق,180.0,170.0,0,,AEP
باجة,1,اولاد علية,82.0,80.0,0,,AEP
باجة,1,التوافق,120.0,90.0,0,,AEP
باجة,1,المخشبية,135.0,,0,,AEP
باجة,1,بالشوك,120.0,,1,,AEP
باجة,1,العرايبية,90.0,70.0,0,,AEP
باجة,1,قصر حديد,225.0,200.0,1,,AEP
باجة,1,عين العشا,45.0,40.0,0,,AEP
باجة,1,المالح,70.0,40.0,1,,AEP
باجة,1,اليسر 2,45.0,45.0,0,,AEP
باجة,1,الحواولية,70.0,60.0,0,,AEP
باجة,1,سبعة عوينات,80.0,80.0,0,,AEP
باجة,1,القرية,86.0,72.0,0,,AEP
باجة,1,بورويس,200.0,120.0,1,,AEP
باجة,1,بني مالك 1,248.0,120.0,1,,AEP
باجة,1,بني مالك 2,165.0,130.0,0,,AEP
باجة,1,الشابية,120.0,100.0,0,,AEP
باجة,1,الجوزة,280.0,120.0,2,,AEP
باجة,1,الحمراء الفتاتنة,185.0,70.0,1,,AEP
باجة,1,الغرفة,102.0,56.0,1,,AEP
باجة,1,مغرواة,110.0,80.0,1,,AEP
باجة,1,الرماضنية,160.0,100.0,0,,AEP
باجة,1,القوسة ( الحمر الفحامة),120.0,120.0,0,,AEP
باجة,1,العرابة,120.0,60.0,0,,AEP
باجة,1,سوايبية,105.0,105.0,0,,AEP
باجة,1,القصعة 1 و2,42.0,38.0,0,,AEP
باجة,1,الغواورة,65.0,65.0,0,,AEP
باجة,1,وادي الداموس,390.0,290.0,1,,AEP
باجة,1,االحياة (واد المعدن),250.0,180.0,1,,AEP
باجة,1,الرميلة فطناسة,326.0,180.0,1,,AEP
باجة,1,عين المسوم,65.0,45.0,0,,AEP
باجة,1,بوزنة,90.0,45.0,0,,AEP
باجة,1,الجميلة القمارة,211.0,200.0,1,,AEP
باجة,1,الجميل,220.0,200.0,0,,AEP
باجة,1,الظهيرات,205.0,185.0,1,,AEP
باجة,1,برطوكس,60.0,0.0,0,,AEP
باجة,1,جبل الديس,500.0,400.0,1,,AEP
باجة,1,زاقة,400.0,0.0,0,,AEP
باجة,1,النقيشة,100.0,,0,,AEP
باجة,1,عين الدم بوقرنونة,236.0,220.0,1,,AEP
باجة,1,غياضة,370.0,100.0,1,,AEP
باجة,1,اولاد علي السنديان,240.0,220.0,0,,AEP
باجة,1,الوليجة,120.0,,0,,AEP
باجة,1,المرجى-  الصنوبر,120.0,145.0,0,,AEP
باجة,1,تبردقة,420.0,180.0,2,,AEP
باجة,1,المشارقة,120.0,120.0,0,,AEP
باجة,1,التلة بن قياس,156.0,60.0,1,,AEP
باجة,1,خشاب,300.0,300.0,1,,AEP
باجة,1,دور إسماعيل,390.0,320.0,1,,AEP
باجة,1,سيدي نصر,65.0,,0,,AEP
باجة,1,شيخ الوديان         ( النعايمية اولاد سيدهم),380.0,300.0,1,,AEP
باجة,1,النوايرية,100.0,100.0,0,,AEP
باجة,1,الجرايدية العبابدة,120.0,64.0,0,,AEP
باجة,1,بلهوان,130.0,112.0,1,,AEP
باجة,1,واد الأحمر,95.0,88.0,1,,AEP
باجة,1,ولجة الدخان,202.0,180.0,0,,AEP
باجة,1,مزوغة زلدو,360.0,325.0,1,,AEP
باجة,1,جلاص بوعيسى,200.0,125.0,0,,AEP
باجة,1,الخوالدية,30.0,25.0,0,,AEP
باجة,1,بئر بوناب,30.0,30.0,0,,AEP
باجة,1,غار كريز,230.0,100.0,0,,AEP
