الولاية_gouvernorat,المعتمدية_delegation,اسم_المجمع_gda,المساحة_القابلة_للري_sup_irriguable_ha,عدد_المستغلين_الفلاحين_nbr_beneficiere,feuille
باجة,قبلاط,قبلاط,2942.0,445.0,PPI
باجة,قبلاط,سيدي يحي,95.0,33.0,PPI
باجة,قبلاط,دور إسماعيل,120.0,21.0,PPI
باجة,تستور,سيدي إبراهيم,545.0,93.0,PPI
باجة,تستور,سيدي ناجي,741.0,90.0,PPI
باجة,تستور,عين يونس,660.0,77.0,PPI
باجة,تستور,الخوالدية,57.0,22.0,PPI
باجة,تستور,الصخيرة,134.0,64.0,PPI
باجة,تستور,أولاد عياد,100.0,32.0,PPI
باجة,تستور,ولجة دخان,31.0,21.0,PPI
باجة,تستور,بن صندل,114.0,32.0,PPI
باجة,باجة الجنوبية,الإمتياز,587.0,109.0,PPI
باجة,باجة الجنوبية,الرقي,418.0,117.0,PPI
باجة,باجة الجنوبية,النمو,689.0,164.0,PPI
باجة,باجة الجنوبية,الزعفران,636.0,160.0,PPI
باجة,باجة الجنوبية,بوزعرورة,25.0,8.0,PPI
باجة,باجة الجنوبية,بوتفاحة,254.0,20.0,PPI
باجة,تيبار وباجة جنوبية,الطموح,721.0,137.0,PPI
باجة,تيبار,أجنة دجبة,126.0,56.0,PPI
باجة,تيبار,العيون الصافية,285.0,825.0,PPI
باجة,تيبار,مسيلة,173.0,56.0,PPI
باجة,نفزة,النهوض,935.0,1776.0,PPI
باجة,نفزة,الوفاق,718.0,1364.0,PPI
باجة,نفزة,الطويلة,425.0,857.0,PPI
باجة,نفزة,وشتاتة,470.0,902.0,PPI
باجة,نفزة,الطبابة,67.0,39.0,PPI
باجة,نفزة,الصنوبر,81.0,104.0,PPI
باجة,باجة الشمالية,بوحزام,52.0,40.0,PPI
باجة,باجة الشمالية,النقاشية,142.0,33.0,PPI
باجة,مجازالباب,الخنقات,340.0,18.0,PPI
باجة,مجازالباب,الجديدي,100.0,2.0,PPI
باجة,عمدون,صباح المجالس,78.0,58.0,PPI
باجة,عمدون,القرشية,36.0,71.0,PPI
باجة,عمدون,بورويس,102.0,39.0,PPI
باجة,تبرسق,فدان السوق,28.0,14.0,PPI
باجة,تبرسق,خلاد,70.0,12.0,PPI
بن عروس,مرناق,عين الرقاد,67.0,33.0,PPI
بن عروس,مرناق,القنة,60.0,31.0,PPI
بن عروس,مرناق,قصرون,115.0,10.0,PPI
بن عروس,مرناق,المنطقة السفلى,207.0,23.0,PPI
بن عروس,مرناق,هـ - بن محمود,465.0,100.0,PPI
بن عروس,مرناق,القصيبي,315.0,104.0,PPI
بن عروس,فوشانة,"""الأمل ""دوار الحوش",35.0,4.0,PPI
بن عروس,مرناق,الرفاهة الخليدية,1320.0,50.0,PPI
بن عروس,مرناق,""" الخير"" -  أوزرة",72.0,36.0,PPI
بن عروس,مرناق,"""الأمل"" -  الرسالة",128.0,65.0,PPI
بن عروس,مرناق,"""الإمتياز""-   العلالقة",831.0,176.0,PPI
بن عروس,مرناق,"""الوفاء ""-  الخليدية",607.0,54.0,PPI
بن عروس,مرناق,"""الوفاق"" -  أوزرة",1325.0,276.0,PPI
بن عروس,مرناق,"""الإنطلاقة"" - الزاوية",1237.0,287.0,PPI
بنزرت,العالية,العالية,946.0,1550.0,PPI
بنزرت,رأس الجبل,رأس الجبل,3077.0,2190.0,PPI
بنزرت,غار الملح,عوسجة,272.0,620.0,PPI
بنزرت,,,250.0,505.0,PPI
بنزرت,,زواوين الرهان,133.0,677.0,PPI
بنزرت,,طويبية,100.0,324.0,PPI
بنزرت,أوتيك,لزين باش حامبة,220.0,1463.0,PPI
بنزرت,,,,,PPI
بنزرت,,طبياس,212.0,1450.0,PPI
بنزرت,,أوتيك الأمل,271.0,1394.0,PPI
بنزرت,منزل جميل,الحدائق,231.0,715.0,PPI
بنزرت,ماطر,ماطر,92.0,1935.0,PPI
بنزرت,غزالة,جالطة غزالة,109.375,175.0,PPI
بنزرت,,,180.0,300.0,PPI
بنزرت,,,64.0,593.0,PPI
بنزرت,,,91.0,143.0,PPI
بنزرت,,الطموح,391.0,1030.0,PPI
بنزرت,,,16.0,228.0,PPI
بنزرت,بنزرت الجنوبية,تسكراية,90.0,270.0,PPI
بنزرت,,,35.0,105.0,PPI
بنزرت,,,95.0,285.0,PPI
بنزرت,سجنان,البركة,659.0,1135.0,PPI
بنزرت,,الإنطلاقة,613.0,620.0,PPI
بنزرت,,الإمتياز,450.0,952.0,PPI
بنزرت,,النجاح,957.0,993.0,PPI
بنزرت,أوتيك,النزهة,36.0,200.0,PPI
جندوبة,جندوبة الشمالية,سطفورة 1,20.0,18.0,PPI
جندوبة,,سطفورة 2,80.0,47.0,PPI
جندوبة,,نصلة,25.0,7.0,PPI
جندوبة,,مقارشية,45.0,11.0,PPI
جندوبة,,شمتو,120.0,44.0,PPI
جندوبة,,السواني,40.0,30.0,PPI
جندوبة,واد مليز,سيدي عاصم,70.0,28.0,PPI
جندوبة,,سيدي عاصم 2,90.0,62.0,PPI
جندوبة,,بوقصة 2,80.0,29.0,PPI
جندوبة,,بوقصة 3,150.0,26.0,PPI
جندوبة,,بوقصة 4,90.0,33.0,PPI
جندوبة,,وادي مليز الغربية,100.0,34.0,PPI
جندوبة,,حكيم 1,50.0,15.0,PPI
جندوبة,,حكيم 2,120.0,44.0,PPI
جندوبة,,سيدي مرزوق,100.0,76.0,PPI
جندوبة,,المعايزية,80.0,17.0,PPI
جندوبة,بلطة بوعوان,سيدي مبارك,70.0,32.0,PPI
جندوبة,,بوعوان,80.0,34.0,PPI
جندوبة,غار الدماء,الرخاء,60.0,53.0,PPI
جندوبة,عين دراهم,حمام بورقيبة,74.0,31.0,PPI
جندوبة,جندوبة,غدير الفرح,150.0,95.0,PPI
جندوبة,فرنانة,عين البية,60.0,83.0,PPI
جندوبة,,بوزعرورة,45.0,11.0,PPI
جندوبة,,وادي الزلازل,41.0,33.0,PPI
جندوبة,جندوبة,الجريف السعادة,1000.0,300.0,PPI
جندوبة,,الجريف,750.0,143.0,PPI
جندوبة,,السعادة,1425.0,251.0,PPI
جندوبة,,الخليج,700.0,120.0,PPI
جندوبة,,العزيمة,1500.0,199.0,PPI
جندوبة,,المعاريف,1200.0,244.0,PPI
جندوبة,,العيثة الشمالية,1050.0,264.0,PPI
جندوبة,,العيثة الجنوبية,850.0,171.0,PPI
جندوبة,,تاسة,700.0,115.0,PPI
جندوبة,بلطة بوعوان,عسيلة,1510.0,96.0,PPI
جندوبة,,السمران,850.0,189.0,PPI
جندوبة,,بوهرتمة,720.0,92.0,PPI
جندوبة,,بوزديرة,905.0,120.0,PPI
جندوبة,,واد الوح,178.0,34.0,PPI
جندوبة,بوسالم,ربيعة,570.0,58.0,PPI
جندوبة,,غزالة,600.0,72.0,PPI
جندوبة,,بن بشير,1130.0,99.0,PPI
جندوبة,,7فيوض,1130.0,130.0,PPI
جندوبة,,مجردة,685.0,80.0,PPI
جندوبة,,بوزيد,1190.0,100.0,PPI
جندوبة,بوسالم,البئر الاخضر,900.0,94.0,PPI
جندوبة,,المرجى,1845.0,23.0,PPI
جندوبة,,بدرونة,2490.0,115.0,PPI
جندوبة,,سيدي على الجبيني,660.0,83.0,PPI
جندوبة,عين دراهم,الخمايرية,800.0,168.0,PPI
جندوبة,فرنانة,بربرة-فرنانة,1300.0,430.0,PPI
قبلي,قبلي الشمالية,تنبيب,114.1994,374.0,PPI
قبلي,قبلي الشمالية,الجديدة,139.8297,357.0,PPI
قبلي,قبلي الشمالية,الرابطة,168.1138,508.0,PPI
قبلي,قبلي الشمالية,طنبار,152.0265,531.0,PPI
قبلي,قبلي الشمالية,المنصورة,100.4532,332.0,PPI
قبلي,قبلي الشمالية,ليماقس,57.7085,197.0,PPI
قبلي,قبلي الشمالية,رضوان,15.2518,38.0,PPI
قبلي,قبلي الشمالية,أم الفرث 2,35.1811,38.0,PPI
قبلي,قبلي الشمالية,إبنس,27.4878,62.0,PPI
قبلي,قبلي الشمالية,سعيدان,32.0956,61.0,PPI
قبلي,قبلي الشمالية,أم الفرث 1,40.0,72.0,PPI
قبلي,قبلي الشمالية,تلمين المركز,58.5166,197.0,PPI
قبلي,قبلي الشمالية,مزرع ناجي,59.0,91.0,PPI
قبلي,قبلي الشمالية,إستفطيمي,92.7388,174.0,PPI
قبلي,قبلي الشمالية,القطعاية,192.1899,547.0,PPI
قبلي,قبلي الشمالية,تيفوت,19.895,26.0,PPI
قبلي,قبلي الشمالية,البحاير,65.0,83.0,PPI
قبلي,قبلي الشمالية,لحزيم,35.0575,39.0,PPI
قبلي,قبلي الشمالية,البيوت المحمية بام الفرث,8.4,21.0,PPI
قبلي,قبلي الشمالية,البيوت المحمية بليماقس,33.7,70.0,PPI
قبلي,قبلي الشمالية,الإمتياز بالجديدة المنصورة,26.0,71.0,PPI
قبلي,قبلي الشمالية,البيوت المحمية باستفطيمي,17.32,30.0,PPI
قبلي,قبلي الشمالية,تلمين الشرقية,112.9673,279.0,PPI
قبلي,قبلي الشمالية,تلمين الغربية,69.4504,303.0,PPI
قبلي,قبلي الشمالية,زقزاو,12.218,35.0,PPI
قبلي,قبلي الجنوبية,المساعيد,95.4599,269.0,PPI
قبلي,قبلي الجنوبية,العين السخومة بجمنة,18.4898,50.0,PPI
قبلي,قبلي الجنوبية,الكليبية,92.0,234.0,PPI
قبلي,قبلي الجنوبية,بن زيتون 2,80.6938,208.0,PPI
قبلي,قبلي الجنوبية,الجرسين,60.5224,287.0,PPI
قبلي,قبلي الجنوبية,بن زيتون1,102.8395,308.0,PPI
قبلي,قبلي الجنوبية,كلوامن,42.24,162.0,PPI
قبلي,قبلي الجنوبية,الرحمات,129.6424,381.0,PPI
قبلي,قبلي الجنوبية,العتيلات,224.25,357.0,PPI
قبلي,قبلي الجنوبية,المطورية,81.6457,231.0,PPI
قبلي,قبلي الجنوبية,البرغوثية,59.3592,126.0,PPI
قبلي,قبلي الجنوبية,سوق البياز,70.4558,209.0,PPI
قبلي,قبلي الجنوبية,البليدات,80.8158,402.0,PPI
قبلي,قبلي الجنوبية,بازمة,152.425,583.0,PPI
قبلي,قبلي الجنوبية,المثابرة,93.0,138.0,PPI
قبلي,قبلي الجنوبية,سيدي حامد,80.0,124.0,PPI
قبلي,قبلي الجنوبية,بورزين,94.485,236.0,PPI
قبلي,قبلي الجنوبية,جمنة,118.2815,626.0,PPI
قبلي,قبلي الجنوبية,بشلي,133.8959,401.0,PPI
قبلي,قبلي الجنوبية,راس العين,174.5942,608.0,PPI
قبلي,قبلي الجنوبية,قليادة,106.507,264.0,PPI
قبلي,قبلي الجنوبية,البيوت المحمية بقبلي,30.5,38.0,PPI
قبلي,قبلي الجنوبية,غليسية القدارة,11.5,53.0,PPI
قبلي,قبلي الجنوبية,سكاست,31.4708,12.0,PPI
قبلي,قبلي الجنوبية,البحري,61.9809,59.0,PPI
قبلي,قبلي الجنوبية,شط المساعيد,36.0269,32.0,PPI
قبلي,قبلي الجنوبية,الكعبي,97.2497,357.0,PPI
قبلي,قبلي الجنوبية,المساعيد 2,41.0659,159.0,PPI
قبلي,دوز الشمالية,قصر غيلان,100.0,103.0,PPI
قبلي,دوز الشمالية,الضمرانة,45.0,106.0,PPI
قبلي,دوز الشمالية,السكومة,81.25,233.0,PPI
قبلي,دوز الشمالية,القلعة,64.3547,452.0,PPI
قبلي,دوز الشمالية,الغولة,75.625,257.0,PPI
قبلي,دوز الشمالية,قراد,110.6875,423.0,PPI
قبلي,دوز الجنوبية,دوز,310.5364,1530.0,PPI
قبلي,دوز الجنوبية,نويل,97.0854,472.0,PPI
قبلي,دوز الجنوبية,عين التراس,22.0,49.0,PPI
قبلي,دوز الجنوبية,السميدة,75.1,114.0,PPI
قبلي,دوز الجنوبية,الطرفاية,78.5287,281.0,PPI
قبلي,دوز الجنوبية,بوحمزة,81.25,271.0,PPI
قبلي,دوز الجنوبية,الحسي,91.4043,323.0,PPI
قبلي,دوز الجنوبية,زعفران,100.5,419.0,PPI
قبلي,دوز الجنوبية,لازالة,86.5,173.0,PPI
قبلي,دوز الجنوبية,امل الحسي,47.32,36.0,PPI
قبلي,سوق الأحد,نقة,127.5556,435.0,PPI
قبلي,سوق الأحد,زاوية الحرث الشمالية,78.2998,285.0,PPI
قبلي,سوق الأحد,زاوية الحرث الجنوبية,56.2323,183.0,PPI
قبلي,سوق الأحد,شوشة نقة,25.5,51.0,PPI
قبلي,سوق الأحد,فطناسة,215.7087,451.0,PPI
قبلي,سوق الأحد,زاوية العانس,136.0394,394.0,PPI
قبلي,سوق الأحد,أولاد التواتي,61.3423,76.0,PPI
قبلي,سوق الأحد,أم الصمعة الشمالية,105.7327,270.0,PPI
قبلي,سوق الأحد,زيرة الوحيشي,86.6479,242.0,PPI
قبلي,سوق الأحد,الدبابشة,20.0,20.0,PPI
قبلي,سوق الأحد,أم قلام,36.3749,74.0,PPI
قبلي,سوق الأحد,واد الجزيرة,175.4521,284.0,PPI
قبلي,سوق الأحد,بوعبد الله الشرقية,140.0,508.0,PPI
قبلي,سوق الأحد,بوعبد الله الغربية,144.0396,500.0,PPI
قبلي,سوق الأحد,الطباقة,35.0,70.0,PPI
قبلي,سوق الأحد,بشري,127.7051,471.0,PPI
قبلي,سوق الأحد,أم الصمعة الجنوبية,218.8657,500.0,PPI
قبلي,سوق الأحد,المنشية,128.0623,401.0,PPI
قبلي,سوق الأحد,تنشيق,60.3453,312.0,PPI
قبلي,سوق الأحد,القليعة,103.2265,340.0,PPI
قبلي,سوق الأحد,الدبابشة 2,35.0,68.0,PPI
قبلي,سوق الأحد,البيوت المحمية بالبدبابشة 3,2.0,9.0,PPI
قبلي,سوق الأحد,البيوت المحمية الدبابشة 2,7.0,,PPI
قبلي,سوق الأحد,البيوت المحمية بالدبابشة 1,4.0,,PPI
قبلي,الفوار,غيدمة,82.4804,348.0,PPI
قبلي,الفوار,الحداد,20.0,14.0,PPI
قبلي,الفوار,بشني,100.0,240.0,PPI
قبلي,الفوار,الفوار1,85.6034,531.0,PPI
قبلي,الفوار,الدرجين,73.0,188.0,PPI
قبلي,الفوار,الفوار2,140.1275,584.0,PPI
قبلي,الفوار,طرفاية الماء,52.5,180.0,PPI
قبلي,الفوار,الصابرية,66.285,380.0,PPI
قبلي,الفوار,الفوار3,83.6,100.0,PPI
قبلي,الفوار,شارب الهميل,12.0,19.0,PPI
قبلي,الفوار,الصابرية الشرقية 2,80.0,159.0,PPI
قبلي,رجيم معتوق,المطروحة,100.0,96.0,PPI
قبلي,رجيم معتوق,رجيم معتوق 1,104.0,112.0,PPI
قبلي,رجيم معتوق,رجيم معتوق 2,96.0,96.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى النصر 1,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية النصر 1,72.0,47.0,PPI
قبلي,رجيم معتوق,الوحدة الثالثة النصر 1,72.0,47.0,PPI
قبلي,رجيم معتوق,الوحدة الرابعة النصر 1,75.0,47.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى الفردوس 1,72.0,166.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية الفردوس 1,70.5,47.0,PPI
قبلي,رجيم معتوق,الوحدة الثالثة الفردوس 1,70.5,47.0,PPI
قبلي,رجيم معتوق,الوحدة الرابعة الفردوس 1,70.5,47.0,PPI
قبلي,رجيم معتوق,الوحدة الخامسة الفردوس 1,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى الفردوس 2,67.5,45.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية الفردوس 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثالثة الفردوس 2,66.0,44.0,PPI
قبلي,رجيم معتوق,الوحدة الرابعة الفردوس 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الخامسة الفردوس 2,75.0,50.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى أمل الرجيم 1,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية أمل الرجيم 1,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثالثة أمل الرجيم 1,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى أمل الرجيم 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية أمل الرجيم 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثالثة أمل الرجيم 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى السلام 1,72.0,34.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى السلام 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية  السلام 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الرابعة السلام 2,72.0,34.0,PPI
قبلي,رجيم معتوق,الوحدة الأولى النصر 2,72.0,48.0,PPI
قبلي,رجيم معتوق,الوحدة الثانية النصر 2,72.0,48.0,PPI
منوبة,الجديدة,البركة,1715.0,80.0,PPI
منوبة,,الأمل,668.0,220.0,PPI
منوبة,,الأفق الجديد,704.0,117.0,PPI
منوبة,,التوافق,487.0,90.0,PPI
منوبة,,فلة,220.0,25.0,PPI
منوبة,,النفيسة,731.0,217.0,PPI
منوبة,,السعادة,500.0,32.0,PPI
منوبة,برج العامري,النرجس,500.0,56.0,PPI
منوبة,,الفجة,518.0,53.0,PPI
منوبة,,فنيي العامرة,60.0,6.0,PPI
منوبة,,المستقبل,1000.0,239.0,PPI
منوبة,المرناقية,الخير,860.0,62.0,PPI
منوبة,,الازدهار,950.0,131.0,PPI
منوبة,البطان,بئر عوين,745.0,127.0,PPI
منوبة,,العروسية,350.0,50.0,PPI
منوبة,,الريان,707.0,94.0,PPI
منوبة,,حدائق المهرين,1045.0,134.0,PPI
منوبة,,الورد,480.0,80.0,PPI
منوبة,,طنقار,815.0,142.0,PPI
منوبة,,الوفاق,1026.0,180.0,PPI
منوبة,طبربة,الياسمين,1180.0,312.0,PPI
منوبة,,الشويقي (المستقبل),1170.0,171.0,PPI
منوبة,برج العامري,الثمرة,170.0,65.0,PPI
منوبة,طبربة,بئر الحكيمي,20.0,9.0,PPI
المنستير,المنستير,الرباط,160.0,77.0,PPI
المنستير,الساحلين,البركة,180.0,75.0,PPI
المنستير,الوردانين,المنارة,245.0,54.0,PPI
المنستير,نبلة,النصر,160.0,102.0,PPI
المنستير,نبلة,الخضراء,222.0,110.0,PPI
