الولاية,ع_ر,اسم_المجمع,عدد_العايلات_المنتفعة,المساحة_القابلة_للري,عدد_المستغلين_الفلاحين,عدد_المنظومات_المتوقفة,feuille
زغوان,1,جرادو,31.0,60,136,0.0,Mixte
زغوان,1,سيدي زيد,28.0,130,41,0.0,Mixte
زغوان,1,سيدي منصور,75.0,53,21,0.0,Mixte
زغوان,1,صواف 7,57.0,48,23,0.0,Mixte
زغوان,1,الحميرة 2,119.0,40,13,0.0,Mixte
زغوان,1,واد القصب,200.0,60,46,0.0,Mixte
زغوان,1,بوعرعارة,101.0,35,43,0.0,Mixte
زغوان,1,الرقبة,252.0,30,23,0.0,Mixte
زغوان,1,صوار,41.0,160,54,0.0,Mixte
زغوان,1,السعادين,32.0,40,20,0.0,Mixte
زغوان,1,الزبيدين,212.0,47,37,0.0,Mixte
القصرين,1,السارق لحمر,230.0,20,8,0.0,Mixte
القصرين,1,وجه الكميم,400.0,92,32,0.0,Mixte
القصرين,1,القنة,215.0,47,27,0.0,Mixte
القصرين,1,الجروالة1,80.0,50,52,0.0,Mixte
القصرين,1,الربايعية,188.0,92,32,0.0,Mixte
القصرين,1,فج حديد,700.0,58,23,0.0,Mixte
القصرين,1,غيلان,80.0,59,39,0.0,Mixte
القصرين,1,البيبيات الهشيم 5,920.0,70,70,0.0,Mixte
القصرين,1,عين هدية 1,105.0,110,89,0.0,Mixte
القصرين,1,بئر شعبان 2,600.0,60,52,0.0,Mixte
القصرين,1,سيدي امحمد,80.0,24,50,0.0,Mixte
القصرين,1,اولاد الغاوي,220.0,60,220,0.0,Mixte
القصرين,1,ماجة,47.0,20,47,1.0,Mixte
القصرين,1,عين  السلسلة-,83.0,75,83,0.0,Mixte
القصرين,1,الهنشير التونسي,,30,16,1.0,Mixte
القصرين,1,بو غانم الفرضة,80.0,48,9,0.0,Mixte
القصرين,1,المزيرعة2,,34,42,0.0,Mixte
القصرين,1,العذيرة 1,383.0,38,36,0.0,Mixte
القصرين,1,الناظور1,60.0,15,10,0.0,Mixte
القصرين,1,الافراش,142.0,26,84,0.0,Mixte
القصرين,1,الناصرية,70.0,12,40,0.0,Mixte
القصرين,1,بوكف,74.0,30,30,0.0,Mixte
القصرين,1,عقلة  احمد,132.0,60,30,0.0,Mixte
القصرين,1,الفكة اولاد منصور,80.0,54,30,0.0,Mixte
القصرين,1,مقدودش,25.0,60,40,0.0,Mixte
القصرين,1,وسنينت2,48.0,57,20,0.0,Mixte
القصرين,1,الوشواشة,100.0,20,20,0.0,Mixte
القصرين,1,القواسم,170.0,60,52,0.0,Mixte
القصرين,1,فكيرينة,135.0,60,24,0.0,Mixte
القصرين,1,هنشير غرس الله االقرعة,21.0,45,30,0.0,Mixte
القصرين,1,الزغابية,111.0,56,28,0.0,Mixte
القصرين,1,فج النعام1,18.0,60,17,0.0,Mixte
القصرين,1,سيدي حمودة,46.0,70,30,0.0,Mixte
القصرين,1,بوصفة1,88.0,65,36,0.0,Mixte
القصرين,1,بوعنز,50.0,15,40,0.0,Mixte
القصرين,1,الرميلة,80.0,30,50,0.0,Mixte
الكاف,1,الحوض 5,24.0,70,0,0.0,Mixte
الكاف,1,سيدي عبد الباسط 3,18.0,40,0,0.0,Mixte
مدنين,1,منزلة مقر,70.0,20,14,0.0,Mixte
سليانة,1,عين سليمان,60.0,45,35,,Mixte
سليانة,1,مزرق الشمس,30.0,58,17,1.0,Mixte
سليانة,1,فوار الجبسة,140.0,70,72,,Mixte
سليانة,1,الطموح,47.0,80,47,,Mixte
سليانة,1,صدقة,125.0,200,150,,Mixte
سليانة,1,الدخيلة,50.0,45,26,,Mixte
سليانة,1,الصفية أولاد بن عمر,99.0,44,15,,Mixte
سليانة,1,الرحاحلة,140.0,25,16,,Mixte
سليانة,1,الأمل مليتة,75.0,81,26,1.0,Mixte
سليانة,1,برج المسعودي الغربي,170.0,50,16,,Mixte
سليانة,1,القرية الجنوبية,195.0,102,69,,Mixte
سليانة,1,المنصورة الجنوبية,12.0,25,12,,Mixte
سليانة,1,السوالم,285.0,60,32,,Mixte
