campagne_agricole,gouvernorat,perimetre_irrigue,station_depuration,capacite_de_traitement_actuelle_de_la_step_m3_jour,capacite_de_traitement_potentielle_de_la_step_m3_jour,date_de_mise_en_eau,superficie_amenagee_ha,perimetre_exploite_ha,superficie_irriguee_ha,taux_dintencification,volume_des_eut_distribue_m3_an,feuille
2021/2022,ARIANA,Soukra,Charguia,40000.0,43000,1962.0,409.0,409.0,134.0,0.3276283618581907,442372.0,PPI EUT
2021/2022,ARIANA,Borj Touil,"Chotrana I et II, Cotière Nord et Charguia",116000.0,,1989.0,3145.0,3145.0,179.0,0.0569157392686804,751925.0,PPI EUT
2021/2022,BIZERTE,Sidi Ahmed,Sidi Ahmed,,,,174.0,,,,,PPI EUT
2021/2022,NABEUL,Souhil,SE3 et SE4,4500.0,7000,1982.0,280.0,280.0,311.0,0.557347670250896,2250130.0,PPI EUT
2021/2022,NABEUL,Haouariet Nabeul,SE3 et SE4,18000.0,25000,2003.0,83.0,83.0,,,,PPI EUT
2021/2022,NABEUL,Bir romena,SE4,,,2002.0,50.0,50.0,,,,PPI EUT
2021/2022,NABEUL,Messaadi,SE4,,,1982.0,70.0,70.0,,,,PPI EUT
2021/2022,NABEUL,"Charki    
( Bni Khiar)",SE4,,,2002.0,75.0,75.0,,,,PPI EUT
2021/2022,NABEUL,Kélibia,Kélibia,7500.0,7500,2002.0,45.0,45.0,33.0,0.7333333333333333,143000.0,PPI EUT
2021/2022,ZAGHOUAN,Sidi Mrayeh,Zaghouan,2500.0,3000,2014.0,65.0,65.0,41.0,0.6307692307692307,37412.0,PPI EUT
2021/2022,ZAGHOUAN,El Khdhirat,El Fahs,1500.0,1700,,60.0,60.0,38.5,0.6416666666666667,16000.0,PPI EUT
2021/2022,BEJA,Bouteffaha,Bèja Sud,,,,354.0,,,,,PPI EUT
2021/2022,BEJA,Medjez Elbeb,Medjez Elbeb,,,,100.0,,,,,PPI EUT
2021/2022,KEF,Semmana,Kef,,,,180.0,,,,,PPI EUT
2021/2022,SILIANA,Mediouna,Mediouna,3334.0,3655,2006.0,87.2,87.2,87.2,1.0,38300.0,PPI EUT
2021/2022,SOUSSE,Zaouiet Sousse,Sousse Sud,10000.0,17800,1987.0,257.0,257.0,257.0,1.0,658480.0,PPI EUT
2021/2022,SOUSSE,Msaken,Msaken,10000.0,7850,2003.0,185.0,185.0,185.0,1.0,249900.0,PPI EUT
2021/2022,MONASTIR,Ouardanine,Ouardanine,1000.0,1000,1997.0,50.0,50.0,70.0,1.4,280000.0,PPI EUT
2021/2022,MONASTIR,"Sayada,Lamta,Bouhjar","Sayada,Lamta,
Bouhjar",,,,50.0,,,,,PPI EUT
2021/2022,MONASTIR,Beni Hassen,Beni Hassen,,,2022.0,14.0,,,,,PPI EUT
2021/2022,Mahdia,Dkhila,Vitalait,,,,36.0,36.0,36.0,1.0,95000.0,PPI EUT
2021/2022,KAIROUAN,Dhraa Tammar,Kairouan,15000.0,20000,1983.0,380.0,380.0,150.0,0.3947368421052631,926784.0,PPI EUT
2021/2022,KASSERINE,Oued essid,Kasserine,4300.0,15000,1998.0,131.0,131.0,131.0,1.0,267624.0,PPI EUT
2021/2022,KASSERINE,Sbitla,Sbitla,,,2009.0,80.0,,,,,PPI EUT
2021/2022,SFAX,El hajeb,Sfax Sud,40400.0,49500,1987.0,452.0,452.0,180.0,0.3982300884955752,1809596.0,PPI EUT
2021/2022,SFAX,El hancha,El hencha,700.0,,2009.0,60.0,60.0,2.0,0.0333333333333333,6000.0,PPI EUT
