annee,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,feuille
janvier,47.9,45.4,51.8,48.7,57.7,58.7,63.2,64.4,70.4,72.4,73.0,71.3,75.0,74.1,73.322733,66.9,Feuil1
fevrier,51.3,45.4,50.2,51.6,57.1,57.9,62.1,63.7,73.3,71.3,69.5,68.8,76.9,74.3,71.752653,64.1,Feuil1
mars,57.8,57.0,58.9,60.7,67.8,70.4,73.1,75.9,81.5,85.3,80.4,80.8,85.8,83.3,84.372739,75.0,Feuil1
avril,58.6,59.1,61.0,62.5,70.6,72.6,79.5,82.4,82.1,86.0,80.6,81.6,82.0,81.2,76.370604,,Feuil1
mai,59.2,60.1,62.7,63.4,71.8,73.8,80.2,84.6,82.7,85.7,78.2,78.7,77.2,78.0,79.6,,Feuil1
juin,55.1,54.6,58.6,58.7,63.3,64.5,68.6,74.8,70.1,74.2,69.0,73.8,73.0,73.3,66.489427,,Feuil1
juillet,53.9,52.8,57.0,58.5,58.8,59.2,63.5,72.7,71.7,76.8,67.8,70.5,73.3,73.1,66.8,,Feuil1
aout,50.9,47.0,51.3,51.9,54.8,61.1,64.1,70.3,70.7,74.2,68.8,67.0,70.4,66.7,60.028698,,Feuil1
septembre,40.3,42.4,49.9,53.4,52.4,56.8,56.3,66.2,65.5,67.9,63.2,62.7,65.9,62.8,58.505148,,Feuil1
octobre,42.2,45.2,47.0,51.9,52.0,57.3,58.2,64.5,65.5,66.9,65.7,66.7,67.1,62.5,58.010313,,Feuil1
novembre,40.0,44.7,46.0,49.7,48.9,56.0,54.5,62.4,63.8,63.3,61.9,62.3,65.7,59.6,56.185068,,Feuil1
decembre,42.5,48.6,45.0,53.4,54.2,56.9,59.4,65.8,67.9,67.9,66.6,68.0,67.3,66.4,60.0,,Feuil1
