annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,feuille
janvier,17.3,3.8,14.5,15.9,29.9,8.3,9.5,21.0,13.8,54.3,36.6,23.9,14.3,21.5,38.0,26.4,7.2,Feuil1
fevrier,20.2,14.1,15.3,19.3,35.2,9.6,12.7,25.3,18.2,55.1,40.8,25.8,18.2,28.7,42.1,29.5,6.5,Feuil1
mars,24.5,22.7,22.9,28.3,35.8,16.6,25.5,35.1,26.2,57.9,48.4,27.0,29.1,27.9,44.1,30.2,7.1,Feuil1
avril,31.2,35.0,30.4,40.1,38.4,28.6,36.0,42.2,42.5,61.6,58.5,29.1,30.8,32.3,47.8,32.3,,Feuil1
mai,33.1,47.6,36.3,48.5,39.0,36.1,43.8,52.1,56.8,63.1,48.8,19.8,31.6,48.9,52.1,38.8,,Feuil1
juin,34.0,56.7,43.7,54.5,38.9,37.8,46.5,46.3,58.9,60.5,52.8,22.4,39.3,56.2,54.4,37.9,,Feuil1
juillet,34.5,61.8,48.6,55.7,26.3,27.4,35.6,48.8,67.9,64.1,55.3,21.3,39.9,61.8,54.6,34.4,,Feuil1
aout,28.4,51.0,33.9,45.1,21.7,23.9,35.5,43.2,68.0,58.5,53.2,23.3,37.4,58.8,52.2,26.6,,Feuil1
septembre,12.2,39.2,27.6,44.0,15.6,16.6,32.5,33.7,68.3,51.8,46.3,17.8,33.5,55.2,45.8,19.1,,Feuil1
octobre,4.7,27.6,21.6,39.4,8.1,13.8,29.0,26.8,61.8,47.1,38.8,15.4,27.8,48.7,40.2,12.0,,Feuil1
novembre,1.9,21.8,18.4,36.5,6.9,8.5,22.9,19.3,56.8,36.1,30.2,12.5,22.4,45.5,32.1,7.2,,Feuil1
decembre,2.1,16.2,14.9,34.6,7.5,8.2,21.2,13.0,53.9,34.7,29.2,14.8,21.2,38.7,26.8,5.4,,Feuil1
