annee,mois,valeur,feuille
2018,Janvier,84.6,Feuil1
2018,Fevrier,84.80000000000001,Feuil1
2018,Mars,94.4,Feuil1
2018,Avril,106.09999999999997,Feuil1
2018,Mai,68.90000000000003,Feuil1
2018,Juin,29.0,Feuil1
2018,Juillet,28.599999999999966,Feuil1
2018,Août,21.600000000000023,Feuil1
2018,Septembre,24.700000000000045,Feuil1
2018,Octobre,39.799999999999955,Feuil1
2018,Novembre,74.79999999999995,Feuil1
2018,Decembre,86.80000000000007,Feuil1
2019,Janvier,100.3,Feuil1
2019,Fevrier,113.60000000000001,Feuil1
2019,Mars,111.99999999999997,Feuil1
2019,Avril,99.50300000000004,Feuil1
2019,Mai,44.59699999999998,Feuil1
2019,Juin,23.399999999999977,Feuil1
2019,Juillet,25.700000000000045,Feuil1
2019,Août,19.199999999999932,Feuil1
2019,Septembre,22.200000000000045,Feuil1
2019,Octobre,38.0,Feuil1
2019,Novembre,84.60000000000002,Feuil1
2019,Decembre,96.89999999999998,Feuil1
2020,Janvier,107.1,Feuil1
2020,Fevrier,107.6,Feuil1
2020,Mars,91.99000000000001,Feuil1
2020,Avril,53.20999999999998,Feuil1
2020,Mai,50.700000000000045,Feuil1
2020,Juin,36.89999999999998,Feuil1
2020,Juillet,27.399999999999977,Feuil1
2020,Août,21.400000000000034,Feuil1
2020,Septembre,30.499999999999943,Feuil1
2020,Octobre,47.40000000000009,Feuil1
2020,Novembre,65.39999999999998,Feuil1
2020,Decembre,92.79999999999995,Feuil1
2021,Janvier,97.2,Feuil1
2021,Fevrier,108.89999999999999,Feuil1
2021,Mars,100.70000000000002,Feuil1
2021,Avril,41.69999999999999,Feuil1
2021,Mai,23.5,Feuil1
2021,Juin,26.69999999999999,Feuil1
2021,Juillet,21.69999999999999,Feuil1
2021,Août,21.0,Feuil1
2021,Septembre,28.80000000000001,Feuil1
2021,Octobre,46.80000000000001,Feuil1
2021,Novembre,83.39999999999998,Feuil1
2021,Decembre,116.20000000000005,Feuil1
2022,Janvier,107.5,Feuil1
2022,Fevrier,102.1,Feuil1
2022,Mars,105.79999999999998,Feuil1
2022,Avril,51.60000000000002,Feuil1
2022,Mai,31.5,Feuil1
2022,Juin,31.5,Feuil1
2022,Juillet,17.100000000000023,Feuil1
2022,Août,21.299999999999955,Feuil1
2022,Septembre,35.30000000000001,Feuil1
2022,Octobre,43.30000000000001,Feuil1
2022,Novembre,94.5,Feuil1
2022,Decembre,118.10000000000002,Feuil1
2023,Janvier,107.5,Feuil1
2023,Fevrier,112.5,Feuil1
2023,Mars,90.30000000000001,Feuil1
2023,Avril,33.099999999999966,Feuil1
2023,Mai,35.200000000000045,Feuil1
2023,Juin,26.399999999999977,Feuil1
2023,Juillet,24.399999999999977,Feuil1
2023,Août,26.682000000000016,Feuil1
2023,Septembre,30.800999999999988,Feuil1
2023,Octobre,46.13000000000005,Feuil1
2023,Novembre,115.85399999999993,Feuil1
2023,Decembre,145.31100000000004,Feuil1
2024,Janvier,141.316,Feuil1
2024,Fevrier,139.186,Feuil1
2024,Mars,86.80799999999999,Feuil1
2024,Avril,43.08100000000002,Feuil1
2024,Mai,51.14299999999997,Feuil1
2024,Juin,33.72300000000001,Feuil1
2024,Juillet,36.56,Feuil1
2024,Août,34.847999999999956,Feuil1
2024,Septembre,46.45500000000004,Feuil1
2024,Octobre,84.351,Feuil1
2024,Novembre,129.985,Feuil1
2024,Decembre,127.84199999999998,Feuil1
2025,Janvier,137.455,Feuil1
2025,Fevrier,102.12799999999999,Feuil1
2025,Mars,58.92999999999998,Feuil1
2025,Avril,46.31700000000001,Feuil1
2025,Mai,48.084,Feuil1
2025,Juin,36.459,Feuil1
2025,Juillet,37.959,Feuil1
2025,Août,31.319999999999993,Feuil1
2025,Septembre,41.863,Feuil1
2025,Octobre,94.21299999999997,Feuil1
2025,Novembre,140.72400000000005,Feuil1
2025,Décembre,156.64999999999998,Feuil1
2026,Janvier,109.042,Feuil1
2026,Fevrier,107.191,Feuil1
