annee,mois,quantite,feuille
2018,Janvier,23.3,X°2018 (1000T)
2018,Fevrier,31.2,X°2018 (1000T)
2018,Mars,25.900000000000006,X°2018 (1000T)
2018,Avril,26.599999999999994,X°2018 (1000T)
2018,Mai,20.799999999999997,X°2018 (1000T)
2018,Juin,14.200000000000003,X°2018 (1000T)
2018,Juillet,12.699999999999989,X°2018 (1000T)
2018,Août,12.100000000000023,X°2018 (1000T)
2018,Septembre,10.099999999999994,X°2018 (1000T)
2018,Octobre,13.5,X°2018 (1000T)
2018,Novembre,17.799999999999983,X°2018 (1000T)
2018,Decembre,21.200000000000017,X°2018 (1000T)
2019,Janvier,16.1,X°2018 (1000T)
2019,Fevrier,16.6,X°2018 (1000T)
2019,Mars,16.199999999999996,X°2018 (1000T)
2019,Avril,15.672000000000004,X°2018 (1000T)
2019,Mai,12.128,X°2018 (1000T)
2019,Juin,11.299999999999997,X°2018 (1000T)
2019,Juillet,11.200000000000003,X°2018 (1000T)
2019,Août,12.299999999999997,X°2018 (1000T)
2019,Septembre,8.299999999999997,X°2018 (1000T)
2019,Octobre,12.299999999999997,X°2018 (1000T)
2019,Novembre,15.0,X°2018 (1000T)
2019,Decembre,24.900000000000006,X°2018 (1000T)
2020,Janvier,27.4,X°2018 (1000T)
2020,Fevrier,36.6,X°2018 (1000T)
2020,Mars,46.083,X°2018 (1000T)
2020,Avril,49.016999999999996,X°2018 (1000T)
2020,Mai,43.0,X°2018 (1000T)
2020,Juin,38.30000000000001,X°2018 (1000T)
2020,Juillet,23.49999999999997,X°2018 (1000T)
2020,Août,18.600000000000023,X°2018 (1000T)
2020,Septembre,31.19999999999999,X°2018 (1000T)
2020,Octobre,22.0,X°2018 (1000T)
2020,Novembre,27.19999999999999,X°2018 (1000T)
2020,Decembre,24.0,X°2018 (1000T)
2021,Janvier,21.0,X°2018 (1000T)
2021,Fevrier,24.0,X°2018 (1000T)
2021,Mars,24.099999999999994,X°2018 (1000T)
2021,Avril,18.80000000000001,X°2018 (1000T)
2021,Mai,17.89999999999999,X°2018 (1000T)
2021,Juin,19.799999999999997,X°2018 (1000T)
2021,Juillet,10.700000000000017,X°2018 (1000T)
2021,Août,7.299999999999983,X°2018 (1000T)
2021,Septembre,10.0,X°2018 (1000T)
2021,Octobre,6.200000000000017,X°2018 (1000T)
2021,Novembre,12.099999999999994,X°2018 (1000T)
2021,Decembre,26.5,X°2018 (1000T)
2022,Janvier,20.9,X°2018 (1000T)
2022,Fevrier,26.6,X°2018 (1000T)
2022,Mars,23.099999999999994,X°2018 (1000T)
2022,Avril,26.200000000000003,X°2018 (1000T)
2022,Mai,12.799999999999997,X°2018 (1000T)
2022,Juin,15.900000000000006,X°2018 (1000T)
2022,Juillet,11.900000000000006,X°2018 (1000T)
2022,Août,7.599999999999994,X°2018 (1000T)
2022,Septembre,8.300000000000011,X°2018 (1000T)
2022,Octobre,13.899999999999977,X°2018 (1000T)
2022,Novembre,17.200000000000017,X°2018 (1000T)
2022,Decembre,28.099999999999994,X°2018 (1000T)
2023,Janvier,17.9,X°2018 (1000T)
2023,Fevrier,25.700000000000003,X°2018 (1000T)
2023,Mars,17.5,X°2018 (1000T)
2023,Avril,16.1,X°2018 (1000T)
2023,Mai,20.099999999999994,X°2018 (1000T)
2023,Juin,15.400000000000006,X°2018 (1000T)
2023,Juillet,13.399999999999991,X°2018 (1000T)
2023,Août,13.318000000000012,X°2018 (1000T)
2023,Septembre,9.288999999999987,X°2018 (1000T)
2023,Octobre,13.278999999999996,X°2018 (1000T)
2023,Novembre,10.052999999999997,X°2018 (1000T)
2023,Decembre,29.061000000000007,X°2018 (1000T)
2024,Janvier,22.482,X°2018 (1000T)
2024,Fevrier,25.844,X°2018 (1000T)
2024,Mars,20.029000000000003,X°2018 (1000T)
2024,Avril,21.153999999999996,X°2018 (1000T)
2024,Mai,20.081000000000003,X°2018 (1000T)
2024,Juin,16.471000000000004,X°2018 (1000T)
2024,Juillet,8.711999999999989,X°2018 (1000T)
2024,Août,7.341000000000008,X°2018 (1000T)
2024,Septembre,8.865000000000009,X°2018 (1000T)
2024,Octobre,5.245999999999981,X°2018 (1000T)
2024,Novembre,14.780000000000001,X°2018 (1000T)
2024,Decembre,27.25399999999999,X°2018 (1000T)
2025,Janvier,42.03,X°2018 (1000T)
2025,Fevrier,39.099000000000004,X°2018 (1000T)
2025,Mars,34.062,X°2018 (1000T)
2025,Avril,22.960000000000008,X°2018 (1000T)
2025,Mai,27.113999999999976,X°2018 (1000T)
2025,Juin,17.287000000000006,X°2018 (1000T)
2025,Juillet,12.300000000000011,X°2018 (1000T)
2025,Août,15.801999999999992,X°2018 (1000T)
2025,Septembre,15.953000000000003,X°2018 (1000T)
2025,Octobre,11.651999999999987,X°2018 (1000T)
2025,Novembre,31.328000000000003,X°2018 (1000T)
2025,Decembre,48.399,X°2018 (1000T)
2026,Janvier,51.14,X°2018 (1000T)
2026,Fevrier,53.42399999999999,X°2018 (1000T)
