mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Huile-d-olive,236.2,308.59999999999997,232.10000000000002,238.80000000000007,200.5,135.39999999999986,120.10000000000014,118.59999999999991,101.5,123.20000000000005,138.5,171.5,X°2018 (MD)
Poissons,24.8,29.7,33.599999999999994,29.200000000000003,36.500000000000014,29.599999999999994,100.79999999999998,32.30000000000001,26.0,35.80000000000001,45.39999999999998,40.0,X°2018 (MD)
Dattes,84.6,84.80000000000001,94.4,106.09999999999997,68.90000000000003,29.0,28.599999999999966,21.600000000000023,24.700000000000045,39.799999999999955,74.79999999999995,86.80000000000007,X°2018 (MD)
Agrumes,4.6,4.4,5.699999999999999,2.6999999999999993,1.9000000000000021,0.6999999999999993,0.6000000000000014,0.09999999999999787,0.10000000000000142,0.3000000000000007,0.8999999999999986,0.6000000000000014,X°2018 (MD)
Tomates,15.7,5.3540550000000025,12.978069000000001,14.244516999999995,12.988284,5.965222000000004,1.2799059999999969,0.4811720000000008,0.6907520000000034,0.901527999999999,1.6405259999999942,6.166944999999998,X°2018 (MD)
Sucres et sucrerie,,,,,,,,,,,,352.87438,X°2018 (MD)
Autres huiles et dérivés,,,,,,,,,,,,275.3251479999999,X°2018 (MD)
Pates alimentaires,,,,,,,,,,,,135.894639,X°2018 (MD)
"Lait, beurre, fromages, œufs et miel",,,,,,,,,,,,89.852458,X°2018 (MD)
Préparation alimentaires,,,,,,,,,,,,120.799976,X°2018 (MD)
Poivre et piments,,,,,,,,,,,,70.413307,X°2018 (MD)
