mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Ble-dur,92.9,146.1,233.8,418.791,471.6,483.0,494.5,499.9,504.8,514.9,523.0,526.6,M°2019 (1000T)
Ble-tendre,114.7,166.5,357.4,434.851,580.8,613.8,696.1,839.0,974.2,1081.0,1218.3,1327.7,M°2019 (1000T)
Orge,81.1,108.3,245.8,330.856,357.3,357.3,408.2,408.2,433.6,462.1,489.6,542.7,M°2019 (1000T)
Maïs,116.1,152.0,230.5,283.436,408.0,443.4,543.6,611.0,718.6,836.3,971.2,1025.9,M°2019 (1000T)
Pomme-de-terre,2.6,2.7,2.7,2.719,5.9,5.9,5.9,10.8,10.8,15.8,28.9,40.8,M°2019 (1000T)
Viandes,0.3,0.5,1.0,1.608,2.4,3.2,3.9,4.5,5.1,5.6,6.3,6.8,M°2019 (1000T)
Lait-et-derives,4.8,6.4,8.5,10.444,13.3,14.8,16.5,18.4,21.2,23.0,26.4,30.8,M°2019 (1000T)
Huiles-vegetales,12.1,29.9,47.6,73.741,88.2,117.4,142.8,162.2,192.3,211.9,228.0,262.0,M°2019 (1000T)
Sucre,14.1,90.7,154.0,196.476,275.7,315.1,350.7,350.7,368.8,441.2,476.4,497.5,M°2019 (1000T)
Tourtaux-de-soja,0.2,0.2,0.2,0.304,0.9,1.2,1.2,1.2,1.2,5.1,13.6,13.6,M°2019 (1000T)
