delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,amenagement_des_reseaux_d_adduction_d_eaux_potables_aep,nb_des_beneficiaires_des_reseaux_aep,nb_des_citernes_individuelles_creees,feuille
سجنان,المعالية,0.0,0,19.3,302,0,0,10,Feuil1
سجنان,سجنان,0.0,0,16.8,602,0,0,3,Feuil1
سجنان,المشارقة,0.0,0,18.0,28,0,0,5,Feuil1
سجنان,العبابسة,0.0,0,18.7,68,0,0,5,Feuil1
سجنان,السحابنة,0.0,0,13.2,92,0,0,4,Feuil1
سجنان,امادن,0.0,0,3.3,65,0,0,0,Feuil1
سجنان,سيدي مشرق,0.0,0,12.6,125,0,0,4,Feuil1
سجنان,الحشاشنة,0.0,0,10.0,250,0,0,3,Feuil1
غزالة,اولاد المي,6.8,230,1.0,12,0,0,3,Feuil1
غزالة,العرب,7.0,335,1.0,10,1,30,3,Feuil1
جومين,الطواجنية,0.0,0,14.5,215,0,0,4,Feuil1
جومين,بازينة,0.0,0,3.0,30,0,0,0,Feuil1
جومين,اولاد غانم,0.0,0,13.0,90,0,0,3,Feuil1
جومين,الشنانة,0.0,0,12.75,197,0,0,3,Feuil1
جومين,رواحة,0.0,0,10.3,78,0,0,2,Feuil1
