delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cordon_en_pierres_seches_ha,cuvettes_pour_arboriculture_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,remembrement_des_terres_en_sec_ha,feuille
قبلاط,قرام,0.0,0.0,0,0.0,30.0,117.49,0,Feuil1
قبلاط,قمرتي,0.0,20.0,0,0.0,67.75,110.99,0,Feuil1
قبلاط,بئر العش,0.0,,0,0.0,52.5,199.0,0,Feuil1
قبلاط,شيخ الوديان,0.0,20.0,0,0.0,35.0,69.85,0,Feuil1
قبلاط,خشاب,0.0,19.6,0,0.0,18.75,200.54,0,Feuil1
قبلاط,خنيقة الدهان,0.0,0.0,0,0.0,37.5,86.35,0,Feuil1
تستور,زلدو,10.0,0.0,0,49.5,112.8,173.56,0,Feuil1
تستور,مزوغة,10.0,12.0,0,30.0,116.0,213.13,1000,Feuil1
عمدون,بني مالك,17.0,10.0,0,0.0,57.0,37.01,0,Feuil1
عمدون,الفرايجية,32.0,42.0,0,20.0,66.33,142.02,0,Feuil1
عمدون,المجالس,,10.0,0,0.0,65.0,21.55,0,Feuil1
عمدون,الحمراء,12.0,26.0,0,20.0,67.0,26.0,0,Feuil1
عمدون,الجوزة,77.0,40.0,0,45.0,212.95,101.43,0,Feuil1
عمدون,غزية,10.0,35.0,0,0.0,111.0,72.01,0,Feuil1
عمدون,زهرة مدين ج.,0.0,0.0,0,0.0,45.5,13.41,0,Feuil1
تيبار,دجبة,30.0,0.0,20,50.0,40.0,141.06,0,Feuil1
تيبار,عين الدفالي,0.0,20.0,0,0.0,52.0,194.21,0,Feuil1
نفزة,فطناسة,17.07,,0,0.0,40.0,37.72,0,Feuil1
نفزة,وادي المعدن,67.27,40.0,0,40.0,129.0,382.45,0,Feuil1
نفزة,الجميلة,24.73,5.0,0,0.0,135.0,125.3,0,Feuil1
نفزة,الطبابة,57.0,22.0,0,0.0,54.0,42.5,0,Feuil1
نفزة,بوزنة,41.0,36.0,0,0.0,80.0,91.0,0,Feuil1
نفزة,زاقة,0.0,30.0,0,0.0,130.0,51.5,0,Feuil1
نفزة,الظهيرات,44.5,8.0,0,0.0,52.0,201.68,0,Feuil1
نفزة,غياضة,5.0,21.1,0,0.0,35.0,35.75,0,Feuil1
نفزة,نفزة الشرقية,0.0,,0,0.0,5.0,22.13,0,Feuil1
باجة الجنوبية,سيدي إسماعيل,13.0,15.0,0,50.0,64.25,196.86,0,Feuil1
باجة الجنوبية,المخشبية,102.0,20.0,0,130.0,205.0,357.1,0,Feuil1
باجة الجنوبية,مستوتة,20.0,20.0,0,40.0,20.0,136.59,1250,Feuil1
تبرسق,ريحانة,35.0,30.0,20,10.0,110.75,156.2,0,Feuil1
تبرسق,بئر التوتة,11.0,4.95,0,10.0,263.08,118.7,0,Feuil1
تبرسق,عين مليتي,53.0,45.05,20,20.0,220.1,254.38,0,Feuil1
تبرسق,عين الحمام,0.0,20.0,0,30.0,11.25,55.09,0,Feuil1
مجاز الباب,توكابر,32.0,30.0,0,15.0,67.5,166.47,0,Feuil1
مجاز الباب,شواش,45.0,9.0,0,10.0,68.5,91.12,0,Feuil1
مجاز الباب,حيدوس,0.0,70.0,0,10.0,100.5,130.16,0,Feuil1
