delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,cordon_en_pierres_seches_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,remembrement_des_terres_en_sec_ha,feuille
عين دراهم,الخمايرية,0.0,33.0,0.0,199.2,160.62,244,Feuil1
عين دراهم,سلول,0.0,22.0,0.0,37.5,38.38,0,Feuil1
عين دراهم,تاقمة,11.5,51.2,0.0,133.6,58.21,50,Feuil1
عين دراهم,الحمران,16.0,69.5,0.0,151.2,46.98,0,Feuil1
عين دراهم,عين سلام,10.0,31.2,0.0,10.0,26.97,0,Feuil1
عين دراهم,وادي الزان,0.0,12.0,0.0,26.0,26.97,0,Feuil1
عين دراهم,الرويعي,0.0,42.4,0.0,115.85,52.63,100,Feuil1
فرنانة,وادي غريب,0.0,10.0,0.0,56.75,113.74,120,Feuil1
فرنانة,ربيعة,2.7,23.3,0.0,27.5,41.89,0,Feuil1
فرنانة,اولاد مفدة,10.0,26.1,0.0,85.0,46.23,203,Feuil1
فرنانة,قلوب الثيران الجنوبية,0.0,22.0,0.0,46.75,34.4,500,Feuil1
فرنانة,قلوب الثيران الجنوبية,0.0,20.0,0.0,62.0,35.5,0,Feuil1
فرنانة,هذيل,0.0,32.4,0.0,183.2,152.99,0,Feuil1
فرنانة,العاذر,6.9,61.2,0.0,95.77,86.67,0,Feuil1
فرنانة,الجواودة,8.72,24.4,0.0,48.0,32.3,0,Feuil1
فرنانة,حليمة,35.0,89.3,0.0,131.45,70.18,186,Feuil1
فرنانة,سيدي عمار,0.0,70.1,0.0,85.95,87.49,0,Feuil1
غار الدماء,المعدن,15.0,73.9,9.7,105.25,81.68,0,Feuil1
غار الدماء,عين سلطان,0.0,30.0,0.0,76.0,46.87,0,Feuil1
غار الدماء,وشتاتة,29.8,60.1,0.0,80.5,77.22,0,Feuil1
غار الدماء,الصرية,74.0,123.52,0.0,78.05,119.59,0,Feuil1
غار الدماء,فركصان,0.0,27.0,0.0,85.0,52.81,0,Feuil1
غار الدماء,فج حسين,0.0,0.0,0.0,124.5,135.77,0,Feuil1
طبرقة,الحمام,0.0,33.2,0.0,147.88,106.52,0,Feuil1
طبرقة,الناظور,0.0,78.6,0.0,171.84,141.89,0,Feuil1
طبرقة,عين السنوسي,13.8,155.13,0.0,248.52,36.71,127,Feuil1
