delegation,secteur,amenagement_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_amenagees,remise_a_niveau_des_pistes_rurales_km,nb_des_beneficiaires_des_pistes_reabilitees,amenagement_des_reseaux_d_adduction_d_eaux_potables_aep,nb_des_beneficiaires_des_reseaux_aep,nb_des_citernes_individuelles_creees,feuille
الكريب,حمام بياضة الشمالية,4.0,75,10.0,420,0.0,0,0,Feuil1
الكريب,حمام بياضة الجنوبية,5.5,140,24.0,280,0.0,0,8,Feuil1
الكريب,برج المسعوي الغربية,5.0,220,10.0,270,,84,5,Feuil1
الكريب,برج المسعوي الشرقية,2.3,180,17.0,650,,18,6,Feuil1
الكريب,الكريب الشمالي,11.0,320,0.0,0,0.0,0,9,Feuil1
الكريب,الكريب الجنوبي,4.3,115,8.8,72,0.0,0,20,Feuil1
الكريب,الدخانية,3.0,82,1.8,32,0.0,0,4,Feuil1
سيدي بورويس,العباسي,1.0,40,16.0,514,0.0,0,4,Feuil1
سيدي بورويس,عين عاشور,2.0,60,9.5,380,0.0,0,4,Feuil1
سيدي بورويس,التريشة,0.0,0,6.0,202,0.0,0,1,Feuil1
سليانة  الشمالية,الجوى,1.5,35,25.0,184,0.0,0,6,Feuil1
سليانة  الشمالية,جامة,18.0,456,0.0,0,0.0,0,5,Feuil1
سليانة  الشمالية,مصوج,7.0,318,3.5,187,0.0,0,4,Feuil1
سليانة  الشمالية,عين الديسة,0.5,48,5.0,98,0.0,0,3,Feuil1
سليانة  الشمالية,الخلصة,5.6,32,4.0,52,0.0,0,3,Feuil1
