annees,delegation,secteur,seuils_en_pierres_seches_ha,seuils_en_gabion_ha,amelioration_parcours_avec_sulla_ha,agroforesterie_ha,feuille
2018,عين دراهم,الخمايرية,0.0,9.0,29.0,68.0,Feuil1
2018,عين دراهم,سلول,0.0,0.0,13.0,39.5,Feuil1
2018,عين دراهم,تلقمة,0.0,0.0,10.0,29.5,Feuil1
2018,عين دراهم,الحمران,0.0,0.0,20.0,7.4,Feuil1
2018,عين دراهم,عين سلام,0.0,11.3,0.0,8.7,Feuil1
2018,عين دراهم,وادي الزان,0.0,0.0,0.0,41.1,Feuil1
2018,عين دراهم,الرويعي,0.0,0.0,47.0,75.3,Feuil1
2018,فرنانة,وادي غريب,0.0,0.0,0.0,18.5,Feuil1
2018,فرنانة,ربيعة,0.0,0.0,0.0,0.0,Feuil1
2018,فرنانة,أولاد مفدة,0.0,0.0,20.0,15.7,Feuil1
2018,فرنانة,قلوب الثيران الجنوبية,0.0,0.0,10.0,22.1,Feuil1
2018,فرنانة,قلوب الثيران الشمالية,0.0,0.0,10.0,26.6,Feuil1
2018,فرنانة,هذيل,0.0,7.5,20.0,23.35,Feuil1
2018,فرنانة,العاذر,0.0,0.0,26.0,8.9,Feuil1
2018,فرنانة,الجواودة,0.0,0.0,9.5,9.9,Feuil1
2018,فرنانة,حليمة,0.0,0.0,20.5,13.3,Feuil1
2018,فرنانة,سيدي عمار,0.0,0.0,0.0,9.2,Feuil1
2018,غار الدماء,المعدن,0.0,0.0,7.0,20.0,Feuil1
2018,غار الدماء,عين سلطان,0.0,1.5,30.0,20.0,Feuil1
2018,غار الدماء,وشتاتة,0.0,0.0,10.0,24.0,Feuil1
2018,غار الدماء,الصرية,0.0,5.0,7.0,18.0,Feuil1
2018,غار الدماء,فركصان,0.0,0.0,20.0,21.2,Feuil1
2018,غار الدماء,فج حسين,0.0,0.0,31.0,24.2,Feuil1
2018,طبرقة,الحمام,0.0,0.0,19.0,8.05,Feuil1
2018,طبرقة,الناظور,0.0,7.0,29.5,12.3,Feuil1
2018,طبرقة,عين السنوسي,0.0,0.0,11.5,5.2,Feuil1
2017,عين دراهم,الخمايرية,0.0,0.0,0.0,23.0,Feuil1
2017,عين دراهم,سلول,0.0,9.0,0.0,24.0,Feuil1
2017,عين دراهم,تاقمة,0.0,0.0,0.0,7.0,Feuil1
2017,عين دراهم,الحمران,10.0,11.5,0.0,11.9,Feuil1
2017,عين دراهم,عين سلام,0.0,0.0,0.0,9.6,Feuil1
2017,عين دراهم,وادي الزان,0.0,0.0,0.0,27.4,Feuil1
2017,عين دراهم,الرويعي,0.0,0.0,0.0,12.4,Feuil1
2017,فرنانة,وادي غريب,0.0,0.0,0.0,11.0,Feuil1
2017,فرنانة,ربيعة,0.0,0.0,0.0,1.3,Feuil1
2017,فرنانة,اولاد مفدة,0.0,0.0,0.0,10.05,Feuil1
2017,فرنانة,قلوب الثيران الجنوبية,5.75,13.0,0.0,26.0,Feuil1
2017,فرنانة,قلوب الثيران الشمالية,0.0,,0.0,14.5,Feuil1
2017,فرنانة,هذيل,0.0,,0.0,13.7,Feuil1
2017,فرنانة,العاذر,0.0,11.25,0.0,7.0,Feuil1
2017,فرنانة,الجواودة,0.0,,0.0,7.5,Feuil1
2017,فرنانة,حليمة,0.0,9.25,0.0,16.05,Feuil1
2017,فرنانة,سيدي عمار,0.0,0.0,0.0,2.0,Feuil1
2017,غار الدماء,المعدن,0.0,0.0,0.0,11.5,Feuil1
2017,غار الدماء,عين سلطان,0.0,0.0,0.0,17.2,Feuil1
2017,غار الدماء,وشتاتة,0.0,0.0,0.0,15.0,Feuil1
2017,غار الدماء,الصرية,0.0,0.0,0.0,16.0,Feuil1
2017,غار الدماء,فركصان,0.0,0.0,0.0,15.0,Feuil1
2017,غار الدماء,فج حسين,0.0,0.0,0.0,17.0,Feuil1
2017,طبرقة,الحمام,0.0,0.0,0.0,19.5,Feuil1
2017,طبرقة,الناظور,0.0,0.0,0.0,8.0,Feuil1
2017,طبرقة,عين السنوسي,0.0,15.5,0.0,1.8,Feuil1
