delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,amenagement_des_petits_perimetres_irrigues_montagneux_ha,feuille
سجنان,المعالية,9,0,0,445,0,Feuil1
سجنان,سجنان,6,0,0,79,0,Feuil1
سجنان,المشارقة,5,7,0,630,0,Feuil1
سجنان,العبابسة,1,1,1,729,0,Feuil1
سجنان,السحابنة,17,2,0,29,0,Feuil1
سجنان,امادن,2,0,0,181,0,Feuil1
سجنان,سيدي مشرق,1,12,1,44,0,Feuil1
سجنان,الحشاشنة,2,0,0,123,0,Feuil1
غزالة,اولاد المي,5,3,2,182,0,Feuil1
غزالة,العرب,20,5,4,470,0,Feuil1
جومين,الطواجنية,5,0,3,488,1,Feuil1
جومين,بازينة,5,0,0,314,0,Feuil1
جومين,اولاد غانم,12,0,0,305,0,Feuil1
جومين,الشنانة,4,0,0,593,0,Feuil1
جومين,رواحة,4,0,1,406,0,Feuil1
