delegation,secteur,nom_du_gdap,date_de_la_constitution_du_gdap,zone_d_intervention,superficie_d_intervention_ha,date_du_dernier_conseil_d_entreprise,nombre_des_adherents,nature_d_intervention_du_gdap,feuille
الكريب,حمام بياضة الجنوبية,فج الهدوم,2017-10-23,حمام بياضة الجنوبية,8442,2017-10-23 00:00:00,16,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
الكريب,الكريب الشمالية,وادي اللوز,2007-03-13,الكريب الشمالي,4671,2015-09-29 00:00:00,29,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
الكريب,برج مسعودي الشرقية,الانطلاقة,2008-06-03,برج مسعودي الشرقية,7044,2015-09-18 00:00:00,38,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
الكريب,برج مسعودي الغربية,برج مسعودي الغربية,2006-09-16,برج مسعودي الغربية,6412,2018-02-22 00:00:00,85,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
الكريب,الكريب الجنوبية,نور,2017-11-01,الكريب,6740,مارس 2018,50,تقطير الزيوت العطرية  و الطبية مصبرات القرعيات,Feuil1
الكريب,الكريب الجنوبية,بوكحيل,2012-08-08,الكريب الجنوبي,6740,2015-09-22 00:00:00,59,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
سيدي بورويس,العباسي,اولاد سليط,2007-06-09,العباسي,5703,2017-11-23 00:00:00,50,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
سيدي بورويس,عين عاشور,دار مهنية للاصالة,2017-11-16,عين عاشور,6996,2018-01-06 00:00:00,330,تثمين مشتقات الزياتين      تقطير الزيوت العطرية و الطبية,Feuil1
سيدي بورويس,التريشة,التريشة,2006-03-01,التريشة,3853,2018-08-03 00:00:00,90,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
سيدي بورويس,عين عاشور,عين عاشور,2007-06-19,عين عاشور,6996,ماي 2009,280,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
سليانة الشمالية,الجوى,المحيبس,2007-03-18,الجوري و منطقة ورفلة من عمادة جامة,6656,2017-01-20 00:00:00,100,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
سليانة الشمالية,جامة,عين بن علي,2016-06-29,عين بن علي من عمادة جامة,11406,2018-04-10 00:00:00,14,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,Feuil1
