delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,amenagement_des_petits_perimetres_irrigues_montagneux_ha,feuille
عين دراهم,الخمايرية,5.0,5.0,1,286.0,,Feuil1
عين دراهم,سلول,2.0,3.0,,159.0,,Feuil1
عين دراهم,تاقمة,2.0,,,121.0,,Feuil1
عين دراهم,الحمران,1.0,6.0,1,,,Feuil1
عين دراهم,عين سلام,,3.0,,,,Feuil1
عين دراهم,وادي الزان,,9.0,,,,Feuil1
عين دراهم,الرويعي,,,,229.0,,Feuil1
فرنانة,وادي غريب,2.0,,,203.0,,Feuil1
فرنانة,ربيعة,4.0,,,154.0,,Feuil1
فرنانة,قلوب الثيران الجنوبية,1.0,,,295.0,,Feuil1
فرنانة,قلوب الثيران الشمالية,2.0,,1,40.0,,Feuil1
فرنانة,هذيل,5.0,,1,161.0,,Feuil1
فرنانة,العاذر,4.0,1.0,1,32.0,20.0,Feuil1
فرنانة,الجواودة,,2.0,1,,,Feuil1
فرنانة,حليمة,8.0,,2,232.0,,Feuil1
فرنانة,سيدي عمار,4.0,,,458.0,,Feuil1
غار الدماء,المعدن,2.0,9.0,1,398.0,,Feuil1
غار الدماء,عين سلطان,1.0,,,320.0,,Feuil1
غار الدماء,وشتاتة,,,,,10.0,Feuil1
غار الدماء,الصرية,,,2,137.0,,Feuil1
غار الدماء,فركصان,1.0,,,239.0,,Feuil1
غار الدماء,فج حسين,3.0,2.0,,,,Feuil1
طبرقة,الحمام,,5.0,,356.0,,Feuil1
طبرقة,الناظور,1.0,,,1029.0,108.0,Feuil1
طبرقة,عين السنوسي,6.0,4.0,2,715.0,,Feuil1
