الولاية,المعتمدية,عدد_مراكز_تجميع_الحليب,unnamed_3,feuille
أريانة,قلعة الأندلس,4,6.0,Feuil2
أريانة,سيدي ثابت,2,,Feuil2
بن عروس,مرناق,1,2.0,Feuil2
بن عروس,بومهل بساتين,1,,Feuil2
منوبة,البطان,1,5.0,Feuil2
منوبة,طبربة,1,,Feuil2
منوبة,وادي الليل,1,,Feuil2
منوبة,برج العامري,2,,Feuil2
نابل,بني خيار,1,19.0,Feuil2
نابل,قربة,1,,Feuil2
نابل,منزل تميم,3,,Feuil2
نابل,قليبية,1,,Feuil2
نابل,الهوارية,3,,Feuil2
نابل,سليمان,1,,Feuil2
نابل,منوزل بوزلفة,2,,Feuil2
نابل,قرمبالية,1,,Feuil2
نابل,بوعرقوب,1,,Feuil2
نابل,حمام الغزاز,1,,Feuil2
نابل,بني خلاد,1,,Feuil2
نابل,الميدة,2,,Feuil2
نابل,دار شعبان,1,,Feuil2
زغوان,الفحص,1,2.0,Feuil2
زغوان,الناظور,1,,Feuil2
بنزرت,بنزرت الجنزبية,3,27.0,Feuil2
بنزرت,راس الجبل,3,,Feuil2
بنزرت,الغزالة,2,,Feuil2
بنزرت,سجنان,3,,Feuil2
بنزرت,اوتيك,6,,Feuil2
بنزرت,ماطر,2,,Feuil2
بنزرت,جومين,3,,Feuil2
بنزرت,العالية,3,,Feuil2
بنزرت,غار الملح,2,,Feuil2
باجة,باجة الشمالية,4,27.0,Feuil2
باجة,باجة الجنوبية,12,,Feuil2
باجة,نفزة,3,,Feuil2
باجة,تستور,1,,Feuil2
باجة,تبرسق,2,,Feuil2
باجة,تيبار,2,,Feuil2
باجة,عمدون,3,,Feuil2
جندوبة,جندوبة,8,27.0,Feuil2
جندوبة,بوسالم,9,,Feuil2
جندوبة,غار الدماء,1,,Feuil2
جندوبة,طبرقة,1,,Feuil2
جندوبة,فرنانة,1,,Feuil2
جندوبة,جندوبة الشمالية,1,,Feuil2
جندوبة,واد مليز,1,,Feuil2
جندوبة,بلطة بو عوان,5,,Feuil2
الكاف,نبر,1,,Feuil2
الكاف,الدهماني,1,,Feuil2
الكاف,القصور,1,,Feuil2
الكاف,السرس,1,,Feuil2
سليانة,سليانة الشمالية,1,7.0,Feuil2
سليانة,سليانة الجنوبية,1,,Feuil2
سليانة,قعفور,1,,Feuil2
سليانة,الكريب,1,,Feuil2
سليانة,بورويس,1,,Feuil2
سليانة,مكثر,1,,Feuil2
سليانة,العروسة,1,,Feuil2
القيروان,القيروان الشمالية,2,8.0,Feuil2
القيروان,السبيخة,2,,Feuil2
القيروان,الوسلاتية,1,,Feuil2
القيروان,الشبيكة,1,,Feuil2
القيروان,حفوز,1,,Feuil2
القيروان,حاجب العيون,1,,Feuil2
القصرين,القصرين الجنوبية,1,6.0,Feuil2
القصرين,القصرين الشمالية,1,,Feuil2
القصرين,سبيطلة,2,,Feuil2
القصرين,فريانة,1,,Feuil2
القصرين,ماجل بلعباس,1,,Feuil2
سيدي بوزيد,سيدي بوزيد الغربية,6,21.0,Feuil2
سيدي بوزيد,سيدي بوزيد الشرقية,6,,Feuil2
سيدي بوزيد,الهيشرية,1,,Feuil2
سيدي بوزيد,الرقاب,3,,Feuil2
سيدي بوزيد,بير الحفي,2,,Feuil2
سيدي بوزيد,بن عون,1,,Feuil2
سيدي بوزيد,السعيدة,1,,Feuil2
سيدي بوزيد,سوق الجديد,1,,Feuil2
سوسة,اكودة,1,4.0,Feuil2
سوسة,القلعة الكبرى,2,,Feuil2
سوسة,بوفيشة,1,,Feuil2
المنستير,جمال,1,10.0,Feuil2
المنستير,زرمدين,1,,Feuil2
المنستير,مكنين,4,,Feuil2
المنستير,طبلبة,2,,Feuil2
المنستير,البقالطة,1,,Feuil2
المنستير,بنبلة,1,,Feuil2
المهدية,المهدية,2,25.0,Feuil2
المهدية,قصور الساف,2,,Feuil2
المهدية,الشابة,1,,Feuil2
المهدية,سيدي علوان,4,,Feuil2
المهدية,بومرداس,4,,Feuil2
المهدية,الجم,5,,Feuil2
المهدية,شربان,1,,Feuil2
المهدية,السواسي,2,,Feuil2
المهدية,أولاد شامخ,1,,Feuil2
المهدية,رجيش,1,,Feuil2
المهدية,ملولش,2,,Feuil2
صفاقس,صفاقس الجنوبية,1,15.0,Feuil2
صفاقس,جبنيانة,3,,Feuil2
صفاقس,الحنشة,1,,Feuil2
صفاقس,منزل شاكر,2,,Feuil2
صفاقس,بئر علي بن خليفة,2,,Feuil2
صفاقس,صفاقس الغربية,1,,Feuil2
صفاقس,ساقية الداير,1,,Feuil2
صفاقس,العامرة,4,,Feuil2
قفصة,قفصة الشمالية,2,7.0,Feuil2
قفصة,قفصة الجنوبية,2,,Feuil2
قفصة,زانوش,1,,Feuil2
قفصة,سيدي عيش,2,,Feuil2
قابس,قابس الشرقية,2,7.0,Feuil2
قابس,قابس الغربية,1,,Feuil2
قابس,الحامة,1,,Feuil2
قابس,قابس الجنوبية,3,,Feuil2
تطاوين,الصمار,1,1.0,Feuil2
,المجموع,230,,Feuil2
