campagne_agticole,paille,feuille
2005-2006,1200000,Feuil1
2006-2007,1500000,Feuil1
2007-2008,1000000,Feuil1
2008-2009,1500000,Feuil1
2009-2010,800000,Feuil1
2010-2011,1400000,Feuil1
2011-2012,1300000,Feuil1
2012-2013,700000,Feuil1
2013-2014,1400000,Feuil1
2014-2015,1000000,Feuil1
2015-2016,1090000,Feuil1
2016-2017,1000000,Feuil1
2017-2018,1128000,Feuil1
2018-2019,1920000,Feuil1
2019-2020,1224000,Feuil1
2020-2021,1315000,Feuil1
2021-2022,1436000,Feuil1
2022-2023,432000,Feuil1
2023-2024,1441000,Feuil1
2024-2025,1586000,Feuil1
