annee,regions,aliment_vache_laitiere,aliment_engraissement_bovin,aliment_ovin,feuille
2003,nord,310,300,260,Feuil1
2003,centre-et-sud,320,280,240,Feuil1
2004,nord,310,295,270,Feuil1
2004,centre-et-sud,320,240,240,Feuil1
2005,nord,310,305,280,Feuil1
2005,centre-et-sud,335,245,250,Feuil1
2006,nord,315,310,280,Feuil1
2006,centre-et-sud,345,245,250,Feuil1
2007,nord,350,345,310,Feuil1
2007,centre-et-sud,385,285,280,Feuil1
2008,nord,465,405,375,Feuil1
2008,centre-et-sud,495,420,345,Feuil1
2009,nord,475,465,445,Feuil1
2009,centre-et-sud,490,440,415,Feuil1
2010,nord,530,465,445,Feuil1
2010,centre-et-sud,540,445,430,Feuil1
2011,nord,560,475,445,Feuil1
2011,centre-et-sud,570,480,445,Feuil1
2012,nord,620,520,470,Feuil1
2012,centre-et-sud,610,510,462,Feuil1
2013,nord,670,570,350,Feuil1
2013,centre-et-sud,650,550,520,Feuil1
2014,nord,710,650,550,Feuil1
2014,centre-et-sud,690,620,530,Feuil1
2015,nord,718,670,580,Feuil1
2015,centre-et-sud,705,624,570,Feuil1
2016,nord,725,680,590,Feuil1
2016,centre-et-sud,715,624,575,Feuil1
2017,nord,740,685,605,Feuil1
2017,centre-et-sud,733,658,591,Feuil1
2018,nord,800,650,670,Feuil1
2018,centre-et-sud,765,695,660,Feuil1
2019,nord,932,867,700,Feuil1
2019,centre-et-sud,800,655,680,Feuil1
2020,nord,987,911,820,Feuil1
2020,centre-et-sud,855,775,756,Feuil1
2021,nord,1140,1080,900,Feuil1
2021,centre-et-sud,980,900,875,Feuil1
2022,nord,1330,1280,1100,Feuil1
2022,centre-et-sud,1045,935,980,Feuil1
2023,nord,1610,1530,1250,Feuil1
2023,centre-et-sud,1305,1180,1120,Feuil1
2024,nord,1500,1450,1200,Feuil1
2024,centre-et-sud,1245,1000,946,Feuil1
2025,nord,1400,1350,1300,Feuil1
2025,centre-et-sud,1240,1220,1000,Feuil1
2026,nord,1480,1440,1400,Feuil1
2026,centre-et-sud,1240,1220,1000,Feuil1
