annee,mois,nord,sahel,centre_et_sud,feuille
2008,janvier,2100.0,1900.0,1900.0,Feuil1
2008,fevrier,1800.0,1800.0,1700.0,Feuil1
2008,mars,2000.0,1800.0,1800.0,Feuil1
2008,avril,2000.0,1800.0,1700.0,Feuil1
2008,mai,1800.0,1700.0,1600.0,Feuil1
2008,juin,1800.0,1800.0,1600.0,Feuil1
2008,juillet,1800.0,2200.0,1600.0,Feuil1
2008,aout,1800.0,2100.0,1500.0,Feuil1
2008,septembre,2050.0,1800.0,1700.0,Feuil1
2008,octobre,2000.0,1600.0,1800.0,Feuil1
2008,novembre,1900.0,1500.0,1600.0,Feuil1
2008,decembre,1900.0,1500.0,1600.0,Feuil1
2009,janvier,1900.0,1700.0,1700.0,Feuil1
2009,fevrier,2000.0,1900.0,1700.0,Feuil1
2009,mars,2050.0,1950.0,1800.0,Feuil1
2009,avril,2100.0,2100.0,1800.0,Feuil1
2009,mai,2100.0,2100.0,1900.0,Feuil1
2009,juin,2000.0,2000.0,1900.0,Feuil1
2009,juillet,2000.0,2200.0,1900.0,Feuil1
2009,aout,2000.0,2200.0,2000.0,Feuil1
2009,septembre,2000.0,2200.0,2000.0,Feuil1
2009,octobre,2200.0,2400.0,2200.0,Feuil1
2009,novembre,2300.0,2400.0,2300.0,Feuil1
2009,decembre,2400.0,2400.0,2300.0,Feuil1
2010,janvier,2400.0,2400.0,2400.0,Feuil1
2010,fevrier,2400.0,2500.0,2400.0,Feuil1
2010,mars,2400.0,2400.0,2400.0,Feuil1
2010,avril,2400.0,2400.0,2400.0,Feuil1
2010,mai,2400.0,2400.0,2400.0,Feuil1
2010,juin,2300.0,2300.0,2300.0,Feuil1
2010,juillet,2400.0,2300.0,2200.0,Feuil1
2010,aout,2200.0,2400.0,2200.0,Feuil1
2010,septembre,2300.0,2500.0,2300.0,Feuil1
2010,octobre,2400.0,2600.0,2400.0,Feuil1
2010,novembre,2400.0,2600.0,2400.0,Feuil1
2010,decembre,2500.0,2600.0,2400.0,Feuil1
2011,janvier,2400.0,2400.0,2400.0,Feuil1
2011,fevrier,2400.0,2400.0,2400.0,Feuil1
2011,mars,2400.0,2400.0,2400.0,Feuil1
2011,avril,2400.0,2400.0,2400.0,Feuil1
2011,mai,2400.0,2400.0,2400.0,Feuil1
2011,juin,2400.0,2400.0,2200.0,Feuil1
2011,juillet,2500.0,2500.0,2200.0,Feuil1
2011,aout,2500.0,2500.0,2200.0,Feuil1
2011,septembre,2400.0,2500.0,2200.0,Feuil1
2011,octobre,2400.0,2600.0,2400.0,Feuil1
2011,novembre,2500.0,2600.0,2400.0,Feuil1
2011,decembre,2500.0,2600.0,2400.0,Feuil1
