race,holchtein,brune_des_alpes,tarentaise,feuille
2008,5581,4647,3939,Feuil1
2009,5522,4725,3455,Feuil1
2010,5883,5122,3718,Feuil1
2011,3451,4591,3570,Feuil1
2012,5223,4582,3365,Feuil1
2013,5481,4480,3440,Feuil1
2014,5677,5100,3648,Feuil1
2015,5750,5144,3686,Feuil1
2016,5718,5239,3720,Feuil1
2017,5632,5028,3801,Feuil1
2018,5683,5483,4127,Feuil1
2019,5443,5386,3855,Feuil1
2020,5075,5695,3737,Feuil1
2021,5106,5114,3624,Feuil1
2022,4669,5089,3918,Feuil1
2023,4506,4747,3499,Feuil1
2024,4987,4750,3666,Feuil1
