mois_2019,regions,maximum_dinar_la_balle,minimum_dinar_la_balle,feuille
janvier,nord,9.0,6.5,Feuil1
janvier,sahel,12.0,8.5,Feuil1
janvier,centre-et-sud,12.0,8.5,Feuil1
fevrier,nord,10.0,6.5,Feuil1
fevrier,sahel,12.5,10.0,Feuil1
fevrier,centre-et-sud,12.5,10.0,Feuil1
mars,nord,9.5,6.5,Feuil1
mars,sahel,12.0,10.0,Feuil1
mars,centre-et-sud,12.0,10.0,Feuil1
avril,nord,7.0,5.0,Feuil1
avril,sahel,11.0,7.0,Feuil1
avril,centre-et-sud,11.0,7.0,Feuil1
mai,nord,6.5,5.0,Feuil1
mai,sahel,10.5,7.0,Feuil1
mai,centre-et-sud,10.5,7.0,Feuil1
juin,nord,6.0,5.0,Feuil1
juin,sahel,10.0,8.0,Feuil1
juin,centre-et-sud,10.0,8.0,Feuil1
juillet,nord,6.5,5.0,Feuil1
juillet,sahel,11.5,8.0,Feuil1
juillet,centre-et-sud,11.5,8.0,Feuil1
aout,nord,7.5,5.0,Feuil1
aout,sahel,11.5,8.0,Feuil1
aout,centre-et-sud,11.5,8.0,Feuil1
septembre,nord,6.5,4.5,Feuil1
septembre,sahel,12.0,8.0,Feuil1
septembre,centre-et-sud,12.0,8.0,Feuil1
octobre,nord,8.0,6.0,Feuil1
octobre,sahel,12.0,9.0,Feuil1
octobre,centre-et-sud,12.0,9.0,Feuil1
novembre,nord,10.0,6.0,Feuil1
novembre,sahel,12.5,9.0,Feuil1
novembre,centre-et-sud,12.5,9.0,Feuil1
decembre,nord,10.0,6.5,Feuil1
decembre,sahel,12.0,10.5,Feuil1
decembre,centre-et-sud,12.0,10.5,Feuil1
,,,,Feuil1
mois-2020,regions,,,Feuil1
janvier,nord,10.0,6.5,Feuil1
janvier,sahel,12.0,9.0,Feuil1
janvier,centre-et-sud,12.0,9.0,Feuil1
fevrier,nord,10.5,7.0,Feuil1
mars,nord,11.0,9.0,Feuil1
mars,sahel,13.0,10.5,Feuil1
mars,centre-et-sud,13.0,10.5,Feuil1
avril,nord,10.0,9.0,Feuil1
avril,sahel,12.5,10.5,Feuil1
avril,centre-et-sud,12.5,10.5,Feuil1
mai,nord,10.0,9.0,Feuil1
mai,sahel,12.0,10.0,Feuil1
mai,centre-et-sud,12.0,10.0,Feuil1
juin,nord,10.5,8.0,Feuil1
juin,sahel,13.0,10.0,Feuil1
juin,centre-et-sud,13.0,10.0,Feuil1
juillet,nord,10.0,8.0,Feuil1
juillet,sahel,13.0,10.0,Feuil1
juillet,centre-et-sud,13.0,10.0,Feuil1
aout,nord,11.5,9.0,Feuil1
aout,sahel,13.5,11.0,Feuil1
aout,centre-et-sud,13.5,11.0,Feuil1
septembre,nord,12.0,9.0,Feuil1
septembre,sahel,14.0,10.0,Feuil1
septembre,centre-et-sud,14.0,10.0,Feuil1
octobre,nord,11.5,9.0,Feuil1
octobre,sahel,13.5,10.0,Feuil1
octobre,centre-et-sud,13.5,10.0,Feuil1
novembre,nord,11.0,9.0,Feuil1
novembre,sahel,14.0,12.0,Feuil1
novembre,centre-et-sud,14.0,12.0,Feuil1
decembre,nord,11.5,9.0,Feuil1
decembre,sahel,14.0,12.0,Feuil1
decembre,centre-et-sud,14.0,12.0,Feuil1
mois-2021,regions,,,Feuil1
janvier,nord,11.5,9.0,Feuil1
janvier,sahel,15.0,12.0,Feuil1
janvier,centre-et-sud,15.0,12.0,Feuil1
fevrier,nord,12.5,10.5,Feuil1
fevrier,sahel,16.0,12.0,Feuil1
fevrier,centre-et-sud,16.0,12.0,Feuil1
mars,nord,14.0,13.0,Feuil1
mars,sahel,18.5,14.0,Feuil1
mars,centre-et-sud,18.5,14.0,Feuil1
avril,nord,14.0,12.0,Feuil1
avril,sahel,20.0,17.0,Feuil1
avril,centre-et-sud,20.0,17.0,Feuil1
mai,nord,12.0,9.0,Feuil1
mai,sahel,14.0,11.0,Feuil1
mai,centre-et-sud,14.0,11.0,Feuil1
juin,nord,12.5,11.0,Feuil1
juin,sahel,14.5,12.5,Feuil1
juin,centre-et-sud,14.5,12.5,Feuil1
juillet,nord,13.0,11.0,Feuil1
juillet,sahel,15.5,12.5,Feuil1
juillet,centre-et-sud,15.5,12.5,Feuil1
aout,nord,13.5,11.0,Feuil1
aout,sahel,16.0,14.0,Feuil1
aout,centre-et-sud,16.0,14.0,Feuil1
septembre,nord,13.0,11.0,Feuil1
septembre,sahel,16.0,14.0,Feuil1
septembre,centre-et-sud,16.0,14.0,Feuil1
octobre,nord,13.5,10.0,Feuil1
octobre,sahel,17.0,14.0,Feuil1
octobre,centre-et-sud,17.0,14.0,Feuil1
novembre,nord,13.0,11.0,Feuil1
novembre,sahel,16.5,14.0,Feuil1
novembre,centre-et-sud,16.5,14.0,Feuil1
decembre,nord,14.0,11.0,Feuil1
decembre,sahel,18.0,14.0,Feuil1
decembre,centre-et-sud,18.0,14.0,Feuil1
mois-2022,regions,,,Feuil1
janvier,nord,13.5,11.0,Feuil1
janvier,sahel,18.5,14.0,Feuil1
janvier,centre-et-sud,18.5,14.0,Feuil1
fevrier,nord,14.0,11.0,Feuil1
fevrier,sahel,18.0,16.0,Feuil1
fevrier,centre-et-sud,18.0,16.0,Feuil1
mars,nord,13.5,11.5,Feuil1
mars,sahel,17.5,15.0,Feuil1
mars,centre-et-sud,17.5,15.0,Feuil1
avril,nord,10.5,8.0,Feuil1
avril,sahel,16.5,15.0,Feuil1
avril,centre-et-sud,16.5,15.0,Feuil1
mai,nord,10.0,7.0,Feuil1
mai,sahel,15.0,13.0,Feuil1
mai,centre-et-sud,15.0,13.0,Feuil1
juin,nord,10.0,9.0,Feuil1
juin,sahel,14.0,13.0,Feuil1
juin,centre-et-sud,14.0,13.0,Feuil1
juillet,nord,10.0,9.0,Feuil1
juillet,sahel,14.0,13.0,Feuil1
juillet,centre-et-sud,14.0,13.0,Feuil1
aout,nord,11.0,9.0,Feuil1
aout,sahel,16.0,13.0,Feuil1
aout,centre-et-sud,16.0,13.0,Feuil1
septembre,nord,12.5,8.0,Feuil1
septembre,sahel,16.0,13.0,Feuil1
septembre,centre-et-sud,16.0,13.0,Feuil1
octobre,nord,13.0,8.0,Feuil1
octobre,sahel,17.0,13.0,Feuil1
octobre,centre-et-sud,17.0,13.0,Feuil1
novembre,nord,13.0,9.0,Feuil1
decembre,nord,14.0,9.0,Feuil1
decembre,sahel,17.0,14.0,Feuil1
decembre,centre-et-sud,17.0,14.0,Feuil1
mois-2023,regions,,,Feuil1
janvier,nord,14.5,9.0,Feuil1
janvier,sahel,18.0,14.0,Feuil1
janvier,centre-et-sud,18.0,14.0,Feuil1
fevrier,nord,15.0,11.0,Feuil1
fevrier,sahel,20.0,16.0,Feuil1
fevrier,centre-et-sud,20.0,16.0,Feuil1
mars,nord,15.5,12.0,Feuil1
mars,sahel,20.5,16.0,Feuil1
mars,centre-et-sud,20.5,16.0,Feuil1
avril,nord,18.0,13.0,Feuil1
avril,sahel,23.0,18.0,Feuil1
avril,centre-et-sud,23.0,18.0,Feuil1
mai,nord,20.0,13.0,Feuil1
mai,sahel,25.0,19.0,Feuil1
mai,centre-et-sud,25.0,19.0,Feuil1
juin,nord,22.0,18.0,Feuil1
juin,sahel,25.0,20.0,Feuil1
juin,centre-et-sud,25.0,20.0,Feuil1
juillet,nord,23.0,18.0,Feuil1
juillet,sahel,26.0,20.0,Feuil1
juillet,centre-et-sud,26.0,20.0,Feuil1
aout,nord,24.0,20.0,Feuil1
aout,sahel,28.0,23.0,Feuil1
aout,centre-et-sud,28.0,23.0,Feuil1
septembre,nord,25.0,23.0,Feuil1
septembre,sahel,30.0,25.0,Feuil1
septembre,centre-et-sud,30.0,25.0,Feuil1
octobre,nord,26.0,17.0,Feuil1
octobre,sahel,32.0,24.0,Feuil1
octobre,centre-et-sud,32.0,24.0,Feuil1
novembre,nord,27.0,22.0,Feuil1
novembre,sahel,34.0,26.0,Feuil1
novembre,centre-et-sud,34.0,26.0,Feuil1
decembre,nord,25.0,23.0,Feuil1
decembre,sahel,35.0,28.0,Feuil1
decembre,centre-et-sud,35.0,28.0,Feuil1
mois-2024,regions,,,Feuil1
janvier,nord,25.0,23.0,Feuil1
janvier,sahel,33.0,25.0,Feuil1
janvier,centre-et-sud,33.0,25.0,Feuil1
fevrier,nord,18.5,12.0,Feuil1
fevrier,sahel,28.0,20.0,Feuil1
fevrier,centre-et-sud,28.0,20.0,Feuil1
mars,nord,15.0,14.0,Feuil1
mars,sahel,22.5,17.0,Feuil1
mars,centre-et-sud,22.5,17.0,Feuil1
avril,nord,14.0,12.5,Feuil1
avril,sahel,18.0,14.0,Feuil1
avril,centre-et-sud,18.0,14.0,Feuil1
mai,nord,14.0,12.0,Feuil1
mai,sahel,19.0,13.0,Feuil1
mai,centre-et-sud,19.0,13.0,Feuil1
juin,nord,15.0,12.0,Feuil1
juin,sahel,20.0,13.0,Feuil1
juin,centre-et-sud,20.0,13.0,Feuil1
juillet,nord,15.0,13.0,Feuil1
juillet,sahel,22.0,15.0,Feuil1
juillet,centre-et-sud,22.0,15.0,Feuil1
aout,nord,15.0,13.0,Feuil1
aout,sahel,21.0,16.0,Feuil1
aout,centre-et-sud,21.0,16.0,Feuil1
