annee,ble_dur_local_qx,ble_dur_imp_qx,ble_tendre_local_qx,ble_tendre_imp_qx,feuille
2007.0,4581324.75,4011759.48,1272206.99,9926416.73,vente_ blé_qx
2008.0,3725726.08,5670137.53,1421171.47,9716951.78,vente_ blé_qx
2009.0,5151700.75,4305194.42,1447157.04,9200800.53,vente_ blé_qx
2010.0,4600014.66,5203944.48,1206208.0,9278295.5,vente_ blé_qx
2011.0,6202656.91,4303907.58,1251893.96,9715430.78,vente_ blé_qx
2012.0,5372446.87,4800716.96,1771459.14,9366817.19,vente_ blé_qx
2013.0,6406090.96,3985868.65,940292.35,10357116.24,vente_ blé_qx
2014.0,6222777.14,4748864.67,1034573.6,10372882.37,vente_ blé_qx
2015.0,4913745.17,6332770.2,1170363.4,10555793.95,vente_ blé_qx
2016.0,4982050.5,7258584.27,566722.6,11029512.38,vente_ blé_qx
2017.0,5877601.7,5867951.07,559790.77,10977628.29,vente_ blé_qx
2018.0,5993512.6,6083820.81,583524.8,11311867.3,vente_ blé_qx
2019.0,7821000.0,4754000.0,736000.0,11393000.0,vente_ blé_qx
,3919000.0,4303000.0,180000.0,7634000.0,vente_ blé_qx
,6125536.59,4412791.850000001,321441.18,9281916.229999999,vente_ blé_qx
