annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
2007,851.93215,677.90739,540.01436,454.85951,478.56035,470.96741,445.48465,582.6275,650.84191,868.87018,630.45567,420.984,VENTE-ORGE
2008,268.38122999999996,252.8939,269.15185,339.63313999999997,367.28676,380.71950000000004,391.28016,457.60852,424.43463,453.99240000000003,390.65709999999996,233.26896,VENTE-ORGE
2009,195.62741,202.96828,204.78817,186.82609,189.18401,215.18479,158.3685,204.48561,276.42993,300.77657,252.95605,304.39758,VENTE-ORGE
2010,358.86593999999997,337.76907,378.79551,431.85513000000003,420.33614,364.21106999999995,416.56806,491.46398000000005,574.53447,583.2879800000001,496.55346,472.48479,VENTE-ORGE
2011,412.47285000000005,353.30585,254.67209,312.0969,280.40770000000003,341.9559,336.00476000000003,342.20038000000005,612.1946,512.79868,459.44721000000004,507.89197,VENTE-ORGE
2012,476.85644,483.55359999999996,352.21743000000004,305.70545,449.59767999999997,449.26078,336.23552,483.96384,512.07077,504.85395,552.61833,618.87757,VENTE-ORGE
2013,641.4701299999999,639.76531,643.39974,751.6911,756.36094,675.78043,675.79647,660.49378,717.16581,605.33741,615.93999,705.64696,VENTE-ORGE
2014,661.24267,497.54207,413.42420999999996,420.13694999999996,552.16533,467.83252000000005,414.92812999999995,549.00702,566.58628,551.2990199999999,575.09959,593.17315,VENTE-ORGE
2015,632.8965000000001,604.89348,518.34965,453.4701,517.50127,592.9014,592.12587,532.26905,515.18339,569.70163,606.9885,667.96244,VENTE-ORGE
2016,641.3924,647.9554,662.41432,610.49803,681.3,669.19952,662.34968,626.1084699999999,663.99899,632.3802400000001,615.79927,623.0627000000001,VENTE-ORGE
2017,595.44055,535.46,471.24098999999995,414.189,581.04309,509.76,615.6048,558.074,546.0,611.389,623.94,604.66,VENTE-ORGE
2018,644.2224,591.1650000000001,601.563,620.1039999999999,698.8919999999999,762.205,700.3,696.5,645.4780999999999,660.78574,649.0,687.0,VENTE-ORGE
2019,751.0,640.0,669.0,741.0,740.5,596.7,539.3,604.0,662.0,657.0,709.0,691.0,VENTE-ORGE
2020,747.8195800000001,813.6868,814.46567,834.0,812.0,815.0,773.0,609.0,829.0,837.0,,,VENTE-ORGE
