annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
2007,1647.52307,1550.4406399999998,1447.74375,1529.94273,1723.95466,1777.54401,2003.67989,2005.7860699999999,1560.22225,1460.47208,1525.96645,1558.43155,VENTE-BLE
2008,1839.23613,1551.48404,1542.87597,1800.49384,1871.84034,1756.53534,1883.8492699999997,1930.5052500000002,1436.9012,1649.46894,1598.9576299999999,1671.83791,VENTE-BLE
2009,1647.83926,1496.48451,1605.5430999999999,1785.2595700000002,1814.02945,1766.12627,2245.3025,1901.71353,1373.5788499999999,1517.44164,1317.0705,1649.72716,VENTE-BLE
2010,1673.18097,1459.49217,1625.45048,1690.62833,1627.51939,1856.2676099999999,1990.16957,1865.80699,1563.89249,1682.71908,1453.34284,1799.99262,VENTE-BLE
2011,,,,,,,,,,,,,VENTE-BLE
2012,1707.12176,1764.64887,1837.33456,1663.95435,1946.72586,2015.8462399999999,1790.83642,1492.33473,1771.3227700000002,1676.46496,1894.50201,1750.34683,VENTE-BLE
2013,1892.19645,1745.80855,1724.1458400000001,1697.80202,1911.54354,1999.04302,1851.4892800000002,1714.0004,1781.74442,1646.28362,1800.7644999999998,1924.55602,VENTE-BLE
2014,1835.40911,1850.77248,1846.35743,2037.72412,1768.05188,1746.12196,1660.8485799999999,2070.49925,1912.70914,1862.72512,1871.3491400000003,1918.52957,VENTE-BLE
2015,1989.27919,1767.8072200000001,1845.18802,2023.7791200000001,1964.6818600000001,1957.09103,1749.78033,1984.9463500000002,1832.37516,2125.87287,1775.03735,1956.83943,VENTE-BLE
2016,1918.64132,2083.07415,2023.2638700000002,2072.76548,1981.5557599999997,1962.58277,1801.44317,2141.4204099999997,1917.70575,2060.3661,1933.28313,1940.7682399999999,VENTE-BLE
2017,2074.42958,1965.73718,2111.30998,1882.5045300000002,2011.09949,1652.95967,1760.6156,2150.0328,1840.1999999999998,1905.35,1959.352,1969.154,VENTE-BLE
2018,2040.8990000000001,1926.3249999999998,1999.214,2154.839,1999.887,1879.683,2177.812,1979.1680000000001,1882.9587700000002,1939.93327,1794.0,2198.0,VENTE-BLE
2019,2253.6939999999995,2000.11956,1897.3588,2413.89769,1747.2559,2120.66046,2566.2895799999997,2216.0,1714.0,1871.0,1942.0,1959.0,VENTE-BLE
2020,1943.5232799999999,1923.8594899999998,2145.98595,2154.56767,2119.23025,1993.0,1880.0,1876.0,1999.0,2043.0,2051.0,2051.0,VENTE-BLE
