annee,mois,prix_moyen,feuille
2007,جانفي,267.98933512871963,Prix -Moyen-cereale
2007,فيفري,281.0895387468876,Prix -Moyen-cereale
2007,مارس,275.9725560631694,Prix -Moyen-cereale
2007,افريل,0.0,Prix -Moyen-cereale
2007,ماي,265.00000000000006,Prix -Moyen-cereale
2007,جوان,265.00000000000006,Prix -Moyen-cereale
2007,جويلية,265.0,Prix -Moyen-cereale
2007,اوت,265.0,Prix -Moyen-cereale
2007,سبتمبر,0.0,Prix -Moyen-cereale
2007,اكتوبر,0.0,Prix -Moyen-cereale
2007,نوفمبر,0.0,Prix -Moyen-cereale
2007,ديسمبر,729.0236664706715,Prix -Moyen-cereale
2008,جانفي,698.2556303308387,Prix -Moyen-cereale
2008,فيفري,677.9328294907839,Prix -Moyen-cereale
2008,مارس,0.0,Prix -Moyen-cereale
2008,افريل,0.0,Prix -Moyen-cereale
2008,ماي,859.5194293648112,Prix -Moyen-cereale
2008,جوان,856.69,Prix -Moyen-cereale
2008,جويلية,569.4608412802495,Prix -Moyen-cereale
2008,اوت,584.18023242747,Prix -Moyen-cereale
2008,سبتمبر,559.7959846894635,Prix -Moyen-cereale
2008,اكتوبر,554.4190931619362,Prix -Moyen-cereale
2008,نوفمبر,504.87343594380104,Prix -Moyen-cereale
2008,ديسمبر,489.33835428673405,Prix -Moyen-cereale
2009,جانفي,458.61,Prix -Moyen-cereale
2009,فيفري,0.0,Prix -Moyen-cereale
2009,مارس,277.49,Prix -Moyen-cereale
2009,افريل,0.0,Prix -Moyen-cereale
2009,ماي,348.980130885369,Prix -Moyen-cereale
2009,جوان,0.0,Prix -Moyen-cereale
2009,جويلية,0.0,Prix -Moyen-cereale
2009,اوت,0.0,Prix -Moyen-cereale
2009,سبتمبر,0.0,Prix -Moyen-cereale
2009,اكتوبر,0.0,Prix -Moyen-cereale
2009,نوفمبر,287.4616795667803,Prix -Moyen-cereale
2009,ديسمبر,0.0,Prix -Moyen-cereale
2010,جانفي,271.64,Prix -Moyen-cereale
2010,فيفري,271.64,Prix -Moyen-cereale
2010,مارس,315.69,Prix -Moyen-cereale
2010,افريل,267.5367394004304,Prix -Moyen-cereale
2010,ماي,248.20360610173876,Prix -Moyen-cereale
2010,جوان,242.69,Prix -Moyen-cereale
2010,جويلية,0.0,Prix -Moyen-cereale
2010,اوت,0.0,Prix -Moyen-cereale
2010,سبتمبر,334.38825380115566,Prix -Moyen-cereale
2010,اكتوبر,332.0731550491847,Prix -Moyen-cereale
2010,نوفمبر,339.86780727224897,Prix -Moyen-cereale
2010,ديسمبر,341.6759020143601,Prix -Moyen-cereale
2011,جانفي,335.24829216863515,Prix -Moyen-cereale
2011,فيفري,331.15490100212503,Prix -Moyen-cereale
2011,مارس,489.89,Prix -Moyen-cereale
2011,افريل,489.89,Prix -Moyen-cereale
2011,ماي,394.0,Prix -Moyen-cereale
2011,جوان,0.0,Prix -Moyen-cereale
2011,جويلية,0.0,Prix -Moyen-cereale
2011,اوت,0.0,Prix -Moyen-cereale
2011,سبتمبر,0.0,Prix -Moyen-cereale
2011,اكتوبر,0.0,Prix -Moyen-cereale
2011,نوفمبر,455.1501531480431,Prix -Moyen-cereale
2011,ديسمبر,434.34624474936993,Prix -Moyen-cereale
2012,جانفي,408.3010455863505,Prix -Moyen-cereale
2012,فيفري,385.6321238559283,Prix -Moyen-cereale
2012,مارس,390.45265856462714,Prix -Moyen-cereale
2012,افريل,388.0,Prix -Moyen-cereale
2012,ماي,392.39038452028643,Prix -Moyen-cereale
2012,جوان,0.0,Prix -Moyen-cereale
2012,جويلية,0.0,Prix -Moyen-cereale
2012,اوت,0.0,Prix -Moyen-cereale
2012,سبتمبر,0.0,Prix -Moyen-cereale
2012,اكتوبر,413.9,Prix -Moyen-cereale
2012,نوفمبر,413.90000000000003,Prix -Moyen-cereale
2012,ديسمبر,400.9601675230044,Prix -Moyen-cereale
2013,جانفي,407.55882174174013,Prix -Moyen-cereale
2013,فيفري,412.5147815678721,Prix -Moyen-cereale
2013,مارس,397.1105225830493,Prix -Moyen-cereale
2013,افريل,399.24,Prix -Moyen-cereale
2013,ماي,390.56,Prix -Moyen-cereale
2013,جوان,384.00000000000006,Prix -Moyen-cereale
2013,جويلية,0.0,Prix -Moyen-cereale
2013,اوت,0.0,Prix -Moyen-cereale
2013,سبتمبر,0.0,Prix -Moyen-cereale
2013,اكتوبر,0.0,Prix -Moyen-cereale
2013,نوفمبر,0.0,Prix -Moyen-cereale
2013,ديسمبر,0.0,Prix -Moyen-cereale
2014,جانفي,393.2943944833986,Prix -Moyen-cereale
2014,فيفري,415.0858270285465,Prix -Moyen-cereale
2014,مارس,417.15152119134115,Prix -Moyen-cereale
2014,افريل,399.1165100736339,Prix -Moyen-cereale
2014,ماي,425.8789299139424,Prix -Moyen-cereale
2014,جوان,435.49,Prix -Moyen-cereale
2014,جويلية,0.0,Prix -Moyen-cereale
2014,اوت,0.0,Prix -Moyen-cereale
2014,سبتمبر,0.0,Prix -Moyen-cereale
2014,اكتوبر,0.0,Prix -Moyen-cereale
2014,نوفمبر,438.02,Prix -Moyen-cereale
2014,ديسمبر,487.156285590655,Prix -Moyen-cereale
2015,جانفي,524.0,Prix -Moyen-cereale
2015,فيفري,510.99476717061543,Prix -Moyen-cereale
2015,مارس,565.3175658289905,Prix -Moyen-cereale
2015,افريل,502.6795388671156,Prix -Moyen-cereale
2015,ماي,563.6666666666666,Prix -Moyen-cereale
2015,جوان,0.0,Prix -Moyen-cereale
2015,جويلية,0.0,Prix -Moyen-cereale
2015,اوت,372.76755671373553,Prix -Moyen-cereale
2015,سبتمبر,369.5,Prix -Moyen-cereale
2015,اكتوبر,331.8023993414485,Prix -Moyen-cereale
2015,نوفمبر,346.72972314606926,Prix -Moyen-cereale
2015,ديسمبر,344.1832246598233,Prix -Moyen-cereale
2016,جانفي,325.99,Prix -Moyen-cereale
