annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
2007,227.41112680057793,228.02945981614533,215.98000000000002,215.98,224.20388252512652,241.6247853348212,248.88999999999996,274.54302194914203,300.56054158377304,337.9257521769618,369.3187140560203,391.43704974094027,سعر شراء القمح اللين دولار للطن
2008,433.1788667487425,405.6198409001364,413.89,493.0091936928087,527.1352771550268,449.9935162106461,398.49000000000007,363.96806950824976,343.1191389952497,339.2275458575681,313.02235268860977,287.89281382014843,سعر شراء القمح اللين دولار للطن
2009,280.0,280.0,240.68999999999997,208.85735086871287,194.23885535900104,206.34965206743615,209.63999999999996,196.17516007741165,206.34545873637634,207.54715372907154,199.35509767283025,204.7468975107648,سعر شراء القمح اللين دولار للطن
2010,180.30066021363797,195.004393208271,184.636833195978,184.30171785606433,195.45151581820468,191.51201408249756,189.6351070504513,191.84517503197353,248.04869638260095,249.94178466145254,312.1296323077463,326.39761690799094,سعر شراء القمح اللين دولار للطن
2011,318.47,330.0440436900037,364.8944195423606,378.71566898301734,374.77658807906164,352.3105,361.8508619346302,303.3644751550021,275.13195783799677,273.92137796909554,286.65182268841636,269.8116837030974,سعر شراء القمح اللين دولار للطن
2012,265.0,264.74,269.56675324675325,310.2996479783141,290.1429268123488,287.5971149422437,278.6558479781417,291.2591788240406,312.59321334660723,337.16708069064765,338.2381814512205,358.5429229236799,سعر شراء القمح اللين دولار للطن
2013,365.42848196266857,364.3675326487801,356.6081460189785,348.2257321743776,669.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,سعر شراء القمح اللين دولار للطن
2014,319.7834230374961,316.27707312119963,303.2225007663344,303.1775518193945,312.8828008275554,0.0,270.8503497225777,258.34076763044766,262.2646507889486,256.1864644981417,259.9919034144791,245.37606675573096,سعر شراء القمح اللين دولار للطن
2015,254.84513698630138,273.2214839997234,255.14791774621037,235.3244078252459,219.85284720140075,201.94,195.45084337349397,196.54116549697656,209.69023934859877,209.20497351383167,200.9596720281376,200.75115999016617,سعر شراء القمح اللين دولار للطن
2016,200.57387322125473,203.77715060048243,197.62466440612837,189.2885648172778,182.36744030170706,179.78643055269472,175.94351232937547,179.6483944932452,178.40870967741935,178.6982804741725,178.53332555522493,183.98156282528686,سعر شراء القمح اللين دولار للطن
2017,191.1353825981414,194.03694693660094,191.0567058181818,195.74568231019924,201.6661854725452,201.12619803900097,188.43062395145344,180.37773458376196,194.41280266038555,192.18386960597962,190.23527192816638,199.9507205413804,سعر شراء القمح اللين دولار للطن
2018,208.29999999999998,207.16333333333333,207.3025,215.23666666666665,226.55333333333337,230.23,219.86333333333334,214.006,201.47,238.425,233.2475,249.23,سعر شراء القمح اللين دولار للطن
2019,250.32,255.99,255.67,249.84,240.22,224.79,215.56,201.98,216.22,212.67,215.188,226.18,سعر شراء القمح اللين دولار للطن
2020,226.85961338123036,237.69811341271875,241.9130091498682,230.51100575094338,230.83542546230584,,219.3354518813314,212.2117077958985,214.34016181401427,221.0880260313488,253.31547486612712,273.6171806571606,سعر شراء القمح اللين دولار للطن
2021,275.8067861931464,280.2162594606184,308.5619937210155,317.49845207291685,293.6638738738739,299.6350127877238,276.63449780991016,288.0393237313433,303.026375,343.34697303247117,355.91162677984676,374.13871794871795,سعر شراء القمح اللين دولار للطن
2022,381.76758241758245,375.0665321597369,411.1888981283422,432.3876541153444,452.9973251929387,442.68,449.6750984716944,439.2455402746871,413.903379452762,371.48976215976523,498.1675271357897,395.967711704473,سعر شراء القمح اللين دولار للطن
