types,ble_dur_local,ble_dur_import,ble_tendre_local,ble_tendre_import,orge_local,orge_import,feuille
janvier,646.0,322.0,42.0,933.0,284.0,464.0,Feuil1
fevrier,735.0,262.0,2.0,925.0,65.0,749.0,Feuil1
mars,332.0,766.0,0.0,1049.0,9.0,805.0,Feuil1
avril,427.0,730.0,1.0,997.0,2.0,832.0,Feuil1
mai,183.0,938.0,0.0,999.0,0.0,812.0,Feuil1
juin,404.0,651.0,28.0,910.0,0.0,815.0,Feuil1
juillet,789.0,147.0,95.0,849.0,209.0,564.0,Feuil1
aout,404.0,486.0,13.0,973.0,163.0,446.0,Feuil1
septembre,671.0,382.0,5.0,941.0,84.0,745.0,Feuil1
octobre,768.0,284.0,74.0,917.0,38.0,799.0,Feuil1
novembre,,,,,,,Feuil1
decembre,,,,,,,Feuil1
