types,ble_dur_local,ble_dur_import,ble_tendre_local,ble_tendre_import,orge_local,orge_import,feuille
janvier,314.068,698.061,23.67,1005.1,0.4322,643.7902,Feuil1
fevrier,448.9,545.3,59.5,872.625,1.96,589.205,Feuil1
mars,329.3,666.5,41.306,962.108,3.763,597.8,Feuil1
avril,345.238,694.945,5.313,1109.343,34.304,585.8,Feuil1
mai,105.156,975.111,0.7,918.92,24.592,674.3,Feuil1
juin,547.024,400.737,38.501,893.421,77.00200000000004,685.203,Feuil1
juillet,814.553,323.468,112.6,927.191,269.8,430.5,Feuil1
aout,799.065,171.115,87.756,921.232,312.7,383.8,Feuil1
septembre,680.0503,233.59638,62.4394,906.87269,100.1057,545.3724,Feuil1
octobre,540.8452,413.365,66.4172,919.30587,48.751,612.03474,Feuil1
novembre,460.0,424.622,58.612,850.497,24.750999999999998,624.415,Feuil1
decembre,609.279,537.063,26.772,1025.255,9.34,677.802,Feuil1
