annee,mois,type_produit,quantite,feuille
2022,janvier,ble-dur local,609.0,Feuil1
2022,janvier,ble-dur importé,409.0,Feuil1
2022,janvier,ble-tendre local,1.0,Feuil1
2022,janvier,ble-tendre importé,1005.0,Feuil1
2022,janvier,orge local,4.6224,Feuil1
2022,janvier,orge importé,747.424,Feuil1
2022,fevrier,ble-dur local,450.0,Feuil1
2022,fevrier,ble-dur importé,569.0,Feuil1
2022,fevrier,ble-tendre local,0.1056,Feuil1
2022,fevrier,ble-tendre importé,1003.0,Feuil1
2022,fevrier,orge local,0.0,Feuil1
2022,fevrier,orge importé,699.635,Feuil1
2022,mars,ble-dur local,77.0,Feuil1
2022,mars,ble-dur importé,1015.0,Feuil1
2022,mars,ble-tendre local,1.0,Feuil1
2022,mars,ble-tendre importé,1071.0,Feuil1
2022,mars,orge local,0.0,Feuil1
2022,mars,orge importé,800.603,Feuil1
2022,avril,ble-dur local,27.0,Feuil1
2022,avril,ble-dur importé,975.0,Feuil1
2022,avril,ble-tendre local,0.0,Feuil1
2022,avril,ble-tendre importé,980.0,Feuil1
2022,avril,orge local,0.0,Feuil1
2022,avril,orge importé,752.0,Feuil1
2022,mai,ble-dur local,16.0,Feuil1
2022,mai,ble-dur importé,945.0,Feuil1
2022,mai,ble-tendre local,0.0,Feuil1
2022,mai,ble-tendre importé,1004.0,Feuil1
2022,mai,orge local,0.0,Feuil1
2022,mai,orge importé,778.359,Feuil1
2022,juin,ble-dur local,748.0,Feuil1
2022,juin,ble-dur importé,312.0,Feuil1
2022,juin,ble-tendre local,54.0,Feuil1
2022,juin,ble-tendre importé,913.0,Feuil1
2022,juin,orge local,5.0556,Feuil1
2022,juin,orge importé,622.385,Feuil1
2022,juillet,ble-dur local,777.0,Feuil1
2022,juillet,ble-dur importé,238.0,Feuil1
2022,juillet,ble-tendre local,231.0,Feuil1
2022,juillet,ble-tendre importé,762.0,Feuil1
2022,juillet,orge local,124.24,Feuil1
2022,juillet,orge importé,470.572,Feuil1
2022,aout,ble-dur local,907.0,Feuil1
2022,aout,ble-dur importé,106.0,Feuil1
2022,aout,ble-tendre local,28.0,Feuil1
2022,aout,ble-tendre importé,973.0,Feuil1
2022,aout,orge local,59.776,Feuil1
2022,aout,orge importé,649.583,Feuil1
2022,septembre,ble-dur local,1016.0,Feuil1
2022,septembre,ble-dur importé,1.0,Feuil1
2022,septembre,ble-tendre local,15.0,Feuil1
2022,septembre,ble-tendre importé,987.0,Feuil1
2022,septembre,orge local,51.777,Feuil1
2022,septembre,orge importé,669.619,Feuil1
2022,octobre,ble-dur local,977.657,Feuil1
2022,octobre,ble-dur importé,39.055,Feuil1
2022,octobre,ble-tendre local,4.008,Feuil1
2022,octobre,ble-tendre importé,1001.722,Feuil1
2022,octobre,orge local,2.865,Feuil1
2022,octobre,orge importé,687.837,Feuil1
2022,novembre,ble-dur local,896.124,Feuil1
2022,novembre,ble-dur importé,117.615,Feuil1
2022,novembre,ble-tendre local,1.577,Feuil1
2022,novembre,ble-tendre importé,1001.712,Feuil1
2022,novembre,orge local,1.0,Feuil1
2022,novembre,orge importé,522.47,Feuil1
2022,decembre,ble-dur local,436.474,Feuil1
2022,decembre,ble-dur importé,557.65,Feuil1
2022,decembre,ble-tendre local,0.674,Feuil1
2022,decembre,ble-tendre importé,1001.659,Feuil1
2022,decembre,orge local,1.0,Feuil1
2022,decembre,orge importé,625.966,Feuil1
2023,janvier,ble-dur local,568.1002,Feuil1
2023,janvier,ble-dur importé,367.82999,Feuil1
2023,janvier,ble-tendre local,0.0,Feuil1
2023,janvier,ble-tendre importé,1002.68097,Feuil1
2023,janvier,orge local,0.0,Feuil1
2023,janvier,orge importé,543.5957999999999,Feuil1
2023,fevrier,ble-dur local,42.283,Feuil1
2023,fevrier,ble-dur importé,977.513,Feuil1
2023,fevrier,ble-tendre local,0.0,Feuil1
2023,fevrier,ble-tendre importé,904.745,Feuil1
2023,fevrier,orge local,3.3962,Feuil1
2023,fevrier,orge importé,544.8493199999999,Feuil1
2023,mars,ble-dur local,0.0,Feuil1
2023,mars,ble-dur importé,706.89,Feuil1
2023,mars,ble-tendre local,0.0,Feuil1
2023,mars,ble-tendre importé,1003.82,Feuil1
2023,mars,orge local,0.0,Feuil1
2023,mars,orge importé,485.7693,Feuil1
2023,avril,ble-dur local,0.0,Feuil1
2023,avril,ble-dur importé,714.25347,Feuil1
2023,avril,ble-tendre local,0.0,Feuil1
2023,avril,ble-tendre importé,865.81547,Feuil1
2023,avril,orge local,0.0,Feuil1
2023,avril,orge importé,465.6766,Feuil1
2023,mai,ble-dur local,0.1412,Feuil1
2023,mai,ble-dur importé,765.029,Feuil1
2023,mai,ble-tendre local,0.3876,Feuil1
2023,mai,ble-tendre importé,1059.91156,Feuil1
2023,mai,orge local,5.158600000000001,Feuil1
2023,mai,orge importé,485.43973,Feuil1
2023,juin,ble-dur local,193.1299,Feuil1
2023,juin,ble-dur importé,724.2972900000001,Feuil1
2023,juin,ble-tendre local,1.3442,Feuil1
2023,juin,ble-tendre importé,1052.74711,Feuil1
2023,juin,orge local,5.0084,Feuil1
2023,juin,orge importé,382.78639,Feuil1
2023,juillet,ble-dur local,814.4544000000001,Feuil1
2023,juillet,ble-dur importé,253.46755,Feuil1
2023,juillet,ble-tendre local,47.102,Feuil1
2023,juillet,ble-tendre importé,1018.27032,Feuil1
2023,juillet,orge local,0.4616,Feuil1
2023,juillet,orge importé,326.72614999999996,Feuil1
2023,aout,ble-dur local,433.188,Feuil1
2023,aout,ble-dur importé,586.7437,Feuil1
2023,aout,ble-tendre local,6.5276000000000005,Feuil1
2023,aout,ble-tendre importé,995.39315,Feuil1
2023,aout,orge local,0.234,Feuil1
2023,aout,orge importé,460.67335,Feuil1
2023,septembre,ble-dur local,108.2804,Feuil1
2023,septembre,ble-dur importé,911.3408000000001,Feuil1
2023,septembre,ble-tendre local,1.303,Feuil1
2023,septembre,ble-tendre importé,1000.6110600000001,Feuil1
2023,septembre,orge local,4.5667,Feuil1
2023,septembre,orge importé,571.1905800000001,Feuil1
2023,octobre,ble-dur local,109.4508,Feuil1
2023,octobre,ble-dur importé,910.75418,Feuil1
2023,octobre,ble-tendre local,0.8472000000000001,Feuil1
2023,octobre,ble-tendre importé,1006.52853,Feuil1
2023,octobre,orge local,1.2362,Feuil1
2023,octobre,orge importé,530.58415,Feuil1
2023,novembre,ble-dur local,136.09414999999998,Feuil1
2023,novembre,ble-dur importé,883.7354,Feuil1
2023,novembre,ble-tendre local,0.8144,Feuil1
2023,novembre,ble-tendre importé,1004.13611,Feuil1
2023,novembre,orge local,0.1722,Feuil1
2023,novembre,orge importé,571.3626999999999,Feuil1
2023,decembre,ble-dur local,257.7844,Feuil1
2023,decembre,ble-dur importé,761.92296,Feuil1
2023,decembre,ble-tendre local,0.4002,Feuil1
2023,decembre,ble-tendre importé,983.22984,Feuil1
2023,decembre,orge local,0.0,Feuil1
2023,decembre,orge importé,529.0854,Feuil1
2024,janvier,ble-dur local,37.2578,Feuil1
2024,janvier,ble-dur importé,982.80787,Feuil1
2024,janvier,ble-tendre local,0.0,Feuil1
2024,janvier,ble-tendre importé,937.28748,Feuil1
2024,janvier,orge local,0.0,Feuil1
2024,janvier,orge importé,525.64825,Feuil1
2024,fevrier,ble-dur local,298.91040000000004,Feuil1
2024,fevrier,ble-dur importé,721.14723,Feuil1
2024,fevrier,ble-tendre local,0.021,Feuil1
2024,fevrier,ble-tendre importé,1093.09269,Feuil1
2024,fevrier,orge local,0.0,Feuil1
2024,fevrier,orge importé,551.4356,Feuil1
2024,mars,ble-dur local,116.62480000000001,Feuil1
2024,mars,ble-dur importé,896.3508,Feuil1
2024,mars,ble-tendre local,2.8746,Feuil1
2024,mars,ble-tendre importé,999.16731,Feuil1
2024,mars,orge local,0.0,Feuil1
2024,mars,orge importé,578.34006,Feuil1
2024,avril,ble-dur local,64.3892,Feuil1
2024,avril,ble-dur importé,926.5815699999999,Feuil1
2024,avril,ble-tendre local,0.0,Feuil1
2024,avril,ble-tendre importé,1005.80543,Feuil1
2024,avril,orge local,0.0,Feuil1
2024,avril,orge importé,534.2518,Feuil1
2024,mai,ble-dur local,174.1658,Feuil1
2024,mai,ble-dur importé,806.0675699999999,Feuil1
2024,mai,ble-tendre local,0.0688,Feuil1
2024,mai,ble-tendre importé,1005.0095600000001,Feuil1
