date,gouvernorat,prix_min,prix_max,feuille
2024-11-04,Kairouan,15.0,16.5,Prix HOEV
2024-11-04,Sfax,17.0,18.0,Prix HOEV
2024-11-04,Sidi Bouzid,16.0,17.0,Prix HOEV
2024-11-05,Kairouan,15.0,16.0,Prix HOEV
2024-11-05,Sfax,16.0,16.5,Prix HOEV
2024-11-05,Sidi Bouzid,15.0,16.0,Prix HOEV
2024-11-06,Kairouan,15.0,15.0,Prix HOEV
2024-11-06,Sfax,15.0,15.0,Prix HOEV
2024-11-06,Sidi Bouzid,15.0,15.0,Prix HOEV
2024-11-07,Kairouan,15.0,15.0,Prix HOEV
2024-11-07,Sfax,15.0,16.0,Prix HOEV
2024-11-07,Sidi Bouzid,15.0,16.0,Prix HOEV
2024-11-08,Kairouan,,,Prix HOEV
2024-11-08,Sfax,15.0,15.0,Prix HOEV
2024-11-08,Sidi Bouzid,15.0,15.0,Prix HOEV
2024-11-11,Kairouan,14.5,14.5,Prix HOEV
2024-11-11,Sfax,13.5,14.0,Prix HOEV
2024-11-11,Sidi Bouzid,13.0,14.0,Prix HOEV
2024-11-12,Kairouan,14.0,14.0,Prix HOEV
2024-11-12,Sfax,13.5,15.0,Prix HOEV
2024-11-12,Sidi Bouzid,13.5,15.0,Prix HOEV
2024-11-13,Kairouan,14.0,14.3,Prix HOEV
2024-11-13,Sfax,14.0,14.2,Prix HOEV
2024-11-13,Sidi Bouzid,14.0,14.0,Prix HOEV
2024-11-14,Kairouan,14.5,14.5,Prix HOEV
2024-11-14,Sfax,14.2,14.3,Prix HOEV
2024-11-14,Sidi Bouzid,13.0,14.0,Prix HOEV
2024-11-15,Kairouan,14.5,14.5,Prix HOEV
2024-11-15,Sfax,14.3,14.5,Prix HOEV
2024-11-15,Sidi Bouzid,13.0,14.0,Prix HOEV
2024-11-16,Kairouan,,,Prix HOEV
2024-11-16,Sfax,14.0,14.3,Prix HOEV
2024-11-16,Sidi Bouzid,13.0,14.0,Prix HOEV
2024-11-17,Kairouan,,,Prix HOEV
2024-11-17,Sfax,,,Prix HOEV
2024-11-17,Sidi Bouzid,,,Prix HOEV
2024-11-18,Kairouan,14.5,14.5,Prix HOEV
2024-11-18,Sfax,14.0,14.5,Prix HOEV
