annee,auteur_affil,isn,langue,m_coll_auteur,m_lieu_edition,m_titre_orig,projet_develop,resume,titre,source,feuille
2010.0,"Ben said, H",13051,(FR),ENMV,Sidi thabet,Effet d'un traitement à la melatonine sur les parametres de reproduction des antenaises.,,/THESE//MEDECINE VETERINAIRE//RACE NOIRE DE THIBAR//RACE SICILO SARDE//FERTILITE//REPRODUCTION ANIMALE//BREBIS/,Effet d'un traitement à la melatonine sur les parametres de reproduction des antenaises.,,Feuil1
1975.0,MARH,3661,(FR),MARH,Tunis,5. Plan de developpement 1977-1981. Rapport de la commission regionale de l'agriculture,,/Document technique/ concern. la presentation du /plan 1977-1981/ du /secteur agricole/ pour le /gouvernorat de Sousse/,5. Plan de developpement 1977-1981. Rapport de la commission regionale de l'agriculture,http://www.onagri.tn/uploads/docagri/3661h.PDF,Feuil1
1976.0,MARH,3664,(FR),MARH,Tunis,Plan quinquennal 1977-1981. Commission nationale sectorielle de l'assainissement 1. Retrospective 1973-1976,,,Plan quinquennal 1977-1981. Commission nationale sectorielle de l'assainissement 1. Retrospective 1973-1976,http://www.onagri.tn/uploads/docagri/3664h.PDF,Feuil1
1976.0,DEGTH,3666,(FR),DEGTH,Tunis,Plan quinquennal 1977-1981. Reconnaissances de sites de barrages,,"/Document technique/ concern. la reconnaissance de sites de /barrage/s situes au /Cap Bon/, a l'extreme nord et dans la vallee de la /Siliana/ dans le cadre du /plan 1977-1981/ - Données sur le programme des etudes d'avant projets de barrages sur l/oued El Abid/, /oued Abida/, /oued El Oudiane/, /oued Zarga/, /oued Kebir/ et /oued Siliana/. Programme des etudes des /lac/s collinaires. Estimation du /prix de revient/ de chaque etude",Plan quinquennal 1977-1981. Reconnaissances de sites de barrages,http://www.onagri.tn/uploads/docagri/3666h.PDF,Feuil1
1976.0,DRE,1971,(FR),DRE,TUNIS,"/Article/ concern. l/entretien des plantations/ et l/amendement du sol/ dans les /périmètre d'irrigation/ du /Nebhana/ - Avantages et désavantages du /travail du sol/, du /désherbage chimique/, du mulching et de l/engrais vert/ dans les entrelignes du /verger/",,,"/Article/ concern. l/entretien des plantations/ et l/amendement du sol/ dans les /périmètre d'irrigation/ du /Nebhana/ - Avantages et désavantages du /travail du sol/, du /désherbage chimique/, du mulching et de l/engrais vert/ dans les entrelignes du /verger/",http://www.onagri.tn/uploads/docagri/1971N.PDF,Feuil1
2002.0,REGIE EXPLOITATION FORET,10895,(AR),REGIE EXPLOITATION FORET,Tunis,[Rapport annuel 2001],,/Rapport d'activité/ de la régie d'/exploitation de la forêt/  - Données concern. la /production/ et la /commercialisation/ du /liège/ du /bois/ et autres /produits de la foret/\n,[Rapport annuel 2001],http://www.onagri.tn/uploads/docagri/10895.pdf,Feuil1
2003.0,,11475,(AR),REGIE EXPLOITATION FORET,Tunis,[Rapport annuel 2002],,/Rapport d'activité/ de la régie d'/exploitation de la forêt/  - Données concern. la /production/ et la /commercialisation/ du /liège/ du /bois/ et autres /produits de la foret/\n,[Rapport annuel 2002],,Feuil1
2002.0,INAT,12980,(FR),INAT,Tunis,Agronomic evaluation and morphological characterisation of breeding lines of Alfalfa (Medicago sativa L.) on basis of polycross progeny performances,,/ARTICLE//POTASSIUM//RENDEMENT//FERTILISATION//PLANTES/,,,Feuil1
2011.0,INAT,13980,(EN),INAT,Tunis,Agronomic evaluation and morphological characterisation of breeding lines of Alfalfa (Medicago sativa L.) on basis of polycross progeny performances \n,,,Agronomic evaluation and morphological characterisation of breeding lines of Alfalfa (Medicago sativa L.) on basis of polycross progeny performances \n,CD:281*ONAGRI,Feuil1
2011.0,"ABID ,O",14302,(FR),INAT,TUNIS,Amélioration de la valeur nutritive de quelques aliments ligneux par traitement biologique .,,,,CD:303*ONAGRI,Feuil1
