date,type,origine,valeur,feuille
2023-01-02,orge,"EU (France) Feed, Rouen",307.0,Sheet1
2023-01-03,orge,"EU (France) Feed, Rouen",302.0,Sheet1
2023-01-04,orge,"EU (France) Feed, Rouen",300.0,Sheet1
2023-01-05,orge,"EU (France) Feed, Rouen",299.0,Sheet1
2023-01-06,orge,"EU (France) Feed, Rouen",301.0,Sheet1
2023-01-09,orge,"EU (France) Feed, Rouen",305.0,Sheet1
2023-01-10,orge,"EU (France) Feed, Rouen",300.0,Sheet1
2023-01-11,orge,"EU (France) Feed, Rouen",300.0,Sheet1
2023-01-12,orge,"EU (France) Feed, Rouen",302.0,Sheet1
2023-01-13,orge,"EU (France) Feed, Rouen",299.0,Sheet1
2023-01-16,orge,"EU (France) Feed, Rouen",297.0,Sheet1
2023-01-17,orge,"EU (France) Feed, Rouen",295.0,Sheet1
2023-01-18,orge,"EU (France) Feed, Rouen",297.0,Sheet1
2023-01-19,orge,"EU (France) Feed, Rouen",294.0,Sheet1
2023-01-20,orge,"EU (France) Feed, Rouen",294.0,Sheet1
2023-01-23,orge,"EU (France) Feed, Rouen",292.0,Sheet1
2023-01-24,orge,"EU (France) Feed, Rouen",294.0,Sheet1
2023-01-25,orge,"EU (France) Feed, Rouen",298.0,Sheet1
2023-01-26,orge,"EU (France) Feed, Rouen",301.0,Sheet1
2023-01-27,orge,"EU (France) Feed, Rouen",300.0,Sheet1
2023-01-30,orge,"EU (France) Feed, Rouen",303.0,Sheet1
2023-01-31,orge,"EU (France) Feed, Rouen",304.0,Sheet1
2023-02-01,orge,"EU (France) Feed, Rouen",305.0,Sheet1
2023-02-02,orge,"EU (France) Feed, Rouen",303.0,Sheet1
2023-02-03,orge,"EU (France) Feed, Rouen",300.0,Sheet1
2023-02-06,orge,"EU (France) Feed, Rouen",299.0,Sheet1
2023-02-07,orge,"EU (France) Feed, Rouen",303.0,Sheet1
2023-02-08,orge,"EU (France) Feed, Rouen",306.0,Sheet1
2023-02-09,orge,"EU (France) Feed, Rouen",304.0,Sheet1
2023-02-10,orge,"EU (France) Feed, Rouen",304.0,Sheet1
2023-02-13,orge,"EU (France) Feed, Rouen",311.0,Sheet1
2023-02-14,orge,"EU (France) Feed, Rouen",312.0,Sheet1
2023-02-15,orge,"EU (France) Feed, Rouen",309.0,Sheet1
2023-02-16,orge,"EU (France) Feed, Rouen",306.0,Sheet1
2023-02-17,orge,"EU (France) Feed, Rouen",306.0,Sheet1
2023-02-20,orge,"EU (France) Feed, Rouen",305.0,Sheet1
2023-02-21,orge,"EU (France) Feed, Rouen",300.0,Sheet1
2023-02-22,orge,"EU (France) Feed, Rouen",292.0,Sheet1
2023-02-23,orge,"EU (France) Feed, Rouen",294.0,Sheet1
2023-02-24,orge,"EU (France) Feed, Rouen",291.0,Sheet1
2023-02-27,orge,"EU (France) Feed, Rouen",286.0,Sheet1
2023-02-28,orge,"EU (France) Feed, Rouen",286.0,Sheet1
2023-03-01,orge,"EU (France) Feed, Rouen",288.0,Sheet1
2023-03-02,orge,"EU (France) Feed, Rouen",289.0,Sheet1
2023-03-03,orge,"EU (France) Feed, Rouen",289.0,Sheet1
2023-03-06,orge,"EU (France) Feed, Rouen",289.0,Sheet1
2023-03-07,orge,"EU (France) Feed, Rouen",285.0,Sheet1
2023-03-08,orge,"EU (France) Feed, Rouen",281.0,Sheet1
2023-03-09,orge,"EU (France) Feed, Rouen",279.0,Sheet1
2023-03-10,orge,"EU (France) Feed, Rouen",279.0,Sheet1
2023-03-13,orge,"EU (France) Feed, Rouen",287.0,Sheet1
2023-03-14,orge,"EU (France) Feed, Rouen",290.0,Sheet1
2023-03-15,orge,"EU (France) Feed, Rouen",287.0,Sheet1
2023-03-16,orge,"EU (France) Feed, Rouen",286.0,Sheet1
2023-03-17,orge,"EU (France) Feed, Rouen",285.0,Sheet1
2023-03-20,orge,"EU (France) Feed, Rouen",283.0,Sheet1
2023-03-21,orge,"EU (France) Feed, Rouen",281.0,Sheet1
2023-03-22,orge,"EU (France) Feed, Rouen",279.0,Sheet1
2023-03-23,orge,"EU (France) Feed, Rouen",279.0,Sheet1
2023-03-24,orge,"EU (France) Feed, Rouen",285.0,Sheet1
2023-03-27,orge,"EU (France) Feed, Rouen",296.0,Sheet1
2023-03-28,orge,"EU (France) Feed, Rouen",295.0,Sheet1
2023-03-29,orge,"EU (France) Feed, Rouen",295.0,Sheet1
2023-03-30,orge,"EU (France) Feed, Rouen",291.0,Sheet1
2023-03-31,orge,"EU (France) Feed, Rouen",287.0,Sheet1
2023-04-03,orge,"EU (France) Feed, Rouen",283.0,Sheet1
2023-04-04,orge,"EU (France) Feed, Rouen",280.0,Sheet1
2023-04-05,orge,"EU (France) Feed, Rouen",279.0,Sheet1
2023-04-06,orge,"EU (France) Feed, Rouen",275.0,Sheet1
2023-04-07,orge,"EU (France) Feed, Rouen",275.0,Sheet1
2023-04-10,orge,"EU (France) Feed, Rouen",270.0,Sheet1
2023-04-11,orge,"EU (France) Feed, Rouen",271.0,Sheet1
2023-04-12,orge,"EU (France) Feed, Rouen",270.0,Sheet1
2023-04-13,orge,"EU (France) Feed, Rouen",267.0,Sheet1
2023-04-14,orge,"EU (France) Feed, Rouen",267.0,Sheet1
2023-04-17,orge,"EU (France) Feed, Rouen",269.0,Sheet1
2023-04-18,orge,"EU (France) Feed, Rouen",274.0,Sheet1
2023-04-19,orge,"EU (France) Feed, Rouen",267.0,Sheet1
2023-04-20,orge,"EU (France) Feed, Rouen",262.0,Sheet1
2023-04-21,orge,"EU (France) Feed, Rouen",261.0,Sheet1
2023-04-24,orge,"EU (France) Feed, Rouen",255.0,Sheet1
2023-04-25,orge,"EU (France) Feed, Rouen",251.0,Sheet1
2023-04-26,orge,"EU (France) Feed, Rouen",254.0,Sheet1
2023-04-27,orge,"EU (France) Feed, Rouen",248.0,Sheet1
2023-04-28,orge,"EU (France) Feed, Rouen",247.0,Sheet1
2023-05-01,orge,"EU (France) Feed, Rouen",247.0,Sheet1
2023-05-02,orge,"EU (France) Feed, Rouen",239.0,Sheet1
2023-05-03,orge,"EU (France) Feed, Rouen",245.0,Sheet1
2023-05-04,orge,"EU (France) Feed, Rouen",249.0,Sheet1
2023-05-05,orge,"EU (France) Feed, Rouen",251.0,Sheet1
2023-05-08,orge,"EU (France) Feed, Rouen",252.0,Sheet1
2023-05-09,orge,"EU (France) Feed, Rouen",246.0,Sheet1
2023-05-10,orge,"EU (France) Feed, Rouen",246.0,Sheet1
2023-05-11,orge,"EU (France) Feed, Rouen",243.0,Sheet1
2023-05-12,orge,"EU (France) Feed, Rouen",245.0,Sheet1
2023-05-15,orge,"EU (France) Feed, Rouen",249.0,Sheet1
2023-05-16,orge,"EU (France) Feed, Rouen",242.0,Sheet1
2023-05-17,orge,"EU (France) Feed, Rouen",231.0,Sheet1
2023-05-18,orge,"EU (France) Feed, Rouen",225.0,Sheet1
2023-05-19,orge,"EU (France) Feed, Rouen",226.0,Sheet1
2023-05-22,orge,"EU (France) Feed, Rouen",225.0,Sheet1
2023-05-23,orge,"EU (France) Feed, Rouen",232.0,Sheet1
2023-05-24,orge,"EU (France) Feed, Rouen",230.0,Sheet1
2023-05-25,orge,"EU (France) Feed, Rouen",230.0,Sheet1
2023-05-26,orge,"EU (France) Feed, Rouen",231.0,Sheet1
2023-05-29,orge,"EU (France) Feed, Rouen",230.0,Sheet1
2023-05-30,orge,"EU (France) Feed, Rouen",230.0,Sheet1
2023-05-31,orge,"EU (France) Feed, Rouen",226.0,Sheet1
2023-06-01,orge,"EU (France) Feed, Rouen",231.0,Sheet1
2023-06-02,orge,"EU (France) Feed, Rouen",236.0,Sheet1
2023-06-05,orge,"EU (France) Feed, Rouen",240.0,Sheet1
2023-06-06,orge,"EU (France) Feed, Rouen",240.0,Sheet1
2023-06-07,orge,"EU (France) Feed, Rouen",238.0,Sheet1
2023-06-08,orge,"EU (France) Feed, Rouen",245.0,Sheet1
2023-06-09,orge,"EU (France) Feed, Rouen",244.0,Sheet1
2023-06-12,orge,"EU (France) Feed, Rouen",244.0,Sheet1
2023-06-13,orge,"EU (France) Feed, Rouen",245.0,Sheet1
2023-06-14,orge,"EU (France) Feed, Rouen",241.0,Sheet1
2023-06-15,orge,"EU (France) Feed, Rouen",242.0,Sheet1
2023-06-16,orge,"EU (France) Feed, Rouen",242.0,Sheet1
2023-06-19,orge,"EU (France) Feed, Rouen",241.0,Sheet1
2023-06-20,orge,"EU (France) Feed, Rouen",237.0,Sheet1
2023-06-21,orge,"EU (France) Feed, Rouen",246.0,Sheet1
2023-06-22,orge,"EU (France) Feed, Rouen",249.0,Sheet1
2023-06-23,orge,"EU (France) Feed, Rouen",245.0,Sheet1
2023-06-26,orge,"EU (France) Feed, Rouen",241.0,Sheet1
2023-06-27,orge,"EU (France) Feed, Rouen",231.0,Sheet1
2023-06-28,orge,"EU (France) Feed, Rouen",224.0,Sheet1
2023-06-29,orge,"EU (France) Feed, Rouen",225.0,Sheet1
2023-06-30,orge,"EU (France) Feed, Rouen",226.0,Sheet1
2023-07-03,orge,"EU (France) Feed, Rouen",220.0,Sheet1
2023-07-04,orge,"EU (France) Feed, Rouen",222.0,Sheet1
2023-07-05,orge,"EU (France) Feed, Rouen",230.0,Sheet1
2023-07-06,orge,"EU (France) Feed, Rouen",236.0,Sheet1
2023-07-07,orge,"EU (France) Feed, Rouen",235.0,Sheet1
2023-07-10,orge,"EU (France) Feed, Rouen",235.0,Sheet1
2023-07-11,orge,"EU (France) Feed, Rouen",239.0,Sheet1
2023-07-12,orge,"EU (France) Feed, Rouen",239.0,Sheet1
2023-07-13,orge,"EU (France) Feed, Rouen",240.0,Sheet1
2023-07-14,orge,"EU (France) Feed, Rouen",244.0,Sheet1
2023-07-17,orge,"EU (France) Feed, Rouen",245.0,Sheet1
2023-07-18,orge,"EU (France) Feed, Rouen",250.0,Sheet1
2023-07-19,orge,"EU (France) Feed, Rouen",268.0,Sheet1
2023-07-20,orge,"EU (France) Feed, Rouen",270.0,Sheet1
2023-07-21,orge,"EU (France) Feed, Rouen",259.0,Sheet1
2023-07-24,orge,"EU (France) Feed, Rouen",276.0,Sheet1
2023-07-25,orge,"EU (France) Feed, Rouen",272.0,Sheet1
2023-07-26,orge,"EU (France) Feed, Rouen",262.0,Sheet1
2023-07-27,orge,"EU (France) Feed, Rouen",258.0,Sheet1
2023-07-28,orge,"EU (France) Feed, Rouen",254.0,Sheet1
2023-07-31,orge,"EU (France) Feed, Rouen",244.0,Sheet1
2023-08-01,orge,"EU (France) Feed, Rouen",237.0,Sheet1
2023-08-02,orge,"EU (France) Feed, Rouen",234.0,Sheet1
2023-08-03,orge,"EU (France) Feed, Rouen",234.0,Sheet1
2023-08-04,orge,"EU (France) Feed, Rouen",236.0,Sheet1
2023-08-07,orge,"EU (France) Feed, Rouen",241.0,Sheet1
2023-08-08,orge,"EU (France) Feed, Rouen",242.0,Sheet1
2023-08-09,orge,"EU (France) Feed, Rouen",242.0,Sheet1
2023-08-10,orge,"EU (France) Feed, Rouen",239.0,Sheet1
