composante,frequence_ar,frequence,source,source_ar,unite_ar,unite,composante_ar,images,feuille
Glyphosate1,شهريا,MENSUELLE,GIFruit,المجمع المهني للغلال,دينار/ليتر,TND/l,مبيد حشائش قليفوزات1,https://drive.google.com/file/d/1m4Yso7z3eU5VJytQPR-aH7EreA8-CLRI/view?usp=sharing,Feuil1
Glyphosate2,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/ليتر,TND/l,مبيد حشائش قليفوزات2,,Feuil1
Glyphosate (20l),شهريا,MENSUELLE,ONAGRI,المرصد الوطني للفلاحة,دينار/ليتر,TND/l,مبيد حشائش قليفوزات (20ل),,Feuil1
2-4-D,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,2-4-د,https://drive.google.com/file/d/1rJ99oq4ml_Fw1gv2cVw7uGOcJHZJmn6p/view?usp=sharing,Feuil1
Bentazone,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,بنتازون,https://drive.google.com/file/d/1rJ99oq4ml_Fw1gv2cVw7uGOcJHZJmn6p/view?usp=sharing,Feuil1
Prosulfocarb,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,بروسيلفوكرب,https://drive.google.com/file/d/1ZyWwJ-NWpWeVQZ-uj29g45G9bHgMbApd/view?usp=sharing,Feuil1
Dicamba+2-4-D,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,ديكمبا+ 2-4-د,https://drive.google.com/file/d/1NrNwVSZPozXrU3RizzaRi_qPJg2DGNZK/view?usp=sharing,Feuil1
Cléothodine,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,كليوتودين,,Feuil1
Traisulfuran+Dicamba,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/كلغ,TND/kg,تريسيلفيرون+ ديكمبا,,Feuil1
Tribuneron-Methyl,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/كلغ,TND/kg,تريبينيرون ميتيل,https://drive.google.com/file/d/1NrNwVSZPozXrU3RizzaRi_qPJg2DGNZK/view?usp=sharing,Feuil1
Mitribuzine2,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,ميتريبيزين,https://drive.google.com/file/d/1ylWCKMSgWJVyi4LMg1lMMp188uX1mcwM/view?usp=sharing,Feuil1
Glyphosate3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/kg,مبيد حشائش قليفوزات3,,Feuil1
2-4-D 3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/kg,2-4-د(3),,Feuil1
Bentazone 3(basagran),شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,بنتازون3,,Feuil1
Prosulfocarb3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,بروسيلفوكرب3,,Feuil1
Dicamba+2-4-D (dialen super)3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,ديكمبا+ 2-4-د(3),,Feuil1
Cléothodine (select super)3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,كليوتودين3,,Feuil1
Traisulfuran+Dicamba (zoom)3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,تريسيلفيرون+ ديكمبا3,,Feuil1
Tribuneron-Methyl (granstar)3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,تريبينيرون ميتيل3,,Feuil1
Mitribuzine3,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,ميتريبيزين3,,Feuil1
