composante,date,datemin,prixmin,prixmax,prix,feuille
manébe2,2021-09-23,2021-09-23,20.0,25.0,,Feuil1
trifloxysrobin (50 gr),2021-09-23,2021-09-23,,,30.0,Feuil1
propamocarbe2,2021-09-23,2021-09-23,90.0,100.0,,Feuil1
dodine2,2021-09-23,2021-09-23,40.0,45.0,,Feuil1
Cuivre Métal 50% (10Kg),2021-09-23,2021-09-23,,,270.0,Feuil1
Cuivre Métal 50%(1),2021-09-23,2021-09-23,,,25.5,Feuil1
Cuivre Métal 50%(2),2021-09-23,2021-09-23,55.0,60.0,,Feuil1
Epoxiconazole (opus),2021-09-23,2021-09-23,,,133.0,Feuil1
Epoxiconazole+ Kerosym methyl (ogam),2021-09-23,2021-09-23,,,191.0,Feuil1
Epoxiconazole+ thiophanate methyl (rex duo),2021-09-23,2021-09-23,,,171.0,Feuil1
Mancozèbe1,2021-09-23,2021-09-23,,,21.0,Feuil1
Mancozèbe2,2021-09-23,2021-09-23,20.0,25.0,,Feuil1
Propiconazole+ cyproconazole,2021-09-23,2021-09-23,,,176.0,Feuil1
Pyraclostrobine+ Epxiconazole (favia max),2021-09-23,2021-09-23,,,147.0,Feuil1
Soufre mouillable1,2021-09-23,2021-09-23,,,6.0,Feuil1
Soufre mouillable2,2021-09-23,2021-09-23,6.0,7.5,,Feuil1
Thiophanate-Méthyl (500 g),2021-09-23,2021-09-23,,,19.0,Feuil1
Thiophanate-Méthyl1,2021-09-23,2021-09-23,,,40.0,Feuil1
Thiophanate-Méthyl2,2021-09-23,2021-09-23,45.0,50.0,,Feuil1
Zirame,2021-09-23,2021-09-23,,,25.0,Feuil1
Thiophanate-Méthyl3,2021-12-10,2021-12-10,40.0,45.0,,Feuil1
Soufre mouillable3,2021-12-10,2021-12-10,8.0,10.0,,Feuil1
Cuivre Métal 50%(3),2021-12-10,2021-12-10,35.0,60.0,,Feuil1
Mancozèbe3,2021-12-10,2021-12-10,30.0,40.0,,Feuil1
dodine3,2021-12-10,2021-12-10,25.0,35.0,,Feuil1
manébe2,2021-12-10,2021-12-10,,,23.0,Feuil1
propamocarbe3,2021-12-10,2021-12-10,100.0,120.0,,Feuil1
trifloxysrobin3,2021-12-10,2021-12-10,550.0,600.0,,Feuil1
fosétyl-Al3,2021-12-10,2021-12-10,95.0,120.0,,Feuil1
myclobutanil3,2021-12-10,2021-12-10,230.0,250.0,,Feuil1
penconazole3,2021-12-10,2021-12-10,150.0,170.0,,Feuil1
tébuconazole3,2021-12-10,2021-12-10,150.0,200.0,,Feuil1
Thiophanate-Méthyl2,2021-12-10,2021-12-10,,,50.0,Feuil1
Soufre mouillable2,2021-12-10,2021-12-10,,,8.5,Feuil1
Cuivre Métal 50%(2),2021-12-10,2021-12-10,,,35.0,Feuil1
Mancozèbe2,2021-12-10,2021-12-10,,,25.0,Feuil1
trifloxysrobin2,2021-12-10,2021-12-10,,,35.0,Feuil1
fosétyl-Al2,2021-12-10,2021-12-10,,,130.0,Feuil1
tébuconazole2,2021-12-10,2021-12-10,,,490.0,Feuil1
manébe3,2021-12-10,2021-12-10,20.0,30.0,,Feuil1
