composante,date,datemin,prixmin,prixmax,prix,feuille
Semence bulbe oignon d'arrière saison,2021-06-17,2020-06-17,0.4,0.8,,Feuil1
semence fève sélectionnée,2021-06-17,2020-06-17,45.0,80.0,,Feuil1
Semence féverole selectionnée,2021-06-17,2020-06-17,90.0,120.0,,Feuil1
Semence grain oignon de saison,2021-06-17,2020-06-17,120.0,350.0,,Feuil1
Semence ordinaire orge,2021-06-17,2020-06-17,,,65.0,Feuil1
Semence sélectionnée orge,2021-06-17,2021-06-17,,,85.0,Feuil1
semence petit pois sélectionnée,2021-06-17,2020-06-17,160.0,240.0,,Feuil1
Semence pomme de terre importé,2021-06-17,2020-06-17,3100.0,3450.0,,Feuil1
Semence pomme de terre produites localement pour la culture d’arrière saison,2021-06-17,2020-06-17,,,1500.0,Feuil1
Semence pomme de terre produites localement pour la culture de primeur et de saison pour producteurs,2021-06-17,2020-06-17,,,1800.0,Feuil1
Semence sélectionnée blé dur,2021-06-17,2020-06-17,,,107.0,Feuil1
Semence sélectionnée blé tendre,2021-06-17,2020-06-17,,,91.0,Feuil1
Semence sélectionnée triticale,2021-06-17,2021-06-17,,,85.0,Feuil1
Semence bulbe oignon d'arrière saison,2021-09-28,2021-06-17,0.4,0.8,,Feuil1
semence carotte,2021-09-28,2020-06-17,90.0,120.0,,Feuil1
semence concombre,2021-09-28,2020-06-17,180.0,220.0,,Feuil1
semence fève sélectionnée,2021-09-28,2020-06-17,45.0,80.0,,Feuil1
Semence féverole selectionnée,2021-09-28,2020-06-17,90.0,120.0,,Feuil1
Semence grain oignon de saison,2021-09-28,2020-06-17,120.0,350.0,,Feuil1
Semence ordinaire orge,2021-09-28,2020-06-17,,,75.0,Feuil1
Semence sélectionnée orge,2021-09-28,2020-06-17,,,90.0,Feuil1
semence petit pois sélectionnée,2021-09-28,2020-06-17,160.0,240.0,,Feuil1
Semence pomme de terre importé,2021-09-28,2020-06-17,3100.0,3450.0,,Feuil1
Semence pomme de terre produites localement pour la culture d’arrière saison,2021-09-28,2021-06-17,,,1500.0,Feuil1
Semence pomme de terre produites localement pour la culture de primeur et de saison pour producteurs,2021-09-28,2021-06-17,,,1800.0,Feuil1
Semence sélectionnée blé dur,2021-09-28,2021-06-17,,,112.0,Feuil1
Semence sélectionnée blé tendre,2021-09-28,2021-06-17,,,95.0,Feuil1
Semence sélectionnée triticale,2021-09-28,2021-06-17,,,90.0,Feuil1
