mois,agriculture,peche,aquaculture,services_agricoles,transformation_primaire_integree,feuille
mai_2019,88.848,5.012,1.948,15.549,0.804,invest approuve par activite MD
jui_2019,129.319,5.421,1.948,23.482,1.214,invest approuve par activite MD
juil_2019,170.01,9.106,1.948,28.06,8.092,invest approuve par activite MD
aout_2019,182.75,14.075,1.948,31.66,10.873,invest approuve par activite MD
sep_2019,256.683,16.16,9.327,39.166,19.357,invest approuve par activite MD
oct_2019,317.23,19.378,16.375,45.422,25.311,invest approuve par activite MD
nov_2019,367.338,21.848,31.329,54.706,35.295,invest approuve par activite MD
dec_2019,477.041,45.412,40.744,69.555,47.314,invest approuve par activite MD
mai_2020,74.039,4.033,2.979,9.516,13.473,invest approuve par activite MD
jui_2020,122.126,12.751,3.346,18.789,27.923,invest approuve par activite MD
juil_2020,145.365,13.251,4.438,23.334,28.712,invest approuve par activite MD
aout_2020,151.778,17.708,4.438,22.619,28.712,invest approuve par activite MD
sep_2020,192.524,19.811,5.261,35.518,29.052,invest approuve par activite MD
oct_2020,258.53,21.17,5.261,35.14,32.564,invest approuve par activite MD
nov_2020,307.156,21.827,5.566,43.942,40.247,invest approuve par activite MD
dec_2020,364.118,31.346,7.897,57.107,45.835,invest approuve par activite MD
2021-03-01 00:00:00,70.735,2.457,0.734,11.339,2.025,invest approuve par activite MD
2021-04-01 00:00:00,95.335,3.766,0.734,15.007,3.077,invest approuve par activite MD
2021-05-01 00:00:00,138.894,4.933,0.734,20.189,4.984,invest approuve par activite MD
2021-06-01 00:00:00,150.41,12.7,0.734,22.569,14.256,invest approuve par activite MD
2021-07-01 00:00:00,199.54,14.427,0.874,27.235,16.982,invest approuve par activite MD
2021-08-01 00:00:00,219.918,15.445,2.055,30.26,18.937,invest approuve par activite MD
2021-09-01 00:00:00,242.601,18.069,2.838,34.035,20.757,invest approuve par activite MD
2021-10-01 00:00:00,302.21,18.292,3.213,36.51,24.648,invest approuve par activite MD
2021-11-01 00:00:00,,,,,,invest approuve par activite MD
2021-12-01 00:00:00,447.946,26.92,7.177,61.046,33.83,invest approuve par activite MD
2022-03-01 00:00:00,95.046,5.042,7.93,17.835,4.812,invest approuve par activite MD
2022-04-01 00:00:00,106.544,5.201,3.972,18.535,3.644,invest approuve par activite MD
2022-05-01 00:00:00,,,,,,invest approuve par activite MD
2022-06-01 00:00:00,,,,,,invest approuve par activite MD
2022-07-01 00:00:00,,,,,,invest approuve par activite MD
2022-08-01 00:00:00,,,,,,invest approuve par activite MD
2022-09-01 00:00:00,,,,,,invest approuve par activite MD
2022-10-01 00:00:00,,,,,,invest approuve par activite MD
2022-11-01 00:00:00,,,,,,invest approuve par activite MD
2022-12-01 00:00:00,,,,,,invest approuve par activite MD
